----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |          Configurations           |     Terms    |    Observed   |         |      Ritz     |         |          |      Ei           Ek      |  gi   gk  |    Aki     |    fik    | Acc. |   Type|        TP  |    Line  |
  No.  |                                   |              |   Wavelength/ | Uncert. |   Wavelength/ | Uncert. |   Unit   |     (eV)         (eV)     |           |   (s^-1)   |           |      |       |       Ref. |    Ref.  |
       |                                   |              |   Wavenumber  |         |   Wavenumber  |         |          |                           |           |            |           |      |       |            |          |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2452.58  |   0.05  |      2452.586 |   0.021 |  Å (air) |  31.107903  -   36.16162  |   4 - 6   |            |           |      |       |            |   L4489  |
       |                                   |              |      2496.98  |   0.03  |      2496.980 |   0.022 |  Å (air) |  31.022731  -   35.98660  |   2 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2518.38  |   0.03  |      2518.403 |   0.023 |  Å (air) |  31.239970  -   36.16162  |   6 - 6   |            |           |      |       |            |  L11418  |
       |                                   |              |      2540.55  |   0.03  |      2540.576 |   0.023 |  Å (air) |  31.107903  -   35.98660  |   4 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2611.24  |   0.05  |      2611.267 |   0.024 |  Å (air) |  31.239970  -   35.98660  |   6 - 4   |            |           |      |       |            |   L4489  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
     6 |                                   |   4P  - 4S*  |               |         |      2473.047 |         |  Å (air) |  31.159741  -   36.171646 |  12 - 4   |            |           |      |    |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2407.23  |   0.03  |      2407.235 |   0.016 |  Å (air) |  31.022731  -   36.171646 |   2 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2447.73  |   0.03  |      2447.728 |   0.017 |  Å (air) |  31.107903  -   36.171646 |   4 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2513.29  |   0.03  |      2513.281 |   0.017 |  Å (air) |  31.239970  -   36.171646 |   6 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
     7 |                                   |   2P  - 4P*  |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      3016.15  |   0.05  |      3016.07  |   0.03  |  Å (air) |  31.75084   -   35.860433 |   2 - 4   |            |           |      |       |            |   L4489  |
       |                                   |              |      3077.26  |   0.03  |      3077.268 |   0.024 |  Å (air) |  31.906537  -   35.934402 |   4 - 6   |            |           |      |       |            |  L11418  |
       |                                   |              |      3134.79  |   0.03  |      3134.84  |   0.03  |  Å (air) |  31.906537  -   35.860433 |   4 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
     8 |                                   |   2P  - 2D*  |               |         |      2925.39  |         |  Å (air) |  31.85464   -   36.09161  |   6 - 10  | 2.4e+08    | 5.1e-01   |      |    |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2912.97  |   0.03  |      2912.94  |   0.03  |  Å (air) |  31.906537  -   36.16162  |   4 - 6   | 2.5e+08    | 4.8e-01   | D    |       | T1619CA,LS |  L11418  |
       |                                   |              |      2926.27  |   0.03  |      2926.23  |   0.04  |  Å (air) |  31.75084   -   35.98660  |   2 - 4   | 2.0e+08    | 5.1e-01   | D    |       | T1619CA,LS |  L11418  |
       |                                   |              |      3037.91  |   0.03  |      3037.90  |   0.03  |  Å (air) |  31.906537  -   35.98660  |   4 - 4   | 3.6e+07    | 5.0e-02   | E    |       | T1619CA,LS |  L11418  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
     9 |                                   |   2P  - 2P*  |               |         |      2574.34  |         |  Å (air) |  31.85464   -   36.66934  |   6 - 6   |            |           |      |    |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2517.21  |   0.03  |      2517.22  |   0.03  |  Å (air) |  31.75084   -   36.67480  |   2 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2525.63  |   0.03  |      2525.62  |   0.03  |  Å (air) |  31.75084   -   36.65843  |   2 - 2   |            |           |      |       |            |  L11418  |
       |                                   |              |      2599.41  |   0.03  |      2599.420 |   0.023 |  Å (air) |  31.906537  -   36.67480  |   4 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2608.44  |   0.05  |      2608.37  |   0.03  |  Å (air) |  31.906537  -   36.65843  |   4 - 2   |            |           |      |       |            |   L4489  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
    10 | 3s2.3p2.(3P).4s - 3s2.3p2.(1D).4p |   2P  - 2D*  |               |         |      2043.026 |         |  Å (air) |  31.85464   -   37.921346 |   6 - 10  |            |           |      |    |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2006.890 |   0.010 |      2006.907 |   0.015 |  Å (air) |  31.75084   -   37.926717 |   2 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2058.820 |   0.010 |      2058.818 |   0.011 |  Å (air) |  31.906537  -   37.926717 |   4 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2061.890 |   0.010 |      2061.884 |   0.011 |  Å (air) |  31.906537  -   37.917765 |   4 - 6   |            |           |      |       |            |  L11418  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
    11 | 3s2.3p2.(1D).4s - 3s2.3p2.(1D).4p |   2D  - 2F*  |               |         |      2769.21  |         |  Å (air) |  33.19672   -   37.67264  |  10 - 14  | 2.7e+08    | 4.3e-01   |      |    |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2757.91  |   0.03  |      2757.97  |   0.05  |  Å (air) |  33.19569   -   37.68984  |   6 - 8   | 2.8e+08    | 4.3e-01   | D    |       | T1619CA,LS |  L11418  |
       |                                   |              |      2782.84  |   0.03  |      2782.83  |   0.04  |  Å (air) |  33.19569   -   37.64971  |   6 - 6   | 1.8e+07    | 2.1e-02   | E    |       | T1619CA,LS |  L11418  |
       |                                   |              |      2784.43  |   0.03  |      2784.43  |   0.03  |  Å (air) |  33.19826   -   37.64971  |   4 - 6   | 2.5e+08    | 4.4e-01   | D    |       | T1619CA,LS |  L11418  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
    12 |                                   |   2D  - 2D*  |               |         |      2623.43  |         |  Å (air) |  33.19672   -   37.921346 |  10 - 10  |            |           |      |    |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2619.90  |   0.03  |      2619.88  |   0.03  |  Å (air) |  33.19569   -   37.926717 |   6 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2621.30  |   0.03  |      2621.302 |   0.025 |  Å (air) |  33.19826   -   37.926717 |   4 - 4   |            |           |      |       |            |  L11418  |
       |                                   |              |      2624.86  |   0.03  |      2624.85  |   0.03  |  Å (air) |  33.19569   -   37.917765 |   6 - 6   |            |           |      |       |            |  L11418  |
       |                                   |              |      2626.32  |   0.05  |      2626.274 |   0.025 |  Å (air) |  33.19826   -   37.917765 |   4 - 6   |            |           |      |       |            |   L4489  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
