--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |    Configurations          |     Terms    |     Observed   |         |       Ritz     |         |          |       Ei           Ek      |  gi   gk  |    Aki     |    fik    | Acc. |Type|       TP  |    Line  |
  No.  |                            |              |    Wavelength/ | Uncert. |    Wavelength/ | Uncert. |   Unit   |      (eV)         (eV)     |           |   (s^-1)   |           |      |    |      Ref. |    Ref.  |
       |                            |              |    Wavenumber  |         |    Wavenumber  |         |          |                            |           |            |           |      |    |           |          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                            |              |       511.890  |  0.010  |       511.8868 |  0.0018 |  Å (vac) |   0.0000000  -   24.22102  |   1 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |       513.889  |  0.002  |       513.8945 |  0.0018 |  Å (vac) |   0.0946292  -   24.22102  |   3 - 3   |            |           |      |    |           |  L11588  |
       |                            |              |       517.254  |  0.002  |       517.2585 |  0.0019 |  Å (vac) |   0.251534   -   24.22102  |   5 - 3   |            |           |      |    |           |  L11588  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
     8 |   3s2.3p2 - 3s2.3p.3d      |   3P  - 3P*  |                |         |       461.790  |         |  Å (vac) |   0.171284   -   27.0199   |   9 - 9   |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       458.090  |  0.010  |       458.112  |  0.008  |  Å (vac) |   0.0000000  -   27.0641   |   1 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |       458.960  |  0.010  |       458.960  |  0.011  |  Å (vac) |   0.0946292  -   27.1088   |   3 - 1   |            |           |      |    |           |  L11501  |
       |                            |              |       459.730  |  0.010  |       459.720  |  0.008  |  Å (vac) |   0.0946292  -   27.0641   |   3 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |       461.240  |  0.010  |       461.236  |  0.006  |  Å (vac) |   0.0946292  -   26.9755   |   3 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |       462.410  |  0.010  |       462.410  |  0.009  |  Å (vac) |   0.251534   -   27.0641   |   5 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |       463.940  |  0.010  |       463.944  |  0.006  |  Å (vac) |   0.251534   -   26.9755   |   5 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
     9 |                            |   3P  - 1D*  |                |         |       454.007  |         |  Å (vac) |   0.192695   -   27.5016   |   9 - 5   |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       452.390  |  0.010  |       452.383  |  0.006  |  Å (vac) |   0.0946292  -   27.5016   |   3 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |       454.990  |  0.010  |       454.988  |  0.006  |  Å (vac) |   0.251534   -   27.5016   |   5 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    10 |                            |   3P  - 3D*  |                |         |       448.114  |         |  Å (vac) |   0.171284   -   27.8393   |   9 - 15  |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       445.970  |  0.010  |       445.993  |  0.008  |  Å (vac) |   0.0000000  -   27.7996   |   1 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |       446.960  |  0.010  |       446.958  |  0.008  |  Å (vac) |   0.0946292  -   27.8342   |   3 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |       447.530  |  0.010  |       447.516  |  0.008  |  Å (vac) |   0.0946292  -   27.7996   |   3 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |       449.080  |  0.010  |       449.080  |  0.010  |  Å (vac) |   0.251534   -   27.8600   |   5 - 7   |            |           |      |    |           |  L11501  |
       |                            |              |       449.500  |  0.010  |       449.500  |  0.008  |  Å (vac) |   0.251534   -   27.8342   |   5 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |       450.079  |  0.020  |       450.065  |  0.008  |  Å (vac) |   0.251534   -   27.7996   |   5 - 3   |            |           |      |    |           |   L3311  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    11 |                            |   3P  - 1F*  |       411.010  |  0.010  |       411.016  |  0.007  |  Å (vac) |   0.251534   -   30.4168   |   5 - 7   |            |           |      |    |           |  L11501  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    12 |                            |   3P  - 1P*  |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       400.00   |  0.10   |       399.820  |  0.008  |  Å (vac) |   0.251534   -   31.2615   |   5 - 3   |            |           |      |    |           |   L6207  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    13 |   3s2.3p2 - 3s2.3p.4s      |   3P  - 3P*  |                |         |       338.170  |         |  Å (vac) |   0.171284   -   36.8346   |   9 - 9   |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       336.570  |  0.010  |       336.570  |  0.007  |  Å (vac) |   0.0946292  -   36.9322   |   3 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |       337.580  |  0.010  |       337.574  |  0.006  |  Å (vac) |   0.0000000  -   36.7280   |   1 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |       338.010  |  0.010  |       338.010  |  0.007  |  Å (vac) |   0.251534   -   36.9322   |   5 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |       338.450  |  0.010  |       338.446  |  0.006  |  Å (vac) |   0.0946292  -   36.7280   |   3 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |       339.020  |  0.010  |       339.020  |  0.010  |  Å (vac) |   0.0946292  -   36.6660   |   3 - 1   |            |           |      |    |           |  L11501  |
       |                            |              |       339.890  |  0.010  |       339.902  |  0.006  |  Å (vac) |   0.251534   -   36.7280   |   5 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    14 |   3s2.3p2 - 3s2.3p.4d      |   3P  - 3D*  |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       251.544  |  0.006  |       251.544  |  0.006  |  Å (vac) |   0.0000000  -   49.2893   |   1 - 3   |            |           |      |    |           |   L4421  |
       |                            |              |       252.072  |  0.006  |       252.028  |  0.006  |  Å (vac) |   0.0946292  -   49.2893   |   3 - 3   |            |           |      |    |           |   L4421  |
       |                            |              |       252.072  |  0.006  |       252.072  |  0.006  |  Å (vac) |   0.0946292  -   49.2807   |   3 - 5   |            |           |      |    |           |   L4421  |
       |                            |              |       252.671  |  0.006  |       252.671  |  0.006  |  Å (vac) |   0.251534   -   49.3209   |   5 - 7   |            |           |      |    |           |   L4421  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    15 |                            |   3P  - 3F*  |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       251.115  |  0.006  |       251.115  |  0.006  |  Å (vac) |   0.0946292  -   49.4681   |   3 - 5   |            |           |      |    |           |   L4421  |
       |                            |              |       251.599  |  0.006  |       251.599  |  0.006  |  Å (vac) |   0.251534   -   49.5301   |   5 - 7   |            |           |      |    |           |   L4421  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    16 |                            |   3P  - 3P*  |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       248.489  |  0.006  |       248.496  |  0.009  |  Å (vac) |   0.0946292  -   49.9886   |   3 - 3   |            |           |      |    |           |   L4421  |
       |                            |              |       249.611  |  0.006  |       249.611  |  0.006  |  Å (vac) |   0.251534   -   49.9225   |   5 - 5   |            |           |      |    |           |   L4421  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    17 |   3s2.3p2 - 3s2.3p.5s      |   3P  - 3P*  |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       231.868  |  0.006  |       231.868  |  0.004  |  Å (vac) |   0.0946292  -   53.5666   |   3 - 5   |            |           |      |    |           |   L4421  |
       |                            |              |       232.379  |  0.006  |       232.379  |  0.006  |  Å (vac) |   0.0000000  -   53.3542   |   1 - 3   |            |           |      |    |           |   L4421  |
       |                            |              |       232.549  |  0.006  |       232.550  |  0.004  |  Å (vac) |   0.251534   -   53.5666   |   5 - 5   |            |           |      |    |           |   L4421  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    18 |   3s2.3p2 - 3s2.3p2        |   1D  - 1S   |      4625.47   |  0.04   |      4625.39   |  0.07   |  Å (air) |   2.020776   -    4.70054  |   5 - 1   | 3.8e+00    |           | D    | E2 |      T761 |  L16109  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    19 |   3s2.3p2 - 3s.3p3         |   1D  - 3D*  |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       948.980  |  0.010  |       948.980  |  0.003  |  Å (vac) |   2.020776   -   15.08578  |   5 - 5   |            |           |      |    |           |  L11501  |
       |                            |              |       949.380  |  0.010  |       949.397  |  0.007  |  Å (vac) |   2.020776   -   15.08004  |   5 - 3   |            |           |      |    |           |  L11501  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    20 |                            |   1D  - 1D*  |       725.097  |  0.002  |       725.0962 |  0.0021 |  Å (vac) |   2.020776   -   19.11978  |   5 - 5   |            |           |      |    |           |  L11588  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    21 |                            |   1D  - 3S*  |       570.656  |  0.002  |       570.6520 |  0.0023 |  Å (vac) |   2.020776   -   23.74754  |   5 - 3   |            |           |      |    |           |  L11588  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
    22 |                            |   1D  - 1P*  |       558.477  |  0.002  |       558.4813 |  0.0022 |  Å (vac) |   2.020776   -   24.22102  |   5 - 3   |            |           |      |    |           |  L11588  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
