n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,8,18.888,6.56E-01,1.50E-06,7.74E-01,1.32E-06,1.02E-06,F,111,P,333,2
2,1,8,18.967,6.54E-01,2.57E-01,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,8,18.973,6.54E-01,2.57E-01,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,4
2,1,8,18.985,6.53E-01,1.37E-05,1.57E+01,8.55E-07,4.04E-05,C,133,S,313,5
2,1,8,19.042,6.51E-01,3.57E-01,7.74E-01,3.16E-01,2.44E-01,F,111,P,133,6
2,1,8,19.216,6.45E-01,2.44E-01,1.57E+01,1.52E-02,7.20E-01,C,133,S,111,7
2,1,8,19.236,6.45E-01,2.31E-07,2.80E+01,8.11E-09,1.14E-06,F,155,P,333,8
2,1,8,19.238,6.44E-01,2.05E-04,2.80E+01,7.19E-06,1.01E-03,F,155,P,335,9
2,1,8,19.306,6.42E-01,2.33E-01,1.32E+00,1.50E-01,9.89E-01,C,335,S,313,10
2,1,8,19.309,6.42E-01,2.32E-01,1.32E+00,1.49E-01,5.93E-01,C,333,S,313,11
2,1,8,19.311,6.42E-01,2.32E-01,1.32E+00,1.49E-01,1.98E-01,C,331,S,313,12
2,1,8,19.335,6.41E-01,1.17E-01,1.61E-02,2.42E-01,1.95E-02,F,335,P,333,13
2,1,8,19.337,6.41E-01,3.50E-01,1.61E-02,7.24E-01,5.84E-02,F,335,P,335,14
2,1,8,19.338,6.41E-01,1.56E-01,0.00E+00,3.33E-01,0.00E+00,F,333,P,331,15
2,1,8,19.338,6.41E-01,1.17E-01,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,16
2,1,8,19.34,6.41E-01,0.00E+00,1.36E-03,0.00E+00,0.00E+00,F,331,P,331,17
2,1,8,19.34,6.41E-01,4.67E-01,1.36E-03,9.97E-01,1.36E-03,F,331,P,333,18
2,1,8,19.34,6.41E-01,1.94E-01,0.00E+00,4.17E-01,0.00E+00,F,333,P,335,19
2,1,8,19.396,6.39E-01,4.69E-01,2.80E+01,1.65E-02,2.31E+00,F,155,P,133,20
2,1,8,19.497,6.36E-01,1.45E-04,1.61E-02,3.01E-04,2.43E-05,F,335,P,133,21
2,1,8,19.5,6.36E-01,1.81E-05,0.00E+00,3.87E-05,0.00E+00,F,333,P,133,22
2,1,8,19.502,6.36E-01,3.55E-05,1.36E-03,7.59E-05,1.03E-07,F,331,P,133,23
2,1,8,19.548,6.34E-01,1.29E-05,1.32E+00,8.33E-06,3.30E-05,C,333,S,111,24
2,1,8,19.549,6.34E-01,0.00E+00,1.32E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,8,19.606,6.32E-01,0.00E+00,2.90E+01,0.00E+00,0.00E+00,E,111,P,331,26
2,1,8,19.606,6.32E-01,9.18E-05,2.90E+01,3.16E-06,9.15E-05,E,111,P,333,27
2,1,8,19.773,6.27E-01,9.85E-02,2.90E+01,3.39E-03,9.81E-02,E,111,P,133,28
2,1,9,14.924,8.31E-01,0.00E+00,8.83E-01,0.00E+00,0.00E+00,F,111,P,331,1
2,1,9,14.925,8.31E-01,4.68E-06,8.83E-01,3.20E-06,2.82E-06,F,111,P,333,2
2,1,9,14.982,8.28E-01,4.13E-01,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,9,14.988,8.27E-01,4.12E-01,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,4
2,1,9,14.993,8.27E-01,4.35E-05,1.62E+01,2.62E-06,1.27E-04,C,133,S,313,5
2,1,9,15.038,8.24E-01,5.81E-01,8.83E-01,3.97E-01,3.50E-01,F,111,P,133,6
2,1,9,15.159,8.18E-01,3.93E-01,1.62E+01,2.36E-02,1.15E+00,C,133,S,111,7
2,1,9,15.17,8.17E-01,1.02E-06,2.90E+01,3.44E-08,4.99E-06,F,155,P,333,8
2,1,9,15.173,8.17E-01,6.41E-04,2.90E+01,2.16E-05,3.12E-03,F,155,P,335,9
2,1,9,15.221,8.15E-01,3.77E-01,1.33E+00,2.21E-01,1.47E+00,C,335,S,313,10
2,1,9,15.225,8.14E-01,3.77E-01,1.33E+00,2.21E-01,8.80E-01,C,333,S,313,11
2,1,9,15.226,8.14E-01,3.77E-01,1.33E+00,2.21E-01,2.93E-01,C,331,S,313,12
2,1,9,15.243,8.13E-01,1.89E-01,3.23E-02,2.40E-01,3.88E-02,F,335,P,333,13
2,1,9,15.245,8.13E-01,5.66E-01,3.23E-02,7.18E-01,1.16E-01,F,335,P,335,14
2,1,9,15.245,8.13E-01,2.52E-01,0.00E+00,3.33E-01,0.00E+00,F,333,P,331,15
2,1,9,15.246,8.13E-01,1.89E-01,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,16
2,1,9,15.247,8.13E-01,0.00E+00,2.77E-03,0.00E+00,0.00E+00,F,331,P,331,17
2,1,9,15.247,8.13E-01,7.55E-01,2.77E-03,9.96E-01,2.76E-03,F,331,P,333,18
2,1,9,15.248,8.13E-01,3.15E-01,0.00E+00,4.17E-01,0.00E+00,F,333,P,335,19
2,1,9,15.287,8.11E-01,7.59E-01,2.90E+01,2.55E-02,3.70E+00,F,155,P,133,20
2,1,9,15.361,8.07E-01,4.52E-04,3.23E-02,5.73E-04,9.25E-05,F,335,P,133,21
2,1,9,15.364,8.07E-01,5.81E-05,0.00E+00,7.68E-05,0.00E+00,F,333,P,133,22
2,1,9,15.365,8.07E-01,1.13E-04,2.77E-03,1.49E-04,4.12E-07,F,331,P,133,23
2,1,9,15.396,8.05E-01,4.13E-05,1.33E+00,2.43E-05,9.66E-05,C,333,S,111,24
2,1,9,15.397,8.05E-01,0.00E+00,1.33E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,9,15.434,8.03E-01,0.00E+00,2.95E+01,0.00E+00,0.00E+00,E,111,P,331,26
2,1,9,15.435,8.03E-01,3.00E-04,2.95E+01,1.01E-05,2.98E-04,E,111,P,333,27
2,1,9,15.556,7.97E-01,1.59E-01,2.95E+01,5.36E-03,1.58E-01,E,111,P,133,28
2,1,10,12.089,1.03E+00,0.00E+00,9.85E-01,0.00E+00,0.00E+00,F,111,P,331,1
2,1,10,12.089,1.03E+00,1.30E-05,9.85E-01,6.89E-06,6.79E-06,F,111,P,333,2
2,1,10,12.132,1.02E+00,6.30E-01,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,10,12.138,1.02E+00,6.29E-01,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,4
2,1,10,12.139,1.02E+00,1.22E-04,1.66E+01,7.11E-06,3.54E-04,C,133,S,313,5
2,1,10,12.174,1.02E+00,8.97E-01,9.85E-01,4.77E-01,4.69E-01,F,111,P,133,6
2,1,10,12.262,1.01E+00,6.02E-01,1.66E+01,3.50E-02,1.74E+00,C,133,S,111,7
2,1,10,12.269,1.01E+00,3.23E-06,2.97E+01,1.05E-07,1.55E-05,F,155,P,333,8
2,1,10,12.271,1.01E+00,1.80E-03,2.97E+01,5.81E-05,8.64E-03,F,155,P,335,9
2,1,10,12.307,1.01E+00,5.80E-01,1.33E+00,3.04E-01,2.02E+00,C,335,S,313,10
2,1,10,12.31,1.01E+00,5.80E-01,1.33E+00,3.03E-01,1.21E+00,C,333,S,313,11
2,1,10,12.312,1.01E+00,5.79E-01,1.33E+00,3.03E-01,4.04E-01,C,331,S,313,12
2,1,10,12.323,1.01E+00,2.91E-01,6.05E-02,2.38E-01,7.20E-02,F,335,P,333,13
2,1,10,12.325,1.01E+00,8.71E-01,6.05E-02,7.11E-01,2.15E-01,F,335,P,335,14
2,1,10,12.325,1.01E+00,3.88E-01,0.00E+00,3.33E-01,0.00E+00,F,333,P,331,15
2,1,10,12.326,1.01E+00,2.91E-01,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,16
2,1,10,12.327,1.01E+00,0.00E+00,5.17E-03,0.00E+00,0.00E+00,F,331,P,331,17
2,1,10,12.327,1.01E+00,1.16E+00,5.17E-03,9.95E-01,5.15E-03,F,331,P,333,18
2,1,10,12.328,1.01E+00,4.84E-01,0.00E+00,4.17E-01,0.00E+00,F,333,P,335,19
2,1,10,12.357,1.00E+00,1.17E+00,2.97E+01,3.78E-02,5.61E+00,F,155,P,133,20
2,1,10,12.411,9.99E-01,1.26E-03,6.05E-02,1.03E-03,3.12E-04,F,335,P,133,21
2,1,10,12.414,9.99E-01,1.65E-04,0.00E+00,1.42E-04,0.00E+00,F,333,P,133,22
2,1,10,12.416,9.99E-01,3.16E-04,5.17E-03,2.71E-04,1.40E-06,F,331,P,133,23
2,1,10,12.437,9.97E-01,1.17E-04,1.33E+00,6.11E-05,2.44E-04,C,333,S,111,24
2,1,10,12.438,9.97E-01,0.00E+00,1.33E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,10,12.464,9.95E-01,0.00E+00,3.00E+01,0.00E+00,0.00E+00,E,111,P,331,26
2,1,10,12.464,9.95E-01,8.59E-04,3.00E+01,2.85E-05,8.52E-04,E,111,P,333,27
2,1,10,12.555,9.88E-01,2.44E-01,3.00E+01,8.07E-03,2.42E-01,E,111,P,133,28
2,1,11,9.9898,1.24E+00,0.00E+00,1.08E+00,0.00E+00,0.00E+00,F,111,P,331,1
2,1,11,9.9903,1.24E+00,3.25E-05,1.08E+00,1.35E-05,1.46E-05,F,111,P,333,2
2,1,11,10.023,1.24E+00,9.23E-01,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,11,10.027,1.24E+00,3.12E-04,1.69E+01,1.75E-05,8.90E-04,C,133,S,313,4
2,1,11,10.029,1.24E+00,9.21E-01,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,5
2,1,11,10.056,1.23E+00,1.33E+00,1.08E+00,5.51E-01,5.96E-01,F,111,P,133,6
2,1,11,10.121,1.23E+00,8.85E-01,1.69E+01,4.97E-02,2.52E+00,C,133,S,111,7
2,1,11,10.126,1.22E+00,7.98E-06,3.03E+01,2.49E-07,3.78E-05,F,155,P,333,8
2,1,11,10.128,1.22E+00,4.60E-03,3.03E+01,1.43E-04,2.17E-02,F,155,P,335,9
2,1,11,10.155,1.22E+00,8.57E-01,1.33E+00,3.91E-01,2.61E+00,C,335,S,313,10
2,1,11,10.158,1.22E+00,8.55E-01,1.34E+00,3.90E-01,1.57E+00,C,333,S,313,11
2,1,11,10.16,1.22E+00,8.55E-01,1.33E+00,3.91E-01,5.21E-01,C,331,S,313,12
2,1,11,10.167,1.22E+00,4.31E-01,1.07E-01,2.36E-01,1.27E-01,F,335,P,333,13
2,1,11,10.169,1.22E+00,1.28E+00,1.07E-01,7.03E-01,3.77E-01,F,335,P,335,14
2,1,11,10.169,1.22E+00,5.72E-01,0.00E+00,3.33E-01,0.00E+00,F,333,P,331,15
2,1,11,10.17,1.22E+00,4.29E-01,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,16
2,1,11,10.171,1.22E+00,0.00E+00,9.02E-03,0.00E+00,0.00E+00,F,331,P,331,17
2,1,11,10.171,1.22E+00,1.71E+00,9.02E-03,9.94E-01,8.97E-03,F,331,P,333,18
2,1,11,10.172,1.22E+00,7.15E-01,0.00E+00,4.16E-01,0.00E+00,F,333,P,335,19
2,1,11,10.194,1.22E+00,1.72E+00,3.03E+01,5.36E-02,8.13E+00,F,155,P,133,20
2,1,11,10.235,1.21E+00,3.24E-03,1.07E-01,1.77E-03,9.52E-04,F,335,P,133,21
2,1,11,10.238,1.21E+00,4.23E-04,0.00E+00,2.46E-04,0.00E+00,F,333,P,133,22
2,1,11,10.24,1.21E+00,7.96E-04,9.02E-03,4.62E-04,4.17E-06,F,331,P,133,23
2,1,11,10.255,1.21E+00,2.99E-04,1.34E+00,1.36E-04,5.47E-04,C,333,S,111,24
2,1,11,10.256,1.21E+00,0.00E+00,1.33E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,11,10.274,1.21E+00,0.00E+00,3.03E+01,0.00E+00,0.00E+00,E,111,P,331,26
2,1,11,10.275,1.21E+00,2.21E-03,3.03E+01,7.22E-05,2.19E-03,E,111,P,333,27
2,1,11,10.345,1.20E+00,3.57E-01,3.03E+01,1.16E-02,3.53E-01,E,111,P,133,28
2,1,12,8.393,1.48E+00,0.00E+00,1.18E+00,0.00E+00,0.00E+00,F,111,P,331,1
2,1,12,8.3936,1.48E+00,7.46E-05,1.18E+00,2.42E-05,2.85E-05,F,111,P,333,2
2,1,12,8.4192,1.47E+00,1.31E+00,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,12,8.4222,1.47E+00,7.33E-04,1.72E+01,3.97E-05,2.05E-03,C,133,S,313,4
2,1,12,8.4246,1.47E+00,1.31E+00,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,5
2,1,12,8.446,1.47E+00,1.90E+00,1.18E+00,6.18E-01,7.27E-01,F,111,P,133,6
2,1,12,8.4956,1.46E+00,1.26E+00,1.72E+01,6.83E-02,3.52E+00,C,133,S,111,7
2,1,12,8.498,1.46E+00,1.60E-05,3.08E+01,4.80E-07,7.39E-05,F,155,P,333,8
2,1,12,8.5006,1.46E+00,1.09E-02,3.08E+01,3.28E-04,5.05E-02,F,155,P,335,9
2,1,12,8.5207,1.46E+00,1.22E+00,1.34E+00,4.78E-01,3.19E+00,C,335,S,313,10
2,1,12,8.5242,1.45E+00,1.22E+00,1.34E+00,4.75E-01,1.92E+00,C,333,S,313,11
2,1,12,8.5258,1.45E+00,1.22E+00,1.34E+00,4.77E-01,6.38E-01,C,331,S,313,12
2,1,12,8.5299,1.45E+00,6.16E-01,1.82E-01,2.34E-01,2.13E-01,F,335,P,333,13
2,1,12,8.5323,1.45E+00,8.16E-01,0.00E+00,3.34E-01,0.00E+00,F,333,P,331,14
2,1,12,8.5325,1.45E+00,1.83E+00,1.82E-01,6.94E-01,6.31E-01,F,335,P,335,15
2,1,12,8.5329,1.45E+00,6.11E-01,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,16
2,1,12,8.5341,1.45E+00,0.00E+00,1.48E-02,0.00E+00,0.00E+00,F,331,P,331,17
2,1,12,8.5347,1.45E+00,2.44E+00,1.48E-02,9.93E-01,1.47E-02,F,331,P,333,18
2,1,12,8.5355,1.45E+00,1.02E+00,0.00E+00,4.16E-01,0.00E+00,F,333,P,335,19
2,1,12,8.5516,1.45E+00,2.44E+00,3.08E+01,7.35E-02,1.13E+01,F,155,P,133,20
2,1,12,8.5839,1.44E+00,7.71E-03,1.82E-01,2.93E-03,2.67E-03,F,335,P,133,21
2,1,12,8.587,1.44E+00,9.96E-04,0.00E+00,4.07E-04,0.00E+00,F,333,P,133,22
2,1,12,8.5888,1.44E+00,1.84E-03,1.48E-02,7.48E-04,1.11E-05,F,331,P,133,23
2,1,12,8.5995,1.44E+00,7.03E-04,1.34E+00,2.74E-04,1.11E-03,C,333,S,111,24
2,1,12,8.6011,1.44E+00,0.00E+00,1.34E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,12,8.6139,1.44E+00,0.00E+00,3.06E+01,0.00E+00,0.00E+00,E,111,P,331,26
2,1,12,8.6145,1.44E+00,5.22E-03,3.06E+01,1.68E-04,5.14E-03,E,111,P,333,27
2,1,12,8.6697,1.43E+00,5.04E-01,3.06E+01,1.62E-02,4.95E-01,E,111,P,133,28
2,1,13,7.15,1.73E+00,0.00E+00,1.27E+00,0.00E+00,0.00E+00,F,111,P,331,1
2,1,13,7.1507,1.73E+00,1.59E-04,1.27E+00,4.05E-05,5.16E-05,F,111,P,333,2
2,1,13,7.1709,1.73E+00,1.80E+00,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,13,7.1732,1.73E+00,1.60E-03,1.74E+01,8.38E-05,4.37E-03,C,133,S,313,4
2,1,13,7.1763,1.73E+00,1.80E+00,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,5
2,1,13,7.1929,1.72E+00,2.65E+00,1.27E+00,6.75E-01,8.60E-01,F,111,P,133,6
