Wavelength Å,Energy keV,Probability  of radiative decay s−1,Probability of autoionization s−1,Branching ratio ,Satellite intensity factor s−1,Source, Source g,Target, Target g, name
Carbon
2.2025E+01,5.6290E-01,2.76E+12,6.42E+12,3.01E+12,7.72E+12,1s 2s 2p,4,1s2 2s,2,q
2.2027E+01,5.6290E-01,2.73E+12,7.15E+12,2.76E+12,3.95E+12,1s 2s 2p,2,1s2 2s,2,r
2.2062E+01,5.6200E-01,7.00E+11,8.02E+10,1.52E+12,4.87E+10,1s 2p2,4,1s2 2p,2,b
2.2065E+01,5.6190E-01,3.83E+12,8.02E+10,8.31E+12,2.67E+11,1s 2p2,4,1s2 2p,4,a
2.2065E+01,5.6190E-01,3.03E+12,1.90E+08,6.70E+12,2.55E+08,1s 2p2,2,1s2 2p,2,d
2.2068E+01,5.6180E-01,1.49E+12,1.90E+08,3.30E+12,1.25E+08,1s 2p2,2,1s2 2p,4,c
2.2125E+01,5.6040E-01,1.32E+12,9.87E+13,1.32E+11,5.21E+12,1s 2p2,4,1s2 2p,2,k
2.2128E+01,5.6030E-01,2.01E+11,9.87E+13,2.00E+10,7.90E+11,1s 2p2,4,1s2 2p,4,l
2.2130E+01,5.6030E-01,1.52E+12,9.88E+13,1.51E+11,8.98E+12,1s 2p2,6,1s2 2p,4,j
2.2329E+01,5.5530E-01,4.47E+06,4.29E+08,8.08E+10,1.39E+07,1s 2p2,4,1s2 2p,2,g
2.2331E+01,5.5520E-01,1.60E+08,1.07E+10,1.47E+11,9.44E+08,1s 2p2,6,1s2 2p,4,e
2.2331E+01,5.5520E-01,6.60E+07,9.99E+05,9.70E+12,1.94E+06,1s 2p2,2,1s2 2p,2,i
2.2332E+01,5.5520E-01,1.20E+08,4.29E+08,2.16E+12,3.71E+08,1s 2p2,4,1s2 2p,4,f
2.2333E+01,5.5520E-01,9.64E+05,9.99E+05,1.42E+11,2.83E+04,1s 2p2,2,1s2 2p,4,h
2.2374E+01,5.5410E-01,9.85E+07,1.39E+08,4.15E+12,2.30E+08,1s 2s 2p,4,1s2 2s,2,u
2.2375E+01,5.5410E-01,3.77E+07,6.12E+05,9.81E+12,1.20E+06,1s 2s 2p,2,1s2 2s,2,v
2.3029E+01,5.3840E-01,4.76E+10,1.11E+14,4.28E+09,9.51E+10,1s 2s2,2,1s2 2p,2,p
2.3032E+01,5.3830E-01,9.36E+10,1.11E+14,8.42E+09,1.87E+11,1s 2s2,2,1s2 2p,4,o

Fluorine
1.6931E+01,7.3230E-01,7.16E+11,1.01E+13,5.80E+11,1.17E+12,1s 2p2,2,1s2 2p,2,n
1.6934E+01,7.3220E-01,1.56E+12,1.01E+13,1.27E+12,2.55E+12,1s 2p2,2,1s2 2p,4,m
1.6972E+01,7.3060E-01,4.61E+11,7.56E+13,6.06E+10,1.83E+12,1s 2s 2p,4,1s2 2s,2,s
1.6972E+01,7.3050E-01,5.38E+11,7.45E+13,7.17E+10,1.07E+12,1s 2s 2p,2,1s2 2s,2,t
1.7096E+01,7.2520E-01,4.72E+12,6.04E+12,4.39E+12,1.06E+13,1s 2s 2p,4,1s2 2s,2,q
1.7097E+01,7.2520E-01,4.65E+12,7.15E+12,3.94E+12,5.63E+12,1s 2s 2p,2,1s2 2s,2,r
1.7122E+01,7.2410E-01,1.16E+12,1.72E+11,1.46E+12,1.01E+11,1s 2p2,4,1s2 2p,2,b
1.7125E+01,7.2400E-01,6.56E+12,1.72E+11,8.32E+12,5.71E+11,1s 2p2,4,1s2 2p,4,a
1.7125E+01,7.2400E-01,5.19E+12,5.58E+08,6.72E+12,7.51E+08,1s 2p2,2,1s2 2p,2,d
1.7128E+01,7.2390E-01,2.53E+12,5.58E+08,3.28E+12,3.66E+08,1s 2p2,2,1s2 2p,4,c
1.7169E+01,7.2220E-01,2.29E+12,1.07E+14,2.09E+11,8.94E+12,1s 2p2,4,1s2 2p,2,k
1.7172E+01,7.2200E-01,3.08E+11,1.07E+14,2.81E+10,1.20E+12,1s 2p2,4,1s2 2p,4,l
1.7173E+01,7.2200E-01,2.59E+12,1.07E+14,2.36E+11,1.52E+13,1s 2p2,6,1s2 2p,4,j
1.7317E+01,7.1600E-01,1.03E+07,1.14E+09,6.67E+10,3.05E+07,1s 2p2,4,1s2 2p,2,g
1.7318E+01,7.1590E-01,5.48E+08,2.33E+10,2.30E+11,3.21E+09,1s 2p2,6,1s2 2p,4,e
1.7318E+01,7.1590E-01,2.31E+08,5.93E+06,9.55E+12,1.13E+07,1s 2p2,2,1s2 2p,2,i
1.7320E+01,7.1590E-01,3.95E+08,1.14E+09,2.55E+12,1.17E+09,1s 2p2,4,1s2 2p,4,f
1.7321E+01,7.1580E-01,4.74E+06,5.93E+06,1.96E+11,2.33E+05,1s 2p2,2,1s2 2p,4,h
1.7344E+01,7.1480E-01,3.41E+08,3.80E+08,4.73E+12,7.18E+08,1s 2s 2p,4,1s2 2s,2,u
1.7345E+01,7.1480E-01,1.31E+08,1.16E+07,9.18E+12,2.13E+07,1s 2s 2p,2,1s2 2s,2,v
1.7796E+01,6.9670E-01,8.13E+10,1.15E+14,7.03E+09,1.62E+11,1s 2s2,2,1s2 2p,2,p
1.7799E+01,6.9660E-01,1.59E+11,1.15E+14,1.37E+10,3.17E+11,1s 2s2,2,1s2 2p,4,o

Neon
