Wavelength Å,Energy keV,Probability  of radiative decay s−1,Probability of autoionization s−1,Branching ratio ,Satellite intensity factor s−1,Source, Source g,Target, Target g, name
Carbon
5.8333E+00,2.1260E+00,2.53E+13,1.32E+14,1.60E+12,8.49E+13,1s 2p2,4,1s2 2p,2,k
5.8371E+00,2.1240E+00,4.13E+11,1.32E+14,2.61E+10,1.38E+12,1s 2p2,4,1s2 2p,4,l
5.8376E+00,2.1240E+00,2.42E+13,1.36E+14,1.51E+12,1.23E+14,1s 2p2,6,1s2 2p,4,j
5.8682E+00,2.1130E+00,3.13E+08,4.53E+10,2.80E+10,5.06E+08,1s 2p2,4,1s2 2p,2,g
5.8699E+00,2.1120E+00,5.43E+10,1.39E+09,9.46E+12,2.62E+09,1s 2p2,2,1s2 2p,2,i
5.8701E+00,2.1120E+00,1.19E+11,6.79E+11,1.49E+12,6.07E+11,1s 2p2,6,1s2 2p,4,e
5.8721E+00,2.1110E+00,6.62E+10,4.53E+10,5.92E+12,1.07E+11,1s 2p2,4,1s2 2p,4,f
5.8738E+00,2.1110E+00,1.69E+09,1.39E+09,2.95E+11,8.19E+07,1s 2p2,2,1s2 2p,4,h
5.8738E+00,2.1110E+00,6.84E+10,1.81E+10,7.91E+12,5.73E+10,1s 2s 2p,4,1s2 2s,2,u
5.8749E+00,2.1100E+00,2.55E+10,2.59E+09,9.08E+12,4.70E+09,1s 2s 2p,2,1s2 2s,2,v
5.9670E+00,2.0780E+00,7.81E+11,1.29E+14,5.95E+10,1.54E+12,1s 2s2,2,1s2 2p,2,p
5.9710E+00,2.0770E+00,1.37E+12,1.29E+14,1.04E+11,2.70E+12,1s 2s2,2,1s2 2p,4,o


Sulfur
5.0581E+00,2.4510E+00,6.34E+12,1.77E+13,1.35E+12,4.80E+12,1s 2p2,2,1s2 2p,2,n
5.0619E+00,2.4490E+00,2.27E+13,1.77E+13,4.86E+12,1.72E+13,1s 2p2,2,1s2 2p,4,m
5.0658E+00,2.4480E+00,3.45E+12,9.52E+13,3.50E+11,1.33E+13,1s 2s 2p,4,1s2 2s,2,s
5.0666E+00,2.4470E+00,9.55E+12,8.76E+13,9.82E+11,1.72E+13,1s 2s 2p,2,1s2 2s,2,t
5.0855E+00,2.4380E+00,6.06E+13,2.86E+12,9.55E+12,1.09E+13,1s 2s 2p,4,1s2 2s,2,q
5.0875E+00,2.4370E+00,5.46E+13,1.04E+13,8.40E+12,1.75E+13,1s 2s 2p,2,1s2 2s,2,r
5.0879E+00,2.4370E+00,8.19E+12,5.76E+12,8.28E+11,1.91E+12,1s 2p2,4,1s2 2p,2,b
5.0917E+00,2.4350E+00,6.69E+13,4.93E+10,7.01E+12,6.91E+10,1s 2p2,2,1s2 2p,2,d
5.0918E+00,2.4350E+00,8.50E+13,5.76E+12,8.59E+12,1.98E+13,1s 2p2,4,1s2 2p,4,a
5.0956E+00,2.4330E+00,2.85E+13,4.93E+10,2.99E+12,2.94E+10,1s 2p2,2,1s2 2p,4,c
5.0983E+00,2.4320E+00,3.45E+13,1.34E+14,2.05E+12,1.10E+14,1s 2p2,4,1s2 2p,2,k
5.1022E+00,2.4300E+00,1.97E+11,1.34E+14,1.17E+10,6.26E+11,1s 2p2,4,1s2 2p,4,l
5.1025E+00,2.4300E+00,3.18E+13,1.38E+14,1.87E+12,1.55E+14,1s 2p2,6,1s2 2p,4,j
5.1273E+00,2.4180E+00,4.74E+08,6.81E+10,2.46E+10,6.70E+08,1s 2p2,4,1s2 2p,2,g
5.1290E+00,2.4170E+00,1.09E+11,2.58E+09,9.49E+12,4.90E+09,1s 2p2,2,1s2 2p,2,i
5.1293E+00,2.4170E+00,2.35E+11,1.04E+12,1.84E+12,1.15E+12,1s 2p2,6,1s2 2p,4,e
5.1312E+00,2.4160E+00,1.24E+11,6.81E+10,6.44E+12,1.76E+11,1s 2p2,4,1s2 2p,4,f
5.1324E+00,2.4160E+00,1.32E+11,2.85E+10,8.23E+12,9.39E+10,1s 2s 2p,4,1s2 2s,2,u
5.1330E+00,2.4160E+00,3.24E+09,2.58E+09,2.83E+11,1.46E+08,1s 2p2,2,1s2 2p,4,h
5.1334E+00,2.4150E+00,4.87E+10,4.24E+09,9.20E+12,7.81E+09,1s 2s 2p,2,1s2 2s,2,v
5.2090E+00,2.3800E+00,1.04E+12,1.30E+14,7.78E+10,2.03E+12,1s 2s2,2,1s2 2p,2,p
5.2131E+00,2.3780E+00,1.77E+12,1.30E+14,1.33E+11,3.46E+12,1s 2s2,2,1s2 2p,4,o



Chlorine
4.4601E+00,2.7800E+00,7.51E+12,1.85E+13,1.33E+12,4.93E+12,1s 2p2,2,1s2 2p,2,n
4.4640E+00,2.7780E+00,3.04E+13,1.85E+13,5.39E+12,2.00E+13,1s 2p2,2,1s2 2p,4,m
4.4668E+00,2.7760E+00,3.93E+12,9.70E+13,3.89E+11,1.51E+13,1s 2s 2p,4,1s2 2s,2,s
4.4677E+00,2.7750E+00,1.34E+13,8.79E+13,1.33E+12,2.33E+13,1s 2s 2p,2,1s2 2s,2,t
4.4832E+00,2.7660E+00,7.90E+13,2.35E+12,9.71E+12,9.14E+12,1s 2s 2p,4,1s2 2s,2,q
4.4845E+00,2.7650E+00,9.20E+12,7.89E+12,7.22E+11,2.28E+12,1s 2p2,4,1s2 2p,2,b
4.4852E+00,2.7640E+00,6.97E+13,1.15E+13,8.58E+12,1.98E+13,1s 2s 2p,2,1s2 2s,2,r
4.4884E+00,2.7620E+00,8.74E+13,7.41E+10,7.07E+12,1.05E+11,1s 2p2,2,1s2 2p,2,d
4.4885E+00,2.7620E+00,1.10E+14,7.89E+12,8.66E+12,2.73E+13,1s 2p2,4,1s2 2p,4,a
4.4924E+00,2.7600E+00,3.61E+13,7.41E+10,2.92E+12,4.33E+10,1s 2p2,2,1s2 2p,4,c
4.4936E+00,2.7590E+00,4.62E+13,1.34E+14,2.56E+12,1.37E+14,1s 2p2,4,1s2 2p,2,k
4.4976E+00,2.7570E+00,2.35E+10,1.34E+14,1.30E+09,6.99E+10,1s 2p2,4,1s2 2p,4,l
4.4977E+00,2.7570E+00,4.10E+13,1.40E+14,2.26E+12,1.91E+14,1s 2p2,6,1s2 2p,4,j
4.5179E+00,2.7440E+00,7.05E+08,9.87E+10,2.19E+10,8.63E+08,1s 2p2,4,1s2 2p,2,g
4.5197E+00,2.7430E+00,2.10E+11,4.60E+09,9.53E+12,8.76E+09,1s 2p2,2,1s2 2p,2,i
4.5199E+00,2.7430E+00,4.47E+11,1.55E+12,2.24E+12,2.08E+12,1s 2p2,6,1s2 2p,4,e
4.5219E+00,2.7420E+00,2.23E+11,9.87E+10,6.91E+12,2.73E+11,1s 2p2,4,1s2 2p,4,f
4.5226E+00,2.7420E+00,2.45E+11,4.34E+10,8.50E+12,1.48E+11,1s 2s 2p,4,1s2 2s,2,u
4.5237E+00,2.7410E+00,5.82E+09,4.60E+09,2.64E+11,2.43E+08,1s 2p2,2,1s2 2p,4,h
4.5237E+00,2.7410E+00,8.90E+10,6.62E+09,9.31E+12,1.23E+10,1s 2s 2p,2,1s2 2s,2,v
4.5865E+00,2.7030E+00,1.35E+12,1.31E+14,1.00E+11,2.63E+12,1s 2s2,2,1s2 2p,2,p
4.5907E+00,2.7010E+00,2.23E+12,1.31E+14,1.65E+11,4.34E+12,1s 2s2,2,1s2 2p,4,o


Argon
3.9618E+00,3.1300E+00,8.65E+12,1.93E+13,1.27E+12,4.91E+12,1s 2p2,2,1s2 2p,2,n
3.9658E+00,3.1260E+00,4.02E+13,1.93E+13,5.89E+12,2.28E+13,1s 2p2,2,1s2 2p,4,m
3.9678E+00,3.1250E+00,4.30E+12,9.86E+13,4.18E+11,1.65E+13,1s 2s 2p,4,1s2 2s,2,s
3.9687E+00,3.1240E+00,1.87E+13,8.77E+13,1.76E+12,3.09E+13,1s 2s 2p,2,1s2 2s,2,t
3.9815E+00,3.1140E+00,1.01E+14,1.86E+12,9.82E+12,7.32E+12,1s 2s 2p,4,1s2 2s,2,q
3.9819E+00,3.1140E+00,1.00E+13,1.04E+13,6.21E+11,2.58E+12,1s 2p2,4,1s2 2p,2,b
3.9836E+00,3.1120E+00,8.73E+13,1.28E+13,8.72E+12,2.23E+13,1s 2s 2p,2,1s2 2s,2,r
3.9860E+00,3.1110E+00,1.41E+14,1.04E+13,8.73E+12,3.64E+13,1s 2p2,4,1s2 2p,4,a
3.9860E+00,3.1110E+00,1.12E+14,1.07E+11,7.14E+12,1.54E+11,1s 2p2,2,1s2 2p,2,d
3.9900E+00,3.1070E+00,4.48E+13,1.07E+11,2.85E+12,6.13E+10,1s 2p2,2,1s2 2p,4,c
3.9900E+00,3.1070E+00,6.07E+13,1.34E+14,3.12E+12,1.67E+14,1s 2p2,4,1s2 2p,2,k
3.9941E+00,3.1040E+00,5.21E+13,1.42E+14,2.68E+12,2.29E+14,1s 2p2,6,1s2 2p,4,j
3.9941E+00,3.1040E+00,5.46E+10,1.34E+14,2.81E+09,1.50E+11,1s 2p2,4,1s2 2p,4,l
4.0106E+00,3.0910E+00,1.04E+09,1.38E+11,1.98E+10,1.10E+09,1s 2p2,4,1s2 2p,2,g
4.0124E+00,3.0900E+00,3.90E+11,7.90E+09,9.56E+12,1.51E+10,1s 2p2,2,1s2 2p,2,i
4.0128E+00,3.0900E+00,8.20E+11,2.27E+12,2.66E+12,3.61E+12,1s 2p2,6,1s2 2p,4,e
4.0147E+00,3.0880E+00,3.84E+11,1.38E+11,7.34E+12,4.06E+11,1s 2p2,4,1s2 2p,4,f
4.0150E+00,3.0880E+00,4.37E+11,6.43E+10,8.72E+12,2.24E+11,1s 2s 2p,4,1s2 2s,2,u
4.0162E+00,3.0870E+00,1.56E+11,9.91E+09,9.40E+12,1.86E+10,1s 2s 2p,2,1s2 2s,2,v
4.0165E+00,3.0870E+00,9.85E+09,7.90E+09,2.41E+11,3.82E+08,1s 2p2,2,1s2 2p,4,h
4.0690E+00,3.0470E+00,1.73E+12,1.32E+14,1.27E+11,3.35E+12,1s 2s2,2,1s2 2p,2,p
4.0732E+00,3.0440E+00,2.76E+12,1.32E+14,2.02E+11,5.33E+12,1s 2s2,2,1s2 2p,4,o



Potassium
3.5422E+00,3.5000E+00,9.69E+12,2.01E+13,1.18E+12,4.75E+12,1s 2p2,2,1s2 2p,2,n
3.5462E+00,3.4960E+00,5.23E+13,2.01E+13,6.37E+12,2.56E+13,1s 2p2,2,1s2 2p,4,m
3.5477E+00,3.4950E+00,4.53E+12,1.00E+14,4.33E+11,1.73E+13,1s 2s 2p,4,1s2 2s,2,s
3.5485E+00,3.4940E+00,2.58E+13,8.73E+13,2.28E+12,3.98E+13,1s 2s 2p,2,1s2 2s,2,t
3.5590E+00,3.4840E+00,1.05E+13,1.33E+13,5.27E+11,2.79E+12,1s 2p2,4,1s2 2p,2,b
3.5593E+00,3.4830E+00,1.28E+14,1.41E+12,9.89E+12,5.56E+12,1s 2s 2p,4,1s2 2s,2,q
3.5614E+00,3.4810E+00,1.08E+14,1.43E+13,8.83E+12,2.53E+13,1s 2s 2p,2,1s2 2s,2,r
3.5631E+00,3.4800E+00,1.76E+14,1.33E+13,8.81E+12,4.68E+13,1s 2p2,4,1s2 2p,4,a
3.5632E+00,3.4800E+00,1.42E+14,1.50E+11,7.21E+12,2.17E+11,1s 2p2,2,1s2 2p,2,d
3.5663E+00,3.4770E+00,7.84E+13,1.33E+14,3.70E+12,1.97E+14,1s 2p2,4,1s2 2p,2,k
3.5673E+00,3.4760E+00,5.48E+13,1.50E+11,2.78E+12,8.36E+10,1s 2p2,2,1s2 2p,4,c
3.5702E+00,3.4730E+00,6.51E+13,1.43E+14,3.13E+12,2.69E+14,1s 2p2,6,1s2 2p,4,j
3.5704E+00,3.4730E+00,5.14E+11,1.33E+14,2.43E+10,1.29E+12,1s 2p2,4,1s2 2p,4,l
3.5839E+00,3.4600E+00,1.51E+09,1.88E+11,1.83E+10,1.38E+09,1s 2p2,4,1s2 2p,2,g
3.5858E+00,3.4580E+00,7.03E+11,1.31E+10,9.60E+12,2.52E+10,1s 2p2,2,1s2 2p,2,i
3.5861E+00,3.4570E+00,1.45E+12,3.24E+12,3.10E+12,6.02E+12,1s 2p2,6,1s2 2p,4,e
3.5881E+00,3.4560E+00,6.37E+11,1.88E+11,7.71E+12,5.80E+11,1s 2p2,4,1s2 2p,4,f
3.5881E+00,3.4550E+00,7.54E+11,9.28E+10,8.90E+12,3.30E+11,1s 2s 2p,4,1s2 2s,2,u
3.5892E+00,3.4540E+00,2.65E+11,1.43E+10,9.49E+12,2.71E+10,1s 2s 2p,2,1s2 2s,2,v
3.5899E+00,3.4540E+00,1.58E+10,1.31E+10,2.16E+11,5.66E+08,1s 2p2,2,1s2 2p,4,h
3.6341E+00,3.4120E+00,2.19E+12,1.33E+14,1.59E+11,4.21E+12,1s 2s2,2,1s2 2p,2,p
3.6384E+00,3.4080E+00,3.35E+12,1.33E+14,2.43E+11,6.44E+12,1s 2s2,2,1s2 2p,4,o


Calcium
3.1855E+00,3.8920E+00,1.06E+13,2.09E+13,1.07E+12,4.47E+12,1s 2p2,2,1s2 2p,2,n
3.1897E+00,3.8870E+00,6.73E+13,2.09E+13,6.81E+12,2.85E+13,1s 2p2,2,1s2 2p,4,m
3.1906E+00,3.8860E+00,4.56E+12,1.01E+14,4.30E+11,1.75E+13,1s 2s 2p,4,1s2 2s,2,s
3.1915E+00,3.8850E+00,3.52E+13,8.65E+13,2.89E+12,5.01E+13,1s 2s 2p,2,1s2 2s,2,t
3.1996E+00,3.8750E+00,1.08E+13,1.64E+13,4.41E+11,2.89E+12,1s 2p2,4,1s2 2p,2,b
3.2006E+00,3.8740E+00,1.60E+14,9.90E+11,9.94E+12,3.93E+12,1s 2s 2p,4,1s2 2s,2,q
3.2027E+00,3.8710E+00,1.30E+14,1.61E+13,8.90E+12,2.86E+13,1s 2s 2p,2,1s2 2s,2,r
3.2038E+00,3.8700E+00,2.18E+14,1.64E+13,8.89E+12,5.82E+13,1s 2p2,4,1s2 2p,4,a
3.2039E+00,3.8700E+00,1.78E+14,2.04E+11,7.29E+12,2.97E+11,1s 2p2,2,1s2 2p,2,d
3.2064E+00,3.8670E+00,9.98E+13,1.32E+14,4.28E+12,2.26E+14,1s 2p2,4,1s2 2p,2,k
3.2081E+00,3.8650E+00,6.61E+13,2.04E+11,2.70E+12,1.10E+11,1s 2p2,2,1s2 2p,4,c
3.2102E+00,3.8620E+00,8.03E+13,1.44E+14,3.58E+12,3.09E+14,1s 2p2,6,1s2 2p,4,j
3.2106E+00,3.8620E+00,1.67E+12,1.32E+14,7.18E+10,3.78E+12,1s 2p2,4,1s2 2p,4,l
3.2215E+00,3.8490E+00,2.21E+09,2.49E+11,1.73E+10,1.73E+09,1s 2p2,4,1s2 2p,2,g
3.2234E+00,3.8460E+00,1.23E+12,2.12E+10,9.65E+12,4.09E+10,1s 2p2,2,1s2 2p,2,i
3.2238E+00,3.8460E+00,2.50E+12,4.53E+12,3.55E+12,9.65E+12,1s 2p2,6,1s2 2p,4,e
3.2256E+00,3.8440E+00,1.26E+12,1.31E+11,9.06E+12,4.74E+11,1s 2s 2p,4,1s2 2s,2,u
3.2257E+00,3.8440E+00,1.02E+12,2.49E+11,8.03E+12,8.00E+11,1s 2p2,4,1s2 2p,4,f
3.2267E+00,3.8420E+00,4.35E+11,2.00E+10,9.56E+12,3.82E+10,1s 2s 2p,2,1s2 2s,2,v
3.2276E+00,3.8410E+00,2.40E+10,2.12E+10,1.88E+11,7.96E+08,1s 2p2,2,1s2 2p,4,h
3.2651E+00,3.7970E+00,2.75E+12,1.33E+14,1.96E+11,5.23E+12,1s 2s2,2,1s2 2p,2,p
3.2695E+00,3.7920E+00,4.02E+12,1.33E+14,2.87E+11,7.65E+12,1s 2s2,2,1s2 2p,4,o



Scandium
2.8799E+00,4.3050E+00,1.13E+13,2.16E+13,9.50E+11,4.11E+12,1s 2p2,2,1s2 2p,2,n
2.8840E+00,4.2990E+00,8.56E+13,2.16E+13,7.22E+12,3.13E+13,1s 2p2,2,1s2 2p,4,m
2.8846E+00,4.2980E+00,4.36E+12,1.03E+14,4.08E+11,1.68E+13,1s 2s 2p,4,1s2 2s,2,s
2.8855E+00,4.2970E+00,4.75E+13,8.54E+13,3.58E+12,6.11E+13,1s 2s 2p,2,1s2 2s,2,t
2.8918E+00,4.2880E+00,1.09E+13,1.96E+13,3.66E+11,2.87E+12,1s 2p2,4,1s2 2p,2,b
2.8932E+00,4.2850E+00,1.98E+14,6.33E+11,9.97E+12,2.52E+12,1s 2s 2p,4,1s2 2s,2,q
2.8955E+00,4.2820E+00,1.56E+14,1.80E+13,8.96E+12,3.23E+13,1s 2s 2p,2,1s2 2s,2,r
2.8960E+00,4.2810E+00,2.66E+14,1.96E+13,8.97E+12,7.04E+13,1s 2p2,4,1s2 2p,4,a
2.8962E+00,4.2810E+00,2.20E+14,2.68E+11,7.36E+12,3.95E+11,1s 2p2,2,1s2 2p,2,d
2.8981E+00,4.2780E+00,1.25E+14,1.30E+14,4.83E+12,2.51E+14,1s 2p2,4,1s2 2p,2,k
2.9004E+00,4.2750E+00,7.87E+13,2.68E+11,2.63E+12,1.41E+11,1s 2p2,2,1s2 2p,4,c
2.9017E+00,4.2730E+00,9.76E+13,1.44E+14,4.04E+12,3.49E+14,1s 2p2,6,1s2 2p,4,j
2.9023E+00,4.2720E+00,3.82E+12,1.30E+14,1.48E+11,7.68E+12,1s 2p2,4,1s2 2p,4,l
2.9112E+00,4.2590E+00,3.24E+09,3.22E+11,1.69E+10,2.17E+09,1s 2p2,4,1s2 2p,2,g
2.9131E+00,4.2560E+00,2.10E+12,3.32E+10,9.69E+12,6.43E+10,1s 2p2,2,1s2 2p,2,i
2.9135E+00,4.2560E+00,4.16E+12,6.21E+12,4.01E+12,1.50E+13,1s 2p2,6,1s2 2p,4,e
2.9152E+00,4.2530E+00,2.04E+12,1.81E+11,9.19E+12,6.64E+11,1s 2s 2p,4,1s2 2s,2,u
2.9154E+00,4.2530E+00,1.60E+12,3.22E+11,8.31E+12,1.07E+12,1s 2p2,4,1s2 2p,4,f
2.9163E+00,4.2520E+00,6.93E+11,2.71E+10,9.62E+12,5.22E+10,1s 2s 2p,2,1s2 2s,2,v
2.9174E+00,4.2500E+00,3.45E+10,3.32E+10,1.59E+11,1.06E+09,1s 2p2,2,1s2 2p,4,h
2.9494E+00,4.2040E+00,3.40E+12,1.34E+14,2.40E+11,6.41E+12,1s 2s2,2,1s2 2p,2,p
2.9538E+00,4.1980E+00,4.74E+12,1.34E+14,3.35E+11,8.94E+12,1s 2s2,2,1s2 2p,4,o


Titanium
2.6159E+00,4.7400E+00,1.17E+13,2.24E+13,8.25E+11,3.69E+12,1s 2p2,2,1s2 2p,2,n
2.6201E+00,4.7320E+00,1.08E+14,2.24E+13,7.60E+12,3.40E+13,1s 2p2,2,1s2 2p,4,m
2.6204E+00,4.7320E+00,3.94E+12,1.04E+14,3.66E+11,1.52E+13,1s 2s 2p,4,1s2 2s,2,s
2.6212E+00,4.7300E+00,6.35E+13,8.40E+13,4.31E+12,7.23E+13,1s 2s 2p,2,1s2 2s,2,t
2.6260E+00,4.7220E+00,1.07E+13,2.29E+13,3.01E+11,2.76E+12,1s 2p2,4,1s2 2p,2,b
2.6279E+00,4.7180E+00,2.42E+14,3.47E+11,9.99E+12,1.39E+12,1s 2s 2p,4,1s2 2s,2,q
2.6302E+00,4.7140E+00,3.21E+14,2.29E+13,9.05E+12,8.30E+13,1s 2p2,4,1s2 2p,4,a
2.6302E+00,4.7140E+00,1.84E+14,2.02E+13,9.01E+12,3.64E+13,1s 2s 2p,2,1s2 2s,2,r
2.6305E+00,4.7130E+00,2.69E+14,3.42E+11,7.43E+12,5.08E+11,1s 2p2,2,1s2 2p,2,d
2.6320E+00,4.7110E+00,1.55E+14,1.28E+14,5.33E+12,2.74E+14,1s 2p2,4,1s2 2p,2,k
2.6348E+00,4.7060E+00,9.26E+13,3.42E+11,2.56E+12,1.75E+11,1s 2p2,2,1s2 2p,4,c
2.6354E+00,4.7050E+00,1.17E+14,1.43E+14,4.50E+12,3.87E+14,1s 2p2,6,1s2 2p,4,j
2.6362E+00,4.7030E+00,7.26E+12,1.28E+14,2.50E+11,1.28E+13,1s 2p2,4,1s2 2p,4,l
2.6433E+00,4.6910E+00,4.79E+09,4.06E+11,1.69E+10,2.75E+09,1s 2p2,4,1s2 2p,2,g
2.6454E+00,4.6870E+00,3.48E+12,5.06E+10,9.73E+12,9.85E+10,1s 2p2,2,1s2 2p,2,i
2.6458E+00,4.6860E+00,6.74E+12,8.34E+12,4.47E+12,2.24E+13,1s 2p2,6,1s2 2p,4,e
2.6473E+00,4.6840E+00,3.23E+12,2.45E+11,9.29E+12,9.11E+11,1s 2s 2p,4,1s2 2s,2,u
2.6476E+00,4.6830E+00,2.42E+12,4.06E+11,8.55E+12,1.39E+12,1s 2p2,4,1s2 2p,4,f
2.6484E+00,4.6820E+00,1.07E+12,3.59E+10,9.68E+12,6.94E+10,1s 2s 2p,2,1s2 2s,2,v
2.6497E+00,4.6790E+00,4.72E+10,5.06E+10,1.32E+11,1.33E+09,1s 2p2,2,1s2 2p,4,h
2.6772E+00,4.6310E+00,4.18E+12,1.34E+14,2.91E+11,7.79E+12,1s 2s2,2,1s2 2p,2,p
2.6816E+00,4.6240E+00,5.52E+12,1.34E+14,3.85E+11,1.03E+13,1s 2s2,2,1s2 2p,4,o



Vanadium
2.3863E+00,5.1960E+00,1.19E+13,2.31E+13,7.02E+11,3.24E+12,1s 2p2,2,1s2 2p,2,n
2.3906E+00,5.1870E+00,1.34E+14,2.31E+13,7.93E+12,3.66E+13,1s 2p2,2,1s2 2p,4,m
2.3906E+00,5.1860E+00,3.29E+12,1.04E+14,3.05E+11,1.28E+13,1s 2s 2p,4,1s2 2s,2,s
2.3915E+00,5.1840E+00,8.38E+13,8.23E+13,5.05E+12,8.31E+13,1s 2s 2p,2,1s2 2s,2,t
2.3949E+00,5.1770E+00,1.03E+13,2.61E+13,2.46E+11,2.57E+12,1s 2p2,4,1s2 2p,2,b
2.3973E+00,5.1720E+00,2.92E+14,1.43E+11,1.00E+13,5.71E+11,1s 2s 2p,4,1s2 2s,2,q
2.3992E+00,5.1680E+00,3.83E+14,2.61E+13,9.13E+12,9.55E+13,1s 2p2,4,1s2 2p,4,a
2.3996E+00,5.1670E+00,3.26E+14,4.24E+11,7.50E+12,6.36E+11,1s 2p2,2,1s2 2p,2,d
2.3996E+00,5.1670E+00,2.15E+14,2.26E+13,9.05E+12,4.09E+13,1s 2s 2p,2,1s2 2s,2,r
2.4007E+00,5.1650E+00,1.90E+14,1.26E+14,5.78E+12,2.92E+14,1s 2p2,4,1s2 2p,2,k
2.4039E+00,5.1580E+00,1.08E+14,4.24E+11,2.49E+12,2.11E+11,1s 2p2,2,1s2 2p,4,c
2.4040E+00,5.1580E+00,1.39E+14,1.42E+14,4.94E+12,4.21E+14,1s 2p2,6,1s2 2p,4,j
2.4050E+00,5.1550E+00,1.23E+13,1.26E+14,3.73E+11,1.89E+13,1s 2p2,4,1s2 2p,4,l
2.4106E+00,5.1430E+00,7.11E+09,5.02E+11,1.74E+10,3.49E+09,1s 2p2,4,1s2 2p,2,g
2.4127E+00,5.1390E+00,5.65E+12,7.52E+10,9.76E+12,1.47E+11,1s 2p2,2,1s2 2p,2,i
2.4131E+00,5.1380E+00,1.06E+13,1.10E+13,4.91E+12,3.24E+13,1s 2p2,6,1s2 2p,4,e
2.4145E+00,5.1350E+00,4.97E+12,3.26E+11,9.38E+12,1.23E+12,1s 2s 2p,4,1s2 2s,2,u
2.4150E+00,5.1340E+00,3.58E+12,5.02E+11,8.76E+12,1.76E+12,1s 2p2,4,1s2 2p,4,f
2.4156E+00,5.1330E+00,1.62E+12,4.64E+10,9.72E+12,9.01E+10,1s 2s 2p,2,1s2 2s,2,v
2.4170E+00,5.1300E+00,6.11E+10,7.52E+10,1.06E+11,1.59E+09,1s 2p2,2,1s2 2p,4,h
2.4409E+00,5.0800E+00,5.08E+12,1.34E+14,3.49E+11,9.36E+12,1s 2s2,2,1s2 2p,2,p
2.4453E+00,5.0700E+00,6.36E+12,1.34E+14,4.37E+11,1.17E+13,1s 2s2,2,1s2 2p,4,o


Chromium
2.1854E+00,5.6730E+00,1.18E+13,2.38E+13,5.87E+11,2.80E+12,1s 2p2,2,1s2 2p,2,n
2.1896E+00,5.6630E+00,2.48E+12,1.05E+14,2.31E+11,9.70E+12,1s 2s 2p,4,1s2 2s,2,s
2.1897E+00,5.6620E+00,1.65E+14,2.38E+13,8.23E+12,3.92E+13,1s 2p2,2,1s2 2p,4,m
2.1905E+00,5.6600E+00,1.09E+14,8.04E+13,5.76E+12,9.27E+13,1s 2s 2p,2,1s2 2s,2,t
2.1928E+00,5.6540E+00,9.83E+12,2.93E+13,1.99E+11,2.33E+12,1s 2p2,4,1s2 2p,2,b
2.1955E+00,5.6470E+00,3.49E+14,2.71E+10,1.00E+13,1.08E+11,1s 2s 2p,4,1s2 2s,2,q
2.1971E+00,5.6430E+00,4.54E+14,2.93E+13,9.21E+12,1.08E+14,1s 2p2,4,1s2 2p,4,a
2.1976E+00,5.6420E+00,3.90E+14,5.12E+11,7.56E+12,7.74E+11,1s 2p2,2,1s2 2p,2,d
2.1979E+00,5.6410E+00,2.47E+14,2.51E+13,9.08E+12,4.56E+13,1s 2s 2p,2,1s2 2s,2,r
2.1984E+00,5.6400E+00,2.30E+14,1.25E+14,6.15E+12,3.07E+14,1s 2p2,4,1s2 2p,2,k
2.2015E+00,5.6320E+00,1.63E+14,1.40E+14,5.37E+12,4.52E+14,1s 2p2,6,1s2 2p,4,j
2.2020E+00,5.6310E+00,1.25E+14,5.12E+11,2.43E+12,2.48E+11,1s 2p2,2,1s2 2p,4,c
2.2027E+00,5.6290E+00,1.91E+13,1.25E+14,5.11E+11,2.55E+13,1s 2p2,4,1s2 2p,4,l
2.2071E+00,5.6180E+00,1.06E+10,6.08E+11,1.84E+10,4.47E+09,1s 2p2,4,1s2 2p,2,g
2.2093E+00,5.6120E+00,8.95E+12,1.09E+11,9.80E+12,2.13E+11,1s 2p2,2,1s2 2p,2,i
2.2097E+00,5.6110E+00,1.63E+13,1.42E+13,5.34E+12,4.54E+13,1s 2p2,6,1s2 2p,4,e
2.2110E+00,5.6080E+00,7.49E+12,4.27E+11,9.46E+12,1.62E+12,1s 2s 2p,4,1s2 2s,2,u
2.2115E+00,5.6060E+00,5.17E+12,6.08E+11,8.93E+12,2.17E+12,1s 2p2,4,1s2 2p,4,f
2.2121E+00,5.6050E+00,2.40E+12,5.87E+10,9.76E+12,1.15E+11,1s 2s 2p,2,1s2 2s,2,v
2.2136E+00,5.6010E+00,7.47E+10,1.09E+11,8.18E+10,1.78E+09,1s 2p2,2,1s2 2p,4,h
2.2343E+00,5.5490E+00,6.13E+12,1.34E+14,4.16E+11,1.12E+13,1s 2s2,2,1s2 2p,2,p
2.2388E+00,5.5380E+00,7.23E+12,1.34E+14,4.90E+11,1.32E+13,1s 2s2,2,1s2 2p,4,o



Manganese
2.0087E+00,6.1730E+00,1.15E+13,2.45E+13,4.83E+11,2.37E+12,1s 2p2,2,1s2 2p,2,n
2.0127E+00,6.1600E+00,1.60E+12,1.06E+14,1.49E+11,6.31E+12,1s 2s 2p,4,1s2 2s,2,s
2.0130E+00,6.1590E+00,2.01E+14,2.45E+13,8.48E+12,4.16E+13,1s 2p2,2,1s2 2p,4,m
2.0136E+00,6.1580E+00,1.41E+14,7.84E+13,6.42E+12,1.01E+14,1s 2s 2p,2,1s2 2s,2,t
