n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,8,22.027,5.63E-01,2.73E-01,7.15E-01,2.76E-01,3.95E-01,K,232,S,212,8
2,1,8,22.062,5.62E-01,7.00E-02,8.02E-03,1.52E-01,4.87E-03,M,234,P,232,9
2,1,8,22.065,5.62E-01,3.83E-01,8.02E-03,8.31E-01,2.67E-02,M,234,P,234,10
2,1,8,22.065,5.62E-01,3.03E-01,1.90E-05,6.70E-01,2.55E-05,M,232,P,232,11
2,1,8,22.068,5.62E-01,1.49E-01,1.90E-05,3.30E-01,1.25E-05,M,232,P,234,12
2,1,8,22.097,5.61E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,13
2,1,8,22.125,5.60E-01,1.32E-01,9.87E+00,1.32E-02,5.21E-01,F,254,P,232,14
2,1,8,22.128,5.60E-01,2.01E-02,9.87E+00,2.00E-03,7.90E-02,F,254,P,234,15
2,1,8,22.13,5.60E-01,1.52E-01,9.88E+00,1.51E-02,8.98E-01,F,256,P,234,16
2,1,8,22.329,5.55E-01,4.47E-07,4.29E-05,8.08E-03,1.39E-06,M,434,P,232,17
2,1,8,22.331,5.55E-01,6.60E-06,9.99E-08,9.70E-01,1.94E-07,M,432,P,232,18
2,1,8,22.331,5.55E-01,1.60E-05,1.07E-03,1.47E-02,9.44E-05,M,436,P,234,19
2,1,8,22.332,5.55E-01,1.20E-05,4.29E-05,2.16E-01,3.71E-05,M,434,P,234,20
2,1,8,22.333,5.55E-01,9.64E-08,9.99E-08,1.42E-02,2.83E-09,M,432,P,234,21
2,1,8,22.374,5.54E-01,9.85E-06,1.39E-05,4.15E-01,2.30E-05,K,434,S,212,22
2,1,8,22.375,5.54E-01,3.77E-06,6.12E-08,9.81E-01,1.20E-07,K,432,S,212,23
2,1,8,23.029,5.38E-01,4.76E-03,1.11E+01,4.28E-04,9.51E-03,E,212,P,232,24
2,1,8,23.032,5.38E-01,9.36E-03,1.11E+01,8.42E-04,1.87E-02,E,212,P,234,25
2,1,9,16.809,7.38E-01,5.65E-01,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,9,16.931,7.32E-01,7.16E-02,1.01E+00,5.80E-02,1.17E-01,F,212,P,232,2
2,1,9,16.934,7.32E-01,1.56E-01,1.01E+00,1.27E-01,2.55E-01,F,212,P,234,3
2,1,9,16.949,7.32E-01,1.81E-04,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,4
2,1,9,16.972,7.31E-01,4.61E-02,7.56E+00,6.06E-03,1.83E-01,C,234,S,212,5
2,1,9,16.972,7.31E-01,5.38E-02,7.45E+00,7.17E-03,1.07E-01,C,232,S,212,6
2,1,9,17.096,7.25E-01,4.72E-01,6.04E-01,4.39E-01,1.06E+00,K,234,S,212,7
2,1,9,17.097,7.25E-01,4.65E-01,7.15E-01,3.94E-01,5.63E-01,K,232,S,212,8
2,1,9,17.122,7.24E-01,1.16E-01,1.72E-02,1.46E-01,1.01E-02,M,234,P,232,9
2,1,9,17.125,7.24E-01,6.56E-01,1.72E-02,8.32E-01,5.71E-02,M,234,P,234,10
2,1,9,17.125,7.24E-01,5.19E-01,5.58E-05,6.72E-01,7.51E-05,M,232,P,232,11
2,1,9,17.128,7.24E-01,2.53E-01,5.58E-05,3.28E-01,3.66E-05,M,232,P,234,12
2,1,9,17.153,7.23E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,13
2,1,9,17.169,7.22E-01,2.29E-01,1.07E+01,2.09E-02,8.94E-01,F,254,P,232,14
2,1,9,17.172,7.22E-01,3.08E-02,1.07E+01,2.81E-03,1.20E-01,F,254,P,234,15
2,1,9,17.173,7.22E-01,2.59E-01,1.07E+01,2.36E-02,1.52E+00,F,256,P,234,16
2,1,9,17.317,7.16E-01,1.03E-06,1.14E-04,6.67E-03,3.05E-06,M,434,P,232,17
2,1,9,17.318,7.16E-01,2.31E-05,5.93E-07,9.55E-01,1.13E-06,M,432,P,232,18
2,1,9,17.318,7.16E-01,5.48E-05,2.33E-03,2.30E-02,3.21E-04,M,436,P,234,19
2,1,9,17.32,7.16E-01,3.95E-05,1.14E-04,2.55E-01,1.17E-04,M,434,P,234,20
2,1,9,17.321,7.16E-01,4.74E-07,5.93E-07,1.96E-02,2.33E-08,M,432,P,234,21
2,1,9,17.344,7.15E-01,3.41E-05,3.80E-05,4.73E-01,7.18E-05,K,434,S,212,22
2,1,9,17.345,7.15E-01,1.31E-05,1.16E-06,9.18E-01,2.13E-06,K,432,S,212,23
