"=""3d5""","=""6S""",6,"="" 0.00000""",
"=""3d5""","=""4G""",12,"="" 3.99793""",
"=""3d5""","=""4G""",10,"="" 4.00380""",
"=""3d5""","=""4G""",6,"="" 4.00484""",
"=""3d5""","=""4G""",8,"="" 4.00540""",
"=""3d5""","=""4P""",6,"="" 4.37091""",
"=""3d5""","=""4P""",4,"="" 4.38077""",
"=""3d5""","=""4P""",2,"="" 4.38986""",
"=""3d5""","=""4D""",8,"="" 4.80803""",
"=""3d5""","=""4D""",2,"="" 4.82258""",
"=""3d5""","=""4D""",6,"="" 4.82734""",
"=""3d5""","=""4D""",4,"="" 4.82772""",
"=""3d5""","=""2I""",12,"="" 5.83700""",
"=""3d5""","=""2I""",14,"="" 5.83848""",
"=""3d5""","=""2D3""",6,"="" 6.14236""",
"=""3d5""","=""2D3""",4,"="" 6.20558""",
"=""3d5""","=""2F2""",8,"="" 6.37207""",
"=""3d5""","=""2F2""",6,"="" 6.46785""",
"=""3d5""","=""4F""",10,"="" 6.52414""",
"=""3d5""","=""4F""",8,"="" 6.53340""",
"=""3d5""","=""4F""",4,"="" 6.55097""",
"=""3d5""","=""4F""",6,"="" 6.55108""",
"=""3d5""","=""2H""",10,"="" 6.95034""",
"=""3d5""","=""2H""",12,"="" 6.98884""",
"=""3d5""","=""2G2""",8,"="" 7.11768""",
"=""3d5""","=""2G2""",10,"="" 7.15652""",
"=""3d5""","=""2F1""",6,"="" 7.58244""",
"=""3d5""","=""2F1""",8,"="" 7.59458""",
"=""3d5""","=""2S""",2,"="" 8.27224""",
"=""3d5""","=""2D2""",4,"="" 9.18681""",
"=""3d5""","=""2D2""",6,"="" 9.19133""",
"=""3d5""","=""2G1""",10,"="" 10.27766""",
"=""3d5""","=""2G1""",8,"="" 10.27796""",
"=""3d5""","=""2P""",4,"="" 12.41305""",
"=""3d5""","=""2P""",2,"="" 12.41404""",
"=""3d5""","=""2D1""",6,"="" 13.42031""",
"=""3d5""","=""2D1""",4,"="" 13.42232""",
"=""3d4.(5D).4s""","=""6D""",2,"="" 15.840984""",
"=""3d4.(5D).4s""","=""6D""",4,"="" 15.861189""",
"=""3d4.(5D).4s""","=""6D""",6,"="" 15.893725""",
"=""3d4.(5D).4s""","=""6D""",8,"="" 15.937158""",
"=""3d4.(5D).4s""","=""6D""",10,"="" 15.989953""",
"=""3d4.(5D).4s""","=""4D""",2,"="" 17.072725""",
"=""3d4.(5D).4s""","=""4D""",4,"="" 17.103532""",
"=""3d4.(5D).4s""","=""4D""",6,"="" 17.151829""",
"=""3d4.(5D).4s""","=""4D""",8,"="" 17.214466""",
"=""3d4.(3P2).4s""","=""4P""",2,"="" 19.050388""",
"=""3d4.(3H).4s""","=""4H""",8,"="" 19.116609""",
"=""3d4.(3H).4s""","=""4H""",10,"="" 19.133980""",
"=""3d4.(3P2).4s""","=""4P""",4,"="" 19.152440""",
"=""3d4.(3H).4s""","=""4H""",12,"="" 19.157130""",
"=""3d4.(3H).4s""","=""4H""",14,"="" 19.184235""",
"=""3d4.(3P2).4s""","=""4P""",6,"="" 19.309903""",
"=""3d4.(3F2).4s""","=""4F""",4,"="" 19.343059""",
"=""3d4.(3F2).4s""","=""4F""",6,"="" 19.347650""",
"=""3d4.(3F2).4s""","=""4F""",8,"="" 19.356880""",
"=""3d4.(3F2).4s""","=""4F""",10,"="" 19.369417""",
"=""3d4.(3G).4s""","=""4G""",6,"="" 19.681089""",
"=""3d4.(3G).4s""","=""4G""",8,"="" 19.714776""",
"=""3d4.(3G).4s""","=""4G""",10,"="" 19.741744""",
"=""3d4.(3G).4s""","=""4G""",12,"="" 19.755999""",
"=""3d4.(3P2).4s""","=""2P""",2,"="" 19.839441""",
"=""3d4.(3H).4s""","=""2H""",10,"="" 19.876110""",
"=""3d4.(3H).4s""","=""2H""",12,"="" 19.934006""",
"=""3d4.(3P2).4s""","=""2P""",4,"="" 20.032324""",
"=""3d4.(3F2).4s""","=""2F""",6,"="" 20.094667""",
"=""3d4.(3F2).4s""","=""2F""",8,"="" 20.096327""",
"=""3d4.(3G).4s""","=""2G""",8,"="" 20.451256""",
"=""3d4.(3G).4s""","=""2G""",10,"="" 20.506066""",
"=""3d4.(3D).4s""","=""4D""",8,"="" 20.518529""",
"=""3d4.(3D).4s""","=""4D""",6,"="" 20.531902""",
"=""3d4.(3D).4s""","=""4D""",4,"="" 20.546778""",
"=""3d4.(3D).4s""","=""4D""",2,"="" 20.557134""",
"=""3d4.(1G2).4s""","=""2G""",10,"="" 20.793700""",
"=""3d4.(1G2).4s""","=""2G""",8,"="" 20.804043""",
"=""3d4.(1I).4s""","=""2I""",14,"="" 20.894607""",
"=""3d4.(1I).4s""","=""2I""",12,"="" 20.899574""",
"=""3d4.(1S2).4s""","=""2S""",2,"="" 21.167759""",
"=""3d4.(3D).4s""","=""2D""",6,"="" 21.244113""",
"=""3d4.(3D).4s""","=""2D""",4,"="" 21.260363""",
"=""3d4.(1D2).4s""","=""2D""",6,"="" 21.945943""",
"=""3d4.(1D2).4s""","=""2D""",4,"="" 21.953475""",
"=""3d4.(1F).4s""","=""2F""",6,"="" 22.708897""",
"=""3d4.(1F).4s""","=""2F""",8,"="" 22.709502""",
"=""3d4.(5D).4p""","=""6F*""",2,"="" 23.294004""",
"=""3d4.(5D).4p""","=""6F*""",4,"="" 23.319698""",
"=""3d4.(5D).4p""","=""6F*""",6,"="" 23.362191""",
"=""3d4.(5D).4p""","=""6F*""",8,"="" 23.421179""",
"=""3d4.(5D).4p""","=""6F*""",10,"="" 23.496974""",
"=""3d4.(5D).4p""","=""6P*""",4,"="" 23.542753""",
"=""3d4.(3P1).4s""","=""4P""",6,"="" 23.553899""",
"=""3d4.(5D).4p""","=""6P*""",6,"="" 23.558024""",
"=""3d4.(5D).4p""","=""6P*""",8,"="" 23.585126""",
"=""3d4.(5D).4p""","=""6F*""",12,"="" 23.591323""",
"=""3d4.(3F1).4s""","=""4F""",10,"="" 23.596467""",
"=""3d4.(3F1).4s""","=""4F""",4,"="" 23.607391""",
"=""3d4.(3F1).4s""","=""4F""",8,"="" 23.609584""",
"=""3d4.(3F1).4s""","=""4F""",6,"="" 23.610989""",
"=""3d4.(3P1).4s""","=""4P""",4,"="" 23.657647""",
"=""3d4.(5D).4p""","=""4P*""",2,"="" 23.683608""",
"=""3d4.(3P1).4s""","=""4P""",2,"="" 23.722866""",
"=""3d4.(5D).4p""","=""4P*""",4,"="" 23.767041""",
"=""3d4.(5D).4p""","=""6D*""",6,"="" 23.878771""",
"=""3d4.(5D).4p""","=""6D*""",2,"="" 23.943871""",
"=""3d4.(5D).4p""","=""6D*""",4,"="" 23.962583""",
"=""3d4.(5D).4p""","=""6D*""",8,"="" 23.976829""",
"=""3d4.(5D).4p""","=""4P*""",6,"="" 23.997049""",
"=""3d4.(5D).4p""","=""6D*""",10,"="" 24.026797""",
"=""3d4.(3P1).4s""","=""2P""",4,"="" 24.284060""",
"=""3d4.(3F1).4s""","=""2F""",8,"="" 24.317168""",
"=""3d4.(5D).4p""","=""4F*""",4,"="" 24.324073""",
"=""3d4.(3F1).4s""","=""2F""",6,"="" 24.328267""",
"=""3d4.(5D).4p""","=""4F*""",6,"="" 24.342392""",
"=""3d4.(5D).4p""","=""4F*""",8,"="" 24.369043""",
"=""3d4.(5D).4p""","=""4F*""",10,"="" 24.405895""",
"=""3d4.(3P1).4s""","=""2P""",2,"="" 24.409466""",
"=""3d4.(1G1).4s""","=""2G""",10,"="" 24.942899""",
"=""3d4.(1G1).4s""","=""2G""",8,"="" 24.947136""",
"=""3d4.(5D).4p""","=""4D*""",2,"="" 25.034812""",
"=""3d4.(5D).4p""","=""4D*""",4,"="" 25.055374""",
"=""3d4.(5D).4p""","=""4D*""",6,"="" 25.085541""",
"=""3d4.(5D).4p""","=""4D*""",8,"="" 25.120231""",
"=""3d4.(3H).4p""","=""4H*""",8,"="" 26.301486""",
"=""3d4.(3H).4p""","=""4H*""",10,"="" 26.331025""",
"=""3d4.(3H).4p""","=""4H*""",12,"="" 26.373221""",
"=""3d4.(3P2).4p""","=""4D*""",2,"="" 26.385407""",
"=""3d4.(3H).4p""","=""4H*""",14,"="" 26.428793""",
"=""3d4.(3P2).4p""","=""4D*""",4,"="" 26.463813""",
"=""3d4.(3P2).4p""","=""4D*""",6,"="" 26.571947""",
"=""3d4.(3F2).4p""","=""4G*""",6,"="" 26.634501""",
"=""3d4.(3F2).4p""","=""4G*""",8,"="" 26.660795""",
"=""3d4.(3H).4p""","=""4I*""",10,"="" 26.675906""",
