 <pre>
 ===============================================
  iCONF                 E(RYD)      TE(RYD)   gi
 ===============================================
  3d3(3)          -7.17051E+00  0.00000E+00 28.0
  3d2(3FE) 4f     -2.29830E+00  4.87221E+00 12.0
  3d2(3FE) 4f     -2.29043E+00  4.88008E+00 22.0
  3d2(3FE) 4f     -2.28853E+00  4.88198E+00 10.0
  3d2(1GE) 5s     -2.27469E+00  4.89582E+00 18.0
  3p5 3d4(1F4)    -2.27136E+00  4.89915E+00 14.0
  3d2(1DE) 4f     -2.25440E+00  4.91611E+00 10.0
  3p5 3d4(3F2)    -2.24408E+00  4.92643E+00 18.0
  3d2(3FE) 5p     -2.24359E+00  4.92692E+00 20.0
  3d2(3FE) 5p     -2.23956E+00  4.93095E+00 14.0
  3p5 3d4(1D2)    -2.23396E+00  4.93655E+00 10.0
  3d2(3FE) 5p     -2.22580E+00  4.94471E+00 18.0
  3d2(3FE) 5p     -2.21368E+00  4.95683E+00 10.0
  3d2(1DE) 4f     -2.20075E+00  4.96976E+00 14.0
  3p5 3d4(3F2)    -2.19410E+00  4.97641E+00 20.0
  3d2(1DE) 4f     -2.18002E+00  4.99049E+00  6.0
  3d2(1DE) 4f     -2.16967E+00  5.00084E+00 18.0
  3d2(1DE) 4f     -2.16504E+00  5.00547E+00 22.0
  3p5 3d4(1D2):   -2.15761E+00  5.01290E+00  6.0
  3d2(3PE) 4f     -2.15637E+00  5.01414E+00 10.0
  3d2(3PE) 4f     -2.13406E+00  5.03645E+00 18.0
  3d2(3PE) 4f:    -2.11424E+00  5.05627E+00 14.0
  3d2(1GE) 4f:    -2.10317E+00  5.06734E+00 22.0
  3d2(3PE) 5p     -2.09966E+00  5.07085E+00  4.0
  3d2(1DE) 5p     -2.09846E+00  5.07205E+00  6.0
  3d2(1DE) 5p     -2.09694E+00  5.07357E+00 14.0
  3d2(3PE) 5p     -2.09511E+00  5.07540E+00  2.0
  3d2(1DE) 5p     -2.08749E+00  5.08302E+00 10.0
  3d2(1GE) 4f     -2.07336E+00  5.09715E+00 18.0
  3d2(3PE) 5p     -2.07103E+00  5.09948E+00 20.0
  3d2(3PE) 5p     -2.06206E+00  5.10845E+00 10.0
  3d2(1GE) 4f     -2.06040E+00  5.11011E+00 14.0
  3d2(3PE) 5p     -2.05639E+00  5.11412E+00 12.0
  3d2(3PE) 5p     -2.03741E+00  5.13310E+00  6.0
  3d2(1GE) 4f     -2.02381E+00  5.14670E+00 10.0
  3d2(1GE) 5p     -2.01233E+00  5.15818E+00 18.0
  3d2(3PE) 4f     -2.00664E+00  5.16387E+00 20.0
  3d2(1GE) 4f     -2.00571E+00  5.16480E+00  6.0
  3p5 3d4(1I4)    -1.98931E+00  5.18120E+00 22.0
  3p5 3d4(1G2):   -1.98467E+00  5.18584E+00 14.0
  3d2(1GE) 5p     -1.98421E+00  5.18630E+00 22.0
  3d2(1GE) 5p     -1.96472E+00  5.20579E+00 14.0
  3d2(1SE) 5s     -1.93138E+00  5.23913E+00  2.0
  3p5 3d4(3P2)    -1.92985E+00  5.24066E+00  4.0
  3p5 3d4(1F4)    -1.92081E+00  5.24970E+00 10.0
  3p5 3d4(1G2):   -1.83731E+00  5.33320E+00 18.0
  3d2(3FE) 5d     -1.83349E+00  5.33702E+00 14.0
  3d2(3FE) 5d     -1.82907E+00  5.34144E+00 20.0
  3d2(3FE) 5d     -1.81232E+00  5.35819E+00  6.0
  3p5 3d4(1D2):   -1.80032E+00  5.37019E+00 14.0
  3d2(3FE) 5d     -1.79699E+00  5.37352E+00 12.0
  3d2(3FE) 5d     -1.79479E+00  5.37572E+00 18.0
  3d2(3FE) 5d     -1.78728E+00  5.38323E+00 10.0
  3d2(3FE) 5d     -1.78570E+00  5.38481E+00 22.0
  3d2(3FE) 5d     -1.78023E+00  5.39028E+00 28.0
  3d 4s2          -1.74844E+00  5.42207E+00 10.0
  3p5 3d4(1D4):   -1.72185E+00  5.44866E+00  6.0
  3d2(1SE) 4f     -1.70673E+00  5.46378E+00 14.0
  3d2(1DE) 5d     -1.67862E+00  5.49189E+00  2.0
  3d2(1DE) 5d     -1.67628E+00  5.49423E+00 14.0
  3d2(1DE) 5d:    -1.67224E+00  5.49827E+00  6.0
  3d2(1DE) 5d     -1.66329E+00  5.50722E+00 18.0
  3p5 3d4(1G4):   -1.65972E+00  5.51079E+00 18.0
  3d2(3PE) 5d     -1.64439E+00  5.52612E+00 28.0
  3p5 3d4(3P4)    -1.64428E+00  5.52623E+00  2.0
  3d2(1DE) 5d     -1.64253E+00  5.52798E+00 10.0
  3d2(1SE) 5p     -1.64234E+00  5.52817E+00  6.0
  3d2(3PE) 5d     -1.64197E+00  5.52854E+00 20.0
  3d2(3PE) 5d     -1.62482E+00  5.54569E+00 14.0
  3p5 3d4(3F4):   -1.62373E+00  5.54678E+00 10.0
  3d2(3PE) 5d     -1.62180E+00  5.54871E+00 12.0
  3d2(3PE) 5d     -1.61596E+00  5.55455E+00  6.0
  3d2(3PE) 5d     -1.60464E+00  5.56587E+00 10.0
  3p5 3d4(5D4)    -1.59737E+00  5.57314E+00 12.0
  3d2(3FE) 6s     -1.57437E+00  5.59614E+00 28.0
  3d2(3FE) 6s     -1.56691E+00  5.60360E+00 14.0
  3d2(1GE) 5d     -1.56622E+00  5.60429E+00 18.0
  3d2(1GE) 5d     -1.55366E+00  5.61685E+00 22.0
  3p5 3d4(3F4):   -1.54329E+00  5.62722E+00 14.0
  3d2(1GE) 5d     -1.53065E+00  5.63986E+00 14.0
  3p5 3d4(3H4)    -1.51751E+00  5.65300E+00 22.0
  3d2(1GE) 5d     -1.50808E+00  5.66243E+00 10.0
  3d2(3FE) 5f     -1.49941E+00  5.67110E+00 20.0
  3d2(3FE) 5f     -1.48572E+00  5.68479E+00 14.0
  3d2(3FE) 5f     -1.45882E+00  5.71169E+00 18.0
  3d2(3FE) 5f     -1.45700E+00  5.71351E+00  6.0
  3d2(3FE) 5g     -1.44449E+00  5.72602E+00 22.0
  3d2(3FE) 5g     -1.44229E+00  5.72822E+00 18.0
  3d2(3FE) 5g     -1.44054E+00  5.72997E+00  6.0
  3d2(3FE) 5g     -1.44032E+00  5.73019E+00 12.0
  3d2(3FE) 5f     -1.43930E+00  5.73121E+00 10.0
  3d2(3FE) 5g     -1.43896E+00  5.73155E+00 28.0
  3d2(3FE) 5g     -1.43844E+00  5.73207E+00 14.0
  3d2(3FE) 5g     -1.43835E+00  5.73216E+00 20.0
  3p5 3d4(1G4)    -1.43818E+00  5.73233E+00 14.0
  3d2(3FE) 5f     -1.43800E+00  5.73251E+00  4.0
  3d2(3FE) 5g     -1.43800E+00  5.73251E+00 10.0
  3p5 3d4(1S0):   -1.43224E+00  5.73827E+00  6.0
  3d2(3FE) 6p     -1.42630E+00  5.74421E+00 20.0
  3d2(1DE) 6s     -1.42473E+00  5.74578E+00 10.0
  3d2(3FE) 6p     -1.41992E+00  5.75059E+00 10.0
  3d2(3FE) 6p     -1.41835E+00  5.75216E+00 18.0
  3d2(3FE) 6p:    -1.41115E+00  5.75936E+00 14.0
  3d2(3FE) 5f:    -1.39722E+00  5.77329E+00 22.0
  3d2(3PE) 6s     -1.39719E+00  5.77332E+00 12.0
  3d2(3PE) 6s     -1.38949E+00  5.78102E+00  6.0
  3d2(3FE) 5f     -1.38407E+00  5.78644E+00  2.0
  3d2(3FE) 5f     -1.38358E+00  5.78693E+00 12.0
  3p5 3d4(3P4):   -1.37199E+00  5.79852E+00  6.0
  3p5 3d4(5D4)    -1.35641E+00  5.81410E+00 20.0
  3d2(1DE) 5f     -1.33230E+00  5.83821E+00 18.0
  3d2(1DE) 5f:    -1.32832E+00  5.84219E+00 10.0
  3d2(1DE) 5f     -1.32628E+00  5.84423E+00 22.0
  3d2(1GE) 6s     -1.32098E+00  5.84953E+00 18.0
  3d2(1DE) 5f     -1.32051E+00  5.85000E+00 14.0
  3d 4s(3DE) 4p   -1.31592E+00  5.85459E+00 20.0
  3p5 3d4(3F2):   -1.30606E+00  5.86445E+00 10.0
  3d2(1DE) 5g     -1.29522E+00  5.87529E+00 10.0
  3d2(1DE) 5g     -1.29517E+00  5.87534E+00 14.0
  3d2(1DE) 5g     -1.29328E+00  5.87723E+00 22.0
  3d2(1DE) 5g     -1.29230E+00  5.87821E+00 18.0
  3d2(1DE) 5f     -1.29202E+00  5.87849E+00  6.0
  3d2(3PE) 5f     -1.28907E+00  5.88144E+00 18.0
  3d2(3PE) 5f     -1.28563E+00  5.88488E+00 10.0
  3d2(1DE) 6p     -1.28132E+00  5.88919E+00 14.0
  3d2(1DE) 6p     -1.27846E+00  5.89205E+00  6.0
  3p5 3d4(3P2):   -1.27707E+00  5.89344E+00 10.0
  3d2(1DE) 6p:    -1.27508E+00  5.89543E+00 10.0
  3d2(3PE) 5f     -1.26790E+00  5.90261E+00 20.0
  3d2(3PE) 5g     -1.26712E+00  5.90339E+00 28.0
  3d2(3PE) 5g     -1.26707E+00  5.90344E+00 14.0
  3d2(3PE) 5g     -1.26478E+00  5.90573E+00 22.0
  3d2(3PE) 6p     -1.26242E+00  5.90809E+00  2.0
  3d2(3PE) 6p     -1.25709E+00  5.91342E+00  4.0
  3d2(3PE) 5g     -1.25684E+00  5.91367E+00 18.0
  3d2(3PE) 5f     -1.25212E+00  5.91839E+00 14.0
  3d 4s(3DE) 4p   -1.24778E+00  5.92273E+00 12.0
  3d2(3PE) 6p     -1.24534E+00  5.92517E+00 12.0
  3d2(3PE) 6p     -1.23823E+00  5.93228E+00 20.0
  3d2(3PE) 6p     -1.23713E+00  5.93338E+00 10.0
  3d2(3PE) 6p     -1.22944E+00  5.94107E+00  6.0
  3d2(1SE) 5d     -1.21749E+00  5.95302E+00 10.0
  3d2(3FE) 6d     -1.21445E+00  5.95606E+00 20.0
  3d2(3FE) 6d     -1.21386E+00  5.95665E+00 14.0
  3d2(1GE) 5f     -1.20833E+00  5.96218E+00 18.0
  3p5 3d4(3G4):   -1.20316E+00  5.96735E+00 14.0
  3d2(3FE) 6d     -1.20244E+00  5.96807E+00  6.0
  3d2(3FE) 6d     -1.19477E+00  5.97574E+00 12.0
