 <pre>
 ===============================================
  iCONF                 E(RYD)      TE(RYD)   gi
 ===============================================
  3d4(4)          -5.18345E+00  2.56380E-01  9.0
  3d4(4)          -5.07432E+00  3.65510E-01  9.0
  3d4(4)          -5.00937E+00  4.30460E-01  1.0
  3d4(4)          -4.98812E+00  4.51710E-01  5.0
  3d4(4)          -4.91507E+00  5.24760E-01  7.0
  3d4(2)          -4.81350E+00  6.26330E-01  9.0
  3d4(2)          -4.74082E+00  6.99010E-01  9.0
  3d4(2)          -4.49353E+00  9.46300E-01  5.0
  3d4(0)          -4.21480E+00  1.22503E+00  1.0
  3d3(2G3) 4f     -1.40499E+00  4.03484E+00  5.0
  3d3(2H3) 5p     -1.40364E+00  4.03619E+00  9.0
  3d3(2D3) 5p     -1.40262E+00  4.03721E+00  7.0
  3d3(2D3) 5p     -1.40099E+00  4.03884E+00  3.0
  3d3(2G3) 4f     -1.40060E+00  4.03923E+00 11.0
  3d3(2G3) 4f     -1.39825E+00  4.04158E+00  9.0
  3d3(2G3) 4f     -1.39727E+00  4.04256E+00  9.0
  3d3(2D3) 5p     -1.39382E+00  4.04601E+00  5.0
  3d3(2G3) 4f     -1.38424E+00  4.05559E+00  3.0
  3d3(2P3) 4f     -1.36828E+00  4.07155E+00  5.0
  3d3(2P3) 4f     -1.36697E+00  4.07286E+00  9.0
  3d3(2H3) 4f     -1.35027E+00  4.08956E+00 11.0
  3d3(2D3) 4f     -1.34415E+00  4.09568E+00  9.0
  3d3(2D3) 4f     -1.34269E+00  4.09714E+00  5.0
  3d3(2P3) 4f     -1.33912E+00  4.10071E+00  7.0
  3d3(2H3) 4f     -1.33300E+00  4.10683E+00  9.0
  3d3(2D3) 4f     -1.32899E+00  4.11084E+00 11.0
  3d3(2D3) 4f     -1.32614E+00  4.11369E+00  7.0
  3d3(2D3) 4f     -1.32593E+00  4.11390E+00  3.0
  3d3(2H3) 4f     -1.31637E+00  4.12346E+00  7.0
  3d3(2H3) 4f     -1.31452E+00  4.12531E+00  5.0
  3d3(2D3) 4f     -1.31281E+00  4.12702E+00  9.0
  3d3(2D1) 4d     -1.31091E+00  4.12892E+00  1.0
  3d3(4F3) 5d     -1.28448E+00  4.15535E+00  9.0
  3d3(2D1) 5s     -1.25991E+00  4.17992E+00  5.0
  3d3(2F3) 5p     -1.24586E+00  4.19397E+00  9.0
  3d3(2F3) 5p     -1.24301E+00  4.19682E+00  5.0
  3d3(2F3) 5p     -1.24067E+00  4.19916E+00  7.0
  3d2 4s2         -1.21050E+00  4.22933E+00  5.0
  3d2 4s2         -1.18003E+00  4.25980E+00  9.0
  3d3(2F3) 4f     -1.17747E+00  4.26236E+00  1.0
  3d3(2F3) 4f     -1.17016E+00  4.26967E+00  9.0
  3d3(2F3) 4f     -1.16676E+00  4.27307E+00  3.0
  3d3(2F3) 4f     -1.16507E+00  4.27476E+00  7.0
  3d3(2F3) 4f     -1.16212E+00  4.27771E+00 11.0
  3d3(2F3) 4f     -1.16181E+00  4.27802E+00  5.0
  3d3(2F3) 4f     -1.16036E+00  4.27947E+00  9.0
  3d3(2F3) 4f     -1.15241E+00  4.28742E+00  3.0
  3d3(2G3) 5d     -1.13061E+00  4.30922E+00  7.0
  3d3(2G3) 5d     -1.12783E+00  4.31200E+00 11.0
  3d2 4s2         -1.11760E+00  4.32223E+00  9.0
  3d3(2G3) 5d     -1.10350E+00  4.33633E+00  5.0
  3d3(4P3) 5d     -1.10019E+00  4.33964E+00  9.0
  3d3(2G3) 5d     -1.08382E+00  4.35601E+00  9.0
  3d3(2P3) 5d     -1.08239E+00  4.35744E+00  3.0
  3d3(2P3) 5d     -1.07286E+00  4.36697E+00  7.0
  3d3(2H3) 5d     -1.06841E+00  4.37142E+00 11.0
  3d3(2D3) 5d     -1.06469E+00  4.37514E+00  3.0
  3d3(2P3) 5d     -1.05749E+00  4.38234E+00  9.0
  3d3(2D3) 5d     -1.05684E+00  4.38299E+00  3.0
  3d3(2H3) 5d     -1.04613E+00  4.39370E+00  7.0
  3d3(2H3) 5d     -1.03942E+00  4.40041E+00  9.0
  3d3(2D3) 5d     -1.03671E+00  4.40312E+00  5.0
  3d3(2D1) 5p     -1.03390E+00  4.40593E+00  5.0
  3d3(2D3) 5d     -1.02234E+00  4.41749E+00  9.0
  3d3(4F3) 5f     -1.01593E+00  4.42390E+00  9.0
  3d3(2P3) 5d     -1.01432E+00  4.42551E+00  5.0
  3d3(2D1) 5p     -1.01206E+00  4.42777E+00  7.0
  3d3(4F3) 5f     -1.00997E+00  4.42986E+00  3.0
  3d3(2D1) 5p     -1.00918E+00  4.43065E+00  9.0
  3d3(2D3) 5d     -1.00170E+00  4.43813E+00  9.0
  3d3(2D3) 5d     -9.94478E-01  4.44535E+00  7.0
  3d3(4P3) 6s     -9.94235E-01  4.44559E+00  9.0
  3d3(2D1) 5p     -9.89825E-01  4.45000E+00  3.0
  3d3(2G3) 6s     -9.80050E-01  4.45978E+00  9.0
  3d3(2D3) 5d     -9.77555E-01  4.46228E+00  1.0
  3d3(2D1) 4f     -9.63880E-01  4.47595E+00  9.0
  3d2 4s(2FE) 4p  -9.56605E-01  4.48322E+00  7.0
  3d2 4s(2DE) 4p  -9.53210E-01  4.48662E+00  5.0
  3d3(2D1) 4f     -9.37975E-01  4.50185E+00  7.0
  3d3(2P3) 6s     -9.37157E-01  4.50267E+00  9.0
  3d3(2D1) 4f     -9.34492E-01  4.50534E+00  5.0
  3d3(2P3) 6s     -9.32457E-01  4.50737E+00  3.0
  3d3(2D1) 4f     -9.31527E-01  4.50830E+00 11.0
  3d3(2D1) 4f     -9.26890E-01  4.51294E+00  9.0
  3d3(2H3) 6s     -9.13213E-01  4.52662E+00 11.0
  3d3(2D3) 6s     -9.09397E-01  4.53043E+00  5.0
  3d2 4s(4PE) 4p  -9.08495E-01  4.53133E+00  3.0
  3d2 4s(2FE) 4p  -9.07342E-01  4.53249E+00  9.0
  3d3(2D1) 4f     -8.99332E-01  4.54050E+00  3.0
  3d2 4s(2PE) 4p  -8.97690E-01  4.54214E+00  1.0
  3d3(2F3) 5d     -8.85622E-01  4.55421E+00  3.0
  3d3(2F3) 5d     -8.83800E-01  4.55603E+00 11.0
  3d3(4P3) 6p     -8.83585E-01  4.55624E+00  9.0
  3d3(2F3) 5d     -8.72368E-01  4.56746E+00  7.0
  3d3(2G3) 6p     -8.63548E-01  4.57628E+00  9.0
  3d3(2G3) 6p     -8.61070E-01  4.57876E+00 11.0
  3d3(4P3) 6p     -8.59940E-01  4.57989E+00  3.0
  3d3(2G3) 6p     -8.58815E-01  4.58101E+00  7.0
  3d3(2F3) 5d     -8.50225E-01  4.58960E+00  9.0
  3d3(4F3) 6d     -8.45622E-01  4.59421E+00  9.0
  3d3(2F3) 5d     -8.42008E-01  4.59782E+00  9.0
  3d3(2F3) 5d     -8.38100E-01  4.60173E+00  5.0
  3d3(2G3) 5f     -8.35865E-01  4.60396E+00  7.0
  3d3(2G3) 5f     -8.35035E-01  4.60479E+00  5.0
  3d3(2G3) 5f     -8.31460E-01  4.60837E+00 11.0
  3d3(2G3) 5f     -8.30510E-01  4.60932E+00  9.0
  3d3(2G3) 5f     -8.25572E-01  4.61426E+00  3.0
  3d3(2P3) 6p     -8.24660E-01  4.61517E+00  1.0
  3d3(2P3) 6p     -8.16962E-01  4.62287E+00  3.0
  3d3(2P3) 6p     -8.16030E-01  4.62380E+00  5.0
  3d3(2P3) 6p     -8.09755E-01  4.63007E+00  3.0
  3d3(2H3) 6p     -7.96710E-01  4.64312E+00 11.0
  3d3(2P3) 5f     -7.94650E-01  4.64518E+00  5.0
  3d3(2P3) 5f     -7.92617E-01  4.64721E+00  9.0
  3d3(2D3) 6p     -7.91110E-01  4.64872E+00  3.0
  3d3(2D3) 6p     -7.90985E-01  4.64884E+00  7.0
  3d3(2H3) 6p     -7.87720E-01  4.65211E+00  9.0
  3d3(2D3) 6p     -7.86230E-01  4.65360E+00  5.0
