ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""1934.53495""","=""2.5e+07""","=""1.1e-02""",C+,"=""0.0000000""","=""6.40899243""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""3""",9,7,,"=""T2227""","=""L11631""",
"=""1937.26831""","=""2.2e+07""","=""9.5e-03""",C+,"=""0.0000000""","=""6.39994976""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s (6D).5p""","=""u 5F*""","=""3""",9,7,,"=""T2227""","=""L11631""",
"=""1940.66039""","=""2.6e+07""","=""1.0e-02""",D+,"=""0.05156912""","=""6.44033241""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""2""",7,5,,"=""T2227""","=""L11631""",
"=""2132.68991""","=""7.6e+06""","=""5.2e-03""",C+,"=""0.0000000""","=""5.81351269""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""4""",9,9,,"=""T2227""","=""L11631""",
"=""2139.26655""","=""2.8e+06""","=""1.5e-03""",D+,"=""0.0000000""","=""5.79564049""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",9,7,,"=""T2227""","=""L11631""",
"=""2145.86496""","=""5.7e+06""","=""3.9e-03""",C,"=""0.05156912""","=""5.82938837""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4P).4p""","=""w 3D*""","=""3""",7,7,,"=""T2227""","=""L11631""",
"=""2153.68354""","=""6.9e+06""","=""4.8e-03""",C,"=""0.08728574""","=""5.84412959""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",5,5,,"=""T2227""","=""L11631""",
"=""2162.25791""","=""5.0e+06""","=""5.8e-03""",D+,"=""0.11011433""","=""5.84412959""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",3,5,,"=""T2227""","=""L11631""",
"=""2167.45323""","=""2.7e+08""","=""1.5e-01""",D+,"=""0.0000000""","=""5.72027099""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4P).4p""","=""w 5P*""","=""3""",9,7,,"=""T2227""","=""L11631""",
"=""2171.97781""","=""5.1e+06""","=""5.0e-03""",D+,"=""0.08728574""","=""5.79564049""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",5,7,,"=""T2227""","=""L11631""",
"=""2173.89485""","=""8.3e+06""","=""9.8e-03""",D+,"=""0.11011433""","=""5.81343520""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",3,5,,"=""T2227""","=""L11631""",
"=""2177.52214""","=""1.0e+07""","=""2.2e-02""",C+,"=""0.12126572""","=""5.81508605""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""1""",1,3,,"=""T2227""","=""L11631""",
"=""2191.88920""","=""7.3e+06""","=""1.6e-02""",C,"=""0.12126572""","=""5.77776507""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 3S*""","=""1""",1,3,,"=""T2227""","=""L11631""",
"=""2192.52424""","=""1.2e+08""","=""8.3e-02""",C+,"=""0.08728574""","=""5.74214676""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""w 5P*""","=""2""",5,5,,"=""T2227""","=""L11631""",
"=""2196.72802""","=""1.2e+08""","=""8.6e-02""",C+,"=""0.11011433""","=""5.75415389""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""w 5P*""","=""1""",3,3,,"=""T2227""","=""L11631""",
"=""2201.07687""","=""8.9e+07""","=""1.9e-01""",C,"=""0.12126572""","=""5.75415389""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d7.(4P).4p""","=""w 5P*""","=""1""",1,3,,"=""T2227""","=""L11631""",
"=""2201.41130""","=""2.8e+07""","=""3.4e-02""",C,"=""0.11011433""","=""5.74214676""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""w 5P*""","=""2""",3,5,,"=""T2227""","=""L11631""",
"=""2228.86424""","=""2.1e+06""","=""1.1e-03""",D+,"=""0.05156912""","=""5.61423177""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 3D*""","=""2""",7,5,,"=""T2227""","=""L11631""",
"=""2251.48786""","=""1.23e+06""","=""9.35e-04""",C+,"=""0.0000000""","=""5.50676735""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""2259.98190""","=""1.3e+06""","=""7.0e-04""",C,"=""0.05156912""","=""5.53763954""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""2""",7,5,,"=""T2227""","=""L11631""",
"=""2260.20956""","=""5.66e+06""","=""5.29e-03""",B+,"=""0.0000000""","=""5.48551782""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""5""",9,11,,"=""T5720""","=""L11631""",
"=""2265.75482""","=""1.43e+06""","=""1.10e-03""",C,"=""0.05156912""","=""5.52366156""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""2267.78561""","=""4.57e+06""","=""2.52e-03""",B,"=""0.05156912""","=""5.51876133""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4P).4p""","=""y 5S*""","=""2""",7,5,,"=""T5720""","=""L11631""",
"=""2272.77164""","=""2.92e+06""","=""2.90e-03""",B+,"=""0.05156912""","=""5.50676735""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""2275.89449""","=""6.19e+06""","=""1.60e-03""",D+,"=""0.11011433""","=""5.55782726""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""0""",3,1,,"=""T5720""","=""L11631""",
"=""2276.72873""","=""1.25e+07""","=""7.55e-03""",D+,"=""0.0000000""","=""5.44571679""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""2280.64068""","=""1.88e+06""","=""2.05e-03""",B+,"=""0.08728574""","=""5.52366156""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""2284.00861""","=""2.59e+06""","=""6.07e-03""",B+,"=""0.12126572""","=""5.54962521""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""1""",1,3,,"=""T5720""","=""L11631""",
"=""2284.35970""","=""1.53e+06""","=""1.99e-03""",C,"=""0.11011433""","=""5.53763954""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""2284.79019""","=""1.29e+07""","=""7.21e-03""",C,"=""0.05156912""","=""5.47807170""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""",7,5,,"=""T5720""","=""L11631""",
"=""2287.95502""","=""2.23e+07""","=""1.05e-02""",B+,"=""0.08728574""","=""5.50628207""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""1""",5,3,,"=""T5720""","=""L11631""",
"=""2293.23126""","=""2.96e+06""","=""3.01e-03""",B,"=""0.05156912""","=""5.45809748""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""2294.55438""","=""1.09e+06""","=""8.59e-04""",C+,"=""0.08728574""","=""5.49069652""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""2295.11497""","=""3.61e+07""","=""9.50e-03""",B,"=""0.11011433""","=""5.51220530""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""0""",3,1,,"=""T5720""","=""L11631""",
"=""2297.63425""","=""4.04e+06""","=""3.20e-03""",D+,"=""0.11011433""","=""5.50628207""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""1""",3,3,,"=""T5720""","=""L11631""",
"=""2298.49470""","=""1.44e+07""","=""1.14e-02""",D+,"=""0.05156912""","=""5.44571679""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""2298.87673""","=""3.09e+07""","=""2.45e-02""",D+,"=""0.0000000""","=""5.39325126""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""2299.36806""","=""1.59e+06""","=""1.26e-03""",C,"=""0.11011433""","=""5.50221316""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""1""",3,3,,"=""T5720""","=""L11631""",
"=""2299.92805""","=""7.03e+06""","=""5.57e-03""",C,"=""0.08728574""","=""5.47807170""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""2300.84999""","=""4.99e+06""","=""5.55e-03""",B,"=""0.08728574""","=""5.47591165""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""2302.39224""","=""8.68e+06""","=""2.07e-02""",B+,"=""0.12126572""","=""5.50628207""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""1""",1,3,,"=""T5720""","=""L11631""",
"=""2304.13324""","=""7.33e+06""","=""1.75e-02""",C+,"=""0.12126572""","=""5.50221316""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""1""",1,3,,"=""T5720""","=""L11631""",
"=""2304.28965""","=""4.83e+06""","=""6.41e-03""",C+,"=""0.11011433""","=""5.49069652""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""2309.70907""","=""1.02e+07""","=""1.36e-02""",C,"=""0.11011433""","=""5.47807170""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""2313.81532""","=""1.18e+07""","=""1.32e-02""",D+,"=""0.08728574""","=""5.44571679""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""2321.07031""","=""1.41e+07""","=""1.46e-02""",C,"=""0.05156912""","=""5.39325126""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""2351.12992""","=""1.61e+05""","=""1.04e-04""",D,"=""0.0000000""","=""5.27338780""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""",9,7,,"=""T5720""","=""L11631c80""",
"=""2356.62972""","=""5.17e+05""","=""6.03e-04""",C,"=""0.08728574""","=""5.34836675""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""2370.17986""","=""2.53e+06""","=""2.13e-03""",B,"=""0.11011433""","=""5.34111814""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""",3,3,,"=""T5720""","=""L11631""",
"=""2372.15446""","=""2.67e+06""","=""2.25e-03""",C+,"=""0.08728574""","=""5.31393522""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""2374.34898""","=""6.53e+06""","=""5.52e-03""",B,"=""0.05156912""","=""5.27338780""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""2375.24337""","=""3.14e+06""","=""7.98e-03""",B,"=""0.12126572""","=""5.34111814""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""",1,3,,"=""T5720""","=""L11631""",
"=""2382.56084""","=""4.34e+06""","=""6.15e-03""",C+,"=""0.11011433""","=""5.31393522""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""2390.70109""","=""4.47e+06""","=""5.36e-03""",B,"=""0.08728574""","=""5.27338780""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""2421.13093""","=""1.05e+05""","=""9.22e-05""",C,"=""0.85899575""","=""5.97991659""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""2438.92154""","=""7.09e+06""","=""5.17e-03""",B,"=""0.85899575""","=""5.94256226""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",11,9,,"=""T5720""","=""L11631""",
"=""2440.48457""","=""3.46e+08""","=""3.09e-01""",C+,"=""2.40407444""","=""7.4843851""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d6.(3H).4s.4p.(1P*)""","=""t 3H*""","=""6""",13,13,,"=""T5720""","=""L11631""",
"=""2443.30852""","=""3.12e+08""","=""2.79e-01""",B,"=""2.43269470""","=""7.5071336""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d6.(3H).4s.4p.(1P*)""","=""t 3H*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""2444.61230""","=""5.89e+06""","=""5.28e-03""",B+,"=""0.85899575""","=""5.93072834""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""2445.95360""","=""1.18e+06""","=""8.66e-04""",C+,"=""0.85899575""","=""5.92794713""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""4""",11,9,,"=""T5720""","=""L11631""",
"=""2448.45069""","=""3.30e+06""","=""2.31e-03""",D+,"=""0.0000000""","=""5.06378173""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""2454.21876""","=""1.89e+07""","=""1.33e-02""",B,"=""0.91460217""","=""5.96648265""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""2454.31110""","=""1.23e+07""","=""1.31e-02""",C,"=""2.43269470""","=""7.4843851""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d6.(3H).4s.4p.(1P*)""","=""t 3H*""","=""6""",11,13,,"=""T5720""","=""L11631""",
"=""2458.34059""","=""4.81e+07""","=""4.36e-02""",B,"=""0.85899575""","=""5.90240588""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""2459.31191""","=""1.07e+06""","=""7.94e-04""",C,"=""0.85899575""","=""5.90041395""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",11,9,,"=""T5720""","=""L11631""",
"=""2462.92570""","=""1.10e+07""","=""7.14e-03""",C+,"=""0.05156912""","=""5.08559017""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""",7,5,,"=""T5720""","=""L11631""",
"=""2463.39202""","=""5.85e+07""","=""5.32e-02""",C+,"=""0.0000000""","=""5.03306811""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""2464.47563""","=""1.64e+07""","=""1.07e-02""",B,"=""0.95815732""","=""5.98901244""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d7.(4P).4p""","=""x 3P*""","=""2""",7,5,,"=""T5720""","=""L11631""",
"=""2465.89464""","=""4.35e+07""","=""3.97e-02""",B,"=""0.91460217""","=""5.94256226""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""2469.62607""","=""2.40e+07""","=""2.19e-02""",B+,"=""0.85899575""","=""5.87935896""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""2471.71212""","=""2.36e+06""","=""2.64e-03""",B+,"=""0.91460217""","=""5.93072834""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""5""",9,11,,"=""T5720""","=""L11631""",
"=""2473.08333""","=""1.07e+07""","=""9.81e-03""",B+,"=""0.91460217""","=""5.92794713""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""2473.09838""","=""7.21e+06""","=""7.81e-03""",B,"=""0.85899575""","=""5.87231021""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""6""",11,13,,"=""T5720""","=""L11631""",
"=""2473.61934""","=""2.10e+07""","=""1.16e-02""",C,"=""0.08728574""","=""5.09954435""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""",5,3,,"=""T5720""","=""L11631""",
"=""2473.64205""","=""1.30e+08""","=""1.19e-01""",B,"=""0.05156912""","=""5.06378173""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""2473.90415""","=""2.75e+06""","=""2.52e-03""",B+,"=""0.0000000""","=""5.01168158""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""2475.56199""","=""6.13e+07""","=""5.64e-02""",B,"=""0.95815732""","=""5.96648265""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""2477.40477""","=""3.05e+07""","=""1.68e-02""",B,"=""0.99011115""","=""5.99471113""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""1""",5,3,,"=""T5720""","=""L11631""",
"=""2477.61328""","=""2.93e+06""","=""2.70e-03""",C+,"=""1.01105568""","=""6.01523448""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d7.(4P).4p""","=""x 3P*""","=""1""",3,3,,"=""T5720""","=""L11631""",
"=""2480.22898""","=""2.10e+07""","=""1.94e-02""",B,"=""0.99011115""","=""5.98901244""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d7.(4P).4p""","=""x 3P*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""2480.37558""","=""7.06e+05""","=""5.07e-04""",C,"=""0.91460217""","=""5.91320801""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""2480.52515""","=""1.74e+08""","=""1.60e-01""",B,"=""0.08728574""","=""5.08559017""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""2484.02067""","=""4.80e+08""","=""5.43e-01""",B,"=""0.0000000""","=""4.99127081""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""",9,11,,"=""T5720""","=""L11631""",
"=""2484.28306""","=""2.09e+07""","=""1.93e-02""",C,"=""0.99011115""","=""5.98085478""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""2484.93712""","=""2.26e+08""","=""2.09e-01""",C+,"=""0.11011433""","=""5.09954435""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""",3,3,,"=""T5720""","=""L11631""",
"=""2486.74045""","=""2.94e+06""","=""2.72e-03""",B,"=""0.91460217""","=""5.90041395""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""2487.12348""","=""3.08e+06""","=""2.22e-03""",B+,"=""0.0000000""","=""4.98504395""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""2487.44233""","=""1.47e+07""","=""1.75e-02""",B,"=""0.95815732""","=""5.94256226""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""2487.81642""","=""6.40e+07""","=""5.94e-02""",C+,"=""1.01105568""","=""5.99471113""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""1""",3,3,,"=""T5720""","=""L11631""",
"=""2488.12028""","=""2.74e+06""","=""2.54e-03""",C+,"=""0.08728574""","=""5.07033256""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 5S*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""2488.89338""","=""4.20e+08""","=""5.01e-01""",B,"=""0.05156912""","=""5.03306811""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""2490.50340""","=""2.31e+08""","=""6.44e-01""",C+,"=""0.12126572""","=""5.09954435""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""",1,3,,"=""T5720""","=""L11631""",
"=""2490.66443""","=""8.72e+06""","=""1.35e-02""",B,"=""1.01105568""","=""5.98901244""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d7.(4P).4p""","=""x 3P*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""2491.39553""","=""3.44e+08""","=""4.49e-01""",B,"=""0.08728574""","=""5.06378173""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""2491.90635""","=""2.91e+08""","=""4.52e-01""",B,"=""0.11011433""","=""5.08559017""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""2492.74076""","=""3.25e+07""","=""3.03e-02""",D+,"=""2.55917148""","=""7.5329818""","=""3d6.4s2""","=""b 3F2""","=""4""","=""3d6.(3H).4s.4p.(1P*)""","=""t 3H*""","=""4""",9,9,,"=""T5720""","=""""",
"=""2493.38250""","=""5.35e+05""","=""4.99e-04""",D+,"=""0.95815732""","=""5.93068755""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""2494.75272""","=""8.89e+06""","=""1.38e-02""",C,"=""1.01105568""","=""5.98085478""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""2495.00357""","=""1.10e+06""","=""1.03e-03""",B,"=""0.85899575""","=""5.82829520""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""2496.62631""","=""1.43e+06""","=""1.58e-03""",C,"=""0.85899575""","=""5.82506529""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""6""",11,13,,"=""T5720""","=""L11631c80""",
"=""2497.28645""","=""2.15e+07""","=""2.45e-02""",B,"=""0.91460217""","=""5.87935896""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""5""",9,11,,"=""T5720""","=""L11631""",
"=""2499.57145""","=""1.22e+05""","=""1.90e-04""",C+,"=""0.11011433""","=""5.07033256""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 5S*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""2499.62474""","=""5.90e+04""","=""7.11e-05""",B,"=""0.05156912""","=""5.01168158""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""2501.88561""","=""6.75e+07""","=""4.93e-02""",C+,"=""0.0000000""","=""4.95563019""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""",9,7,,"=""T5720""","=""L11631""",
