ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""3021.37030""","=""1.94e+07""","=""2.65e-02""",B,"=""0.08728574""","=""4.19086081""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4F).4p""","=""y 5D*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""3021.51856""","=""7.59e+07""","=""1.04e-01""",B,"=""0.0000000""","=""4.10337372""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4F).4p""","=""y 5D*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""3021.95237""","=""4.55e+07""","=""6.24e-02""",A,"=""0.05156912""","=""4.15435379""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4F).4p""","=""y 5D*""","=""3""",7,7,,"=""T3547""","=""L11631""",
"=""3024.91309""","=""4.87e+06""","=""1.11e-02""",A,"=""0.11011433""","=""4.20888328""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""",3,5,,"=""T3547""","=""L11631""",
"=""3026.16049""","=""1.66e+05""","=""2.28e-04""",B,"=""0.91460217""","=""5.01168158""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""4""",9,9,,"=""T5720""","=""L11631""",
"=""3026.51722""","=""5.86e+07""","=""8.04e-02""",B+,"=""2.40407444""","=""6.50067093""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d7.(2H).4p""","=""w 3H*""","=""6""",13,13,,"=""T5720""","=""L11631""",
"=""3026.72333""","=""3.48e+07""","=""1.43e-01""",A,"=""0.12126572""","=""4.21758325""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d7.(4F).4p""","=""y 5D*""","=""1""",1,3,,"=""T3547""","=""L11631""",
"=""3027.34302""","=""1.10e+07""","=""1.51e-02""",C,"=""0.99011115""","=""5.08559017""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""3030.11571""","=""6.98e+05""","=""9.60e-04""",B+,"=""1.55735733""","=""5.64908881""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3031.03011""","=""5.04e+07""","=""6.94e-02""",B+,"=""2.43269470""","=""6.52319179""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d7.(2H).4p""","=""w 3H*""","=""5""",11,11,,"=""T5720""","=""L11631""",
"=""3032.51907""","=""1.38e+07""","=""1.90e-02""",D+,"=""1.01105568""","=""5.09954435""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""",3,3,,"=""T5720""","=""L11631""",
"=""3033.98252""","=""5.26e+06""","=""7.25e-03""",C+,"=""2.42419831""","=""6.51071489""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d7.(2P).4p""","=""u 3D*""","=""1""",3,3,,"=""T5720""","=""L11631c80""",
"=""3038.27251""","=""2.91e+07""","=""6.71e-02""",B,"=""0.11011433""","=""4.19086081""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4F).4p""","=""y 5D*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""3038.66350""","=""3.44e+05""","=""4.76e-04""",B,"=""0.99011115""","=""5.07033256""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 5S*""","=""2""",5,5,,"=""T5720""","=""L11631""",
"=""3040.20174""","=""1.60e+06""","=""2.62e-03""",C+,"=""2.43269470""","=""6.51085164""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d7.(2H).4p""","=""y 3I*""","=""6""",11,13,,"=""T5720""","=""L11631""",
"=""3041.31166""","=""2.45e+06""","=""4.15e-03""",D+,"=""0.91460217""","=""4.99127081""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""",9,11,,"=""T5720""","=""L11631""",
"=""3042.52217""","=""4.24e+06""","=""7.56e-03""",B+,"=""1.55735733""","=""5.63240401""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""3042.62363""","=""5.20e+06""","=""9.27e-03""",D+,"=""0.95815732""","=""5.03306811""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""3042.90462""","=""4.70e+06""","=""1.09e-02""",D+,"=""1.01105568""","=""5.08559017""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""3043.54994""","=""5.20e+06""","=""1.01e-02""",C+,"=""0.99011115""","=""5.06378173""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""3045.96418""","=""6.97e+05""","=""7.54e-04""",B,"=""0.91460217""","=""4.98504395""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""3046.47343""","=""1.78e+06""","=""3.03e-03""",C+,"=""2.45343044""","=""6.52319179""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d7.(2H).4p""","=""w 3H*""","=""5""",9,11,,"=""T5720""","=""L11631""",
"=""3048.49088""","=""2.84e+07""","=""5.53e-02""",A,"=""0.08728574""","=""4.15435379""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4F).4p""","=""y 5D*""","=""3""",5,7,,"=""T3547""","=""L11631""",
"=""3053.95340""","=""1.53e+07""","=""3.56e-02""",B,"=""2.42419831""","=""6.48399171""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d7.(2P).4p""","=""u 3D*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""3054.34200""","=""1.17e+05""","=""2.73e-04""",C+,"=""1.01105568""","=""5.07033256""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 5S*""","=""2""",3,5,,"=""T5720""","=""L11631""",
"=""3056.15075""","=""9.48e+06""","=""9.49e-03""",B+,"=""1.55735733""","=""5.61423177""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 3D*""","=""2""",7,5,,"=""T5720""","=""L11631""",
"=""3058.33443""","=""3.13e+07""","=""3.59e-02""",B,"=""0.85899575""","=""4.91297355""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""",11,9,,"=""T5720""","=""L11631""",
"=""3059.97477""","=""1.63e+07""","=""2.94e-02""",C+,"=""0.05156912""","=""4.10337372""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4F).4p""","=""y 5D*""","=""4""",7,9,,"=""T5720""","=""L11631""",
"=""3061.42726""","=""6.75e+06""","=""7.37e-03""",D+,"=""2.99035244""","=""7.04023466""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(1G2).4s.4p.(3P*)""","=""u 3F*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""3061.87308""","=""9.08e+05""","=""1.28e-03""",B,"=""1.55735733""","=""5.60664989""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 3D*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3067.36987""","=""9.11e+06""","=""1.00e-02""",B,"=""2.72754450""","=""6.76958063""","=""3d7.(2G).4s""","=""a 3G""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""3067.8901""","=""1.71e+07""","=""2.85e-02""",C+,"=""3.26711257""","=""7.3084633""","=""3d7.(2H).4s""","=""b 3H""","=""5""","=""3d6.(3H).4s.4p.(1P*)""","=""3I*""","=""6""",11,13,,"=""T5720""","=""L11631""",
"=""3068.00980""","=""3.89e+06""","=""7.68e-03""",B+,"=""1.60789577""","=""5.64908881""","=""3d7.(4F).4s""","=""a 3F""","=""2""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""3""",5,7,,"=""T5720""","=""L11631""",
"=""3068.13509""","=""3.12e+07""","=""3.42e-02""",C+,"=""0.91460217""","=""4.95563019""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""",9,7,,"=""T5720""","=""L11631""",
"=""3069.06504""","=""1.11e+07""","=""9.40e-03""",B+,"=""1.60789577""","=""5.64769932""","=""3d7.(4F).4s""","=""a 3F""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 3D*""","=""1""",5,3,,"=""T5720""","=""L11631""",
"=""3074.87162""","=""3.83e+06""","=""4.44e-03""",C,"=""2.69240763""","=""6.72458242""","=""3d7.(2G).4s""","=""a 3G""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""t 3G*""","=""4""",11,9,,"=""T5720""","=""L11631""",
"=""3076.61295""","=""3.14e+07""","=""3.18e-02""",C+,"=""0.95815732""","=""4.98804995""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""",7,5,,"=""T5720""","=""L11631""",
"=""3078.90959""","=""3.11e+05""","=""4.42e-04""",C+,"=""0.95815732""","=""4.98504395""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""",7,7,,"=""T5720""","=""L11631""",
"=""3079.3258""","=""1.52e+07""","=""6.48e-02""",B,"=""2.48437256""","=""6.51071489""","=""3d6.4s2""","=""a 3P2""","=""0""","=""3d7.(2P).4p""","=""u 3D*""","=""1""",1,3,,"=""T5720""","=""L11631""",
"=""3080.8839""","=""8.35e+06""","=""1.45e-02""",D+,"=""3.30140276""","=""7.3257089""","=""3d7.(2H).4s""","=""b 3H""","=""4""","=""3d6.(3H).4s.4p.(1P*)""","=""3I*""","=""5""",9,11,,"=""T5720""","=""L11631""",
"=""3084.63628""","=""3.08e+07""","=""2.63e-02""",C+,"=""0.99011115""","=""5.00952178""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""",5,3,,"=""T5720""","=""L11631""",
