ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""923.87821""","=""2.8e+07""","=""2.9e-03""",D,"=""0.00000000""","=""13.4199721""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c140""",
"=""926.21201""","=""2.6e+08""","=""3.3e-02""",E,"=""0.00000000""","=""13.3861576""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c140""",
"=""926.89687""","=""3.2e+07""","=""3.3e-03""",D,"=""0.00000000""","=""13.3762669""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c140""",
"=""927.17428""","=""7.e+07""","=""9.e-03""",E,"=""0.04770753""","=""13.4199721""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""928.11081""","=""1.0e+08""","=""9.e-03""",E,"=""0.04770753""","=""13.4064786""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c140""",
"=""929.52478""","=""3.4e+07""","=""5.e-03""",D,"=""0.04770753""","=""13.3861576""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""929.61260""","=""2.8e+07""","=""5.e-03""",D,"=""0.08278213""","=""13.4199721""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""930.02310""","=""1.3e+08""","=""1.1e-02""",E,"=""0.08278213""","=""13.4140853""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c140""",
"=""930.21455""","=""7.e+07""","=""1.0e-02""",E,"=""0.04770753""","=""13.3762669""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""930.55406""","=""5.e+07""","=""6.e-03""",D,"=""0.08278213""","=""13.4064786""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""932.24508""","=""8.e+07""","=""1.5e-02""",E,"=""0.10695023""","=""13.4064786""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
"=""932.66891""","=""3.8e+07""","=""7.e-03""",D,"=""0.08278213""","=""13.3762669""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""932.70667""","=""8.e+07""","=""2.1e-02""",D,"=""0.12113874""","=""13.4140853""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c140""",
"=""937.65133""","=""4.4e+07""","=""7.e-03""",E,"=""0.00000000""","=""13.2228468""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c140""",
"=""941.26644""","=""7.e+07""","=""1.2e-02""",E,"=""0.04770753""","=""13.2197694""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""945.08683""","=""4.1e+07""","=""7.e-03""",D,"=""0.08278213""","=""13.2015978""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""978.36622""","=""2.2e+08""","=""3.9e-02""",E,"=""0.98633380""","=""13.6589094""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""981.36598""","=""4.6e+07""","=""7.e-03""",D,"=""1.04046986""","=""13.6743089""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F1).5p""","=""4D*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""984.75979""","=""2.4e+07""","=""4.1e-03""",D,"=""0.23217279""","=""12.8224715""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c140""",
"=""989.66043""","=""2.1e+07""","=""4.1e-03""",D,"=""0.35186476""","=""12.8798182""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""989.89489""","=""1.0e+08""","=""1.7e-02""",D+,"=""0.23217279""","=""12.7571589""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[6]*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c140""",
"=""990.00271""","=""3.1e+07""","=""4.5e-03""",D+,"=""0.23217279""","=""12.7557949""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c140""",
"=""990.30693""","=""1.2e+07""","=""1.8e-03""",D,"=""0.23217279""","=""12.7519476""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[5]*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c140""",
"=""990.85848""","=""5.4e+07""","=""1.0e-02""",D+,"=""0.30129858""","=""12.8141045""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c140""",
"=""991.33937""","=""1.1e+07""","=""2.2e-03""",D,"=""0.35186476""","=""12.8586008""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""991.68111""","=""1.8e+07""","=""3.5e-03""",D,"=""0.35186476""","=""12.8542909""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""994.22329""","=""5.9e+07""","=""1.3e-02""",D+,"=""0.38651921""","=""12.8569773""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
"=""994.34866""","=""2.4e+07""","=""3.6e-03""",D,"=""0.35186476""","=""12.8207506""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
"=""994.55180""","=""5.0e+07""","=""1.0e-02""",D+,"=""0.35186476""","=""12.8182037""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c140""",
"=""994.90490""","=""1.8e+07""","=""2.6e-03""",D,"=""0.30129858""","=""12.7632131""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
"=""995.45044""","=""1.4e+07""","=""2.0e-03""",D,"=""0.30129858""","=""12.7563835""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
