Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3p6.3d9""","=""2D""","=""5/2""",6,"=""""","=""0.000000""","=""""",
"=""3p6.3d9""","=""2D""","=""3/2""",4,"=""""","=""0.256857""","=""""",
"=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""",10,"=""""","=""7.538886""","=""""",
"=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""",8,"=""""","=""7.695090""","=""""",
"=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""",6,"=""""","=""7.828830""","=""""",
"=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""",4,"=""""","=""7.920918""","=""""",
"=""3p6.3d8.(3F).4s""","=""2F""","=""7/2""",8,"=""""","=""8.309013""","=""""",
"=""3p6.3d8.(3F).4s""","=""2F""","=""5/2""",6,"=""""","=""8.550419""","=""""",
"=""3p6.3d8.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""9.666831""","=""""",
"=""3p6.3d8.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""9.767475""","=""""",
"=""3p6.3d8.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""9.956643""","=""""",
"=""3p6.3d8.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""9.971248""","=""""",
"=""3p6.3d8.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""9.987193""","=""""",
"=""3p6.3d8.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""10.594114""","=""""",
"=""3p6.3d8.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""10.679213""","=""""",
"=""3p6.3d8.(1G).4s""","=""2G""","=""9/2""",10,"=""""","=""11.036863""","=""""",
"=""3p6.3d8.(1G).4s""","=""2G""","=""7/2""",8,"=""""","=""11.040385""","=""""",
"=""3p6.3d8.(3F).4p""","=""4D*""","=""7/2""",8,"=""""","=""14.737363""","=""""",
"=""3p6.3d8.(3F).4p""","=""4D*""","=""5/2""",6,"=""""","=""14.949748""","=""""",
"=""3p6.3d8.(3F).4p""","=""4G*""","=""9/2""",10,"=""""","=""15.043960""","=""""",
"=""3p6.3d8.(3F).4p""","=""4G*""","=""11/2""",12,"=""""","=""15.088763""","=""""",
"=""3p6.3d8.(3F).4p""","=""4D*""","=""3/2""",4,"=""""","=""15.109270""","=""""",
"=""3p6.3d8.(3F).4p""","=""4G*""","=""7/2""",8,"=""""","=""15.188571""","=""""",
"=""3p6.3d8.(3F).4p""","=""4D*""","=""1/2""",2,"=""""","=""15.205082""","=""""",
"=""3p6.3d8.(1S).4s""","=""2S""","=""1/2""",2,"=""""","=""15.232800""","=""""",
"=""3p6.3d8.(3F).4p""","=""4G*""","=""5/2""",6,"=""""","=""15.304695""","=""""",
"=""3p6.3d8.(3F).4p""","=""4F*""","=""9/2""",10,"=""""","=""15.318295""","=""""",
"=""3p6.3d8.(3F).4p""","=""2G*""","=""9/2""",10,"=""""","=""15.428937""","=""""",
"=""3p6.3d8.(3F).4p""","=""4F*""","=""7/2""",8,"=""""","=""15.443205""","=""""",
"=""3p6.3d8.(3F).4p""","=""4F*""","=""5/2""",6,"=""""","=""15.545398""","=""""",
"=""3p6.3d8.(3F).4p""","=""4F*""","=""3/2""",4,"=""""","=""15.590369""","=""""",
"=""3p6.3d8.(3F).4p""","=""2G*""","=""7/2""",8,"=""""","=""15.633681""","=""""",
"=""3p6.3d8.(3F).4p""","=""2F*""","=""7/2""",8,"=""""","=""15.724886""","=""""",
"=""3p6.3d8.(3F).4p""","=""2D*""","=""5/2""",6,"=""""","=""15.732633""","=""""",
"=""3p6.3d8.(3F).4p""","=""2D*""","=""3/2""",4,"=""""","=""15.923986""","=""""",
"=""3p6.3d8.(3F).4p""","=""2F*""","=""5/2""",6,"=""""","=""15.954268""","=""""",
