Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d10""","=""1S""","=""0""",1,"=""""","=""0.0000000""","=""""",
"=""3d9.4s""","=""3D""","=""3""",7,"=""""","=""2.71881633""","=""""",
"=""3d9.4s""","=""3D""","=""2""",5,"=""""","=""2.83268156""","=""""",
"=""3d9.4s""","=""3D""","=""1""",3,"=""""","=""2.97541889""","=""""",
"=""3d9.4s""","=""1D""","=""2""",5,"=""""","=""3.25638920""","=""""",
"=""3d9.4p""","=""3P*""","=""2""",5,"=""""","=""8.23486741""","=""""",
"=""3d9.4p""","=""3P*""","=""1""",3,"=""""","=""8.42057990""","=""""",
"=""3d9.4p""","=""3F*""","=""3""",7,"=""""","=""8.48643755""","=""""",
"=""3d9.4p""","=""3F*""","=""4""",9,"=""""","=""8.52154401""","=""""",
"=""3d9.4p""","=""3P*""","=""0""",1,"=""""","=""8.53634465""","=""""",
"=""3d8.4s2""","=""3F""","=""4""",9,"=""""","=""8.64228154""","=""""",
"=""3d9.4p""","=""3F*""","=""2""",5,"=""""","=""8.66252610""","=""""",
"=""3d9.4p""","=""1F*""","=""3""",7,"=""""","=""8.78322249""","=""""",
"=""3d9.4p""","=""1D*""","=""2""",5,"=""""","=""8.86410828""","=""""",
"=""3d8.4s2""","=""3F""","=""3""",7,"=""""","=""8.8687809""","=""""",
"=""3d9.4p""","=""3D*""","=""3""",7,"=""""","=""8.91695547""","=""""",
"=""3d8.4s2""","=""3F""","=""2""",5,"=""""","=""9.0166042""","=""""",
"=""3d9.4p""","=""3D*""","=""1""",3,"=""""","=""9.06349793""","=""""",
"=""3d9.4p""","=""3D*""","=""2""",5,"=""""","=""9.09464957""","=""""",
"=""3d9.4p""","=""1P*""","=""1""",3,"=""""","=""9.12471804""","=""""",
"=""3d8.4s2""","=""1D""","=""2""",5,"=""""","=""10.5868585""","=""""",
"=""3d8.4s2""","=""3P""","=""2""",5,"=""""","=""10.9554919""","=""""",
"=""3d8.4s2""","=""3P""","=""1""",3,"=""""","=""10.9856318""","=""""",
"=""3d8.4s2""","=""3P""","=""0""",1,"=""""","=""11.0254191""","=""""",
"=""3d8.4s2""","=""1G""","=""4""",9,"=""""","=""11.8486267""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""4""",9,"=""""","=""13.3832009""","=""""",
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""",7,"=""""","=""13.39213301""","=""""",
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""",5,"=""""","=""13.43190349""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""3""",7,"=""""","=""13.5484991""","=""""",
"=""3d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""",3,"=""""","=""13.64873568""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""2""",5,"=""""","=""13.6833580""","=""""",
"=""3d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""",5,"=""""","=""13.68365916""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""5""",11,"=""""","=""13.7165202""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""1""",3,"=""""","=""13.777668""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""4""",9,"=""""","=""13.7893620""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""3""",7,"=""""","=""13.8709073""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""5""",11,"=""""","=""13.936026""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""2""",5,"=""""","=""13.938884""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""4""",9,"=""""","=""14.0477597""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""3""",7,"=""""","=""14.1342547""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""2""",5,"=""""","=""14.1939186""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[1/2]""","=""1""",3,"=""""","=""14.19758413""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""1""",3,"=""""","=""14.2279248""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""4""",9,"=""""","=""14.3027591""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""5""",11,"=""""","=""14.3258923""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[9/2]""","=""5""",11,"=""""","=""14.32872921""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[3/2]""","=""2""",5,"=""""","=""14.33738437""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[9/2]""","=""4""",9,"=""""","=""14.34033006""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[3/2]""","=""1""",3,"=""""","=""14.34065139""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[5/2]""","=""3""",7,"=""""","=""14.39211349""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[7/2]""","=""3""",7,"=""""","=""14.42257530""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[7/2]""","=""4""",9,"=""""","=""14.42818752""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""3""",7,"=""""","=""14.4287114""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[5/2]""","=""2""",5,"=""""","=""14.43024652""","=""""",
"=""3d9.(2D<5/2>).4d""","=""2[1/2]""","=""0""",1,"=""""","=""14.45365331""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""3""",7,"=""""","=""14.4620079""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""2""",5,"=""""","=""14.5223113""","=""""",
"=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""1""",3,"=""""","=""14.53484133""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""4""",9,"=""""","=""14.5888023""","=""""",
"=""3d9.(2D<3/2>).4d""","=""2[7/2]""","=""3""",7,"=""""","=""14.59881086""","=""""",
"=""3d9.(2D<3/2>).4d""","=""2[7/2]""","=""4""",9,"=""""","=""14.61564148""","=""""",
"=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""1""",3,"=""""","=""14.62123579""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""",3,"=""""","=""14.6389757""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""3""",7,"=""""","=""14.6478590""","=""""",
"=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""2""",5,"=""""","=""14.65037786""","=""""",
"=""3d9.(2D<3/2>).4d""","=""2[5/2]""","=""3""",7,"=""""","=""14.69012064""","=""""",
"=""3d9.(2D<3/2>).4d""","=""2[5/2]""","=""2""",5,"=""""","=""14.69608333""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""1G*""","=""4""",9,"=""""","=""14.7530447""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""",5,"=""""","=""14.75903379""","=""""",
"=""3d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""",5,"=""""","=""14.88955782""","=""""",
"=""3d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""",7,"=""""","=""14.96299738""","=""""",
"=""3d9.(2D<5/2>).5p""","=""2[7/2]*""","=""4""",9,"=""""","=""14.97602760""","=""""",
"=""3d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""",5,"=""""","=""14.98671572""","=""""",
"=""3d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""",3,"=""""","=""14.99211615""","=""""",
"=""3d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""",7,"=""""","=""15.01190137""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""1F*""","=""3""",7,"=""""","=""15.06716123""","=""""",
"=""3d8.(3F).4s.4p.(3P*)""","=""1D*""","=""2""",5,"=""""","=""15.12382247""","=""""",
"=""3d9.(2D<3/2>).5p""","=""2[1/2]*""","=""0""",1,"=""""","=""15.15384714""","=""""",
"=""3d9.(2D<3/2>).4d""","=""2[1/2]""","=""0""",1,"=""""","=""15.1776443""","=""""",
"=""3d9.(2D<3/2>).5p""","=""2[5/2]*""","=""2""",5,"=""""","=""15.21855811""","=""""",
"=""3d9.(2D<3/2>).5p""","=""2[1/2]*""","=""1""",3,"=""""","=""15.23365834""","=""""",
"=""3d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""",7,"=""""","=""15.25214151""","=""""",
"=""3d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""",3,"=""""","=""15.2878496""","=""""",
"=""3d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""",5,"=""""","=""15.31909404""","=""""",
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""3""",7,"=""""","=""15.5265487""","=""""",
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""2""",5,"=""""","=""15.5287879""","=""""",
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""1""",3,"=""""","=""15.568613""","=""""",
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""2""",5,"=""""","=""15.9153229""","=""""",
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""3""",7,"=""""","=""15.9393235""","=""""",
"=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""1""",3,"=""""","=""15.9405430""","=""""",
