Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s""","=""2S""","=""1/2""","="" 0.0000""","=""0.0012""","="""""
"=""2p""","=""2P*""","=""1/2""","=""(8073.102)""","=""0.012""","="""""
"=""2p""","=""2P*""","=""3/2""","=""(8101.741)""","=""0.012""","="""""
"=""2s""","=""2S""","=""1/2""","=""(8073.829)""","=""0.012""","="""""
"=""3p""","=""2P*""","=""1/2""","=""(9577.564)""","=""0.012""","="""""
"=""3p""","=""2P*""","=""3/2""","=""(9586.055)""","=""0.012""","="""""
"=""3s""","=""2S""","=""1/2""","=""(9577.79)""","=""0.12""","="""""
"=""3d""","=""2D""","=""3/2""","=""(9586.040)""","=""0.012""","="""""
"=""3d""","=""2D""","=""5/2""","=""(9588.815)""","=""0.012""","="""""
"=""4p""","=""2P*""","=""1/2""","=""(10102.9556)""","=""""","="""""
"=""4p""","=""2P*""","=""3/2""","=""(10106.532)""","=""0.012""","="""""
"=""4s""","=""2S""","=""1/2""","=""(10103.052)""","=""""","="""""
"=""4d""","=""2D""","=""3/2""","=""(10106.5280)""","=""""","="""""
"=""4d""","=""2D""","=""5/2""","=""(10107.698)""","=""0.012""","="""""
"=""4f""","=""2F*""","=""5/2""","=""(10107.6978)""","=""""","="""""
"=""4f""","=""2F*""","=""7/2""","=""(10108.279)""","=""0.012""","="""""
"=""5p""","=""2P*""","=""1/2""","=""(10345.6365)""","=""""","="""""
"=""5p""","=""2P*""","=""3/2""","=""(10347.465)""","=""0.012""","="""""
"=""5s""","=""2S""","=""1/2""","=""(10345.6860)""","=""""","="""""
"=""5d""","=""2D""","=""3/2""","=""(10347.4638)""","=""""","="""""
"=""5d""","=""2D""","=""5/2""","=""(10348.062)""","=""0.012""","="""""
"=""5f""","=""2F*""","=""5/2""","=""(10348.0628)""","=""""","="""""
"=""5f""","=""2F*""","=""7/2""","=""(10348.360)""","=""0.012""","="""""
"=""5g""","=""2G""","=""7/2""","=""(10348.361)""","=""""","="""""
"=""5g""","=""2G""","=""9/2""","=""(10348.5399)""","=""""","="""""
"=""""","=""Limit""","=""---""","=""(10775.386)""","=""0.004""","=""L7188"""
