Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p3""","=""4S*""","=""3/2""","="" 0.0000""","=""0.0012""","=""  81         :    15  2s2.2p3     2P*  ""","=""L7185"""
"=""2s2.2p3""","=""2D*""","=""3/2""","="" 19.5320""","=""""","=""  70         :    16  2s2.2p3     2P*  ""","="""""
"=""2s2.2p3""","=""2D*""","=""5/2""","="" 25.960""","=""0.012""","="" 100                                   ""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""","="" 37.52""","=""0.12""","=""  99         :     1  2p5         2P*  ""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""","="" 49.61""","=""0.12""","=""  68         :    25  2p3         2D*  ""","="""""
"=""2s.(2S).2p4.(3P)""","=""4P""","=""5/2""","="" 105.131""","=""0.012""","=""  96         :     4  2s.2p4.(1D) 2D   ""","="""""
"=""2s.(2S).2p4.(3P)""","=""4P""","=""3/2""","="" 116.8956""","=""""","=""  97         :     2  2s.2p4.(1D) 2D   ""","="""""
"=""2s.(2S).2p4.(3P)""","=""4P""","=""1/2""","="" 119.9933""","=""""","=""  92         :     8  2s.2p4.(1S) 2S   ""","="""""
"=""2s.(2S).2p4.(1D)""","=""2D""","=""3/2""","="" 145.8081""","=""""","=""  89         :     8  2s.2p4.(3P) 2P   ""","="""""
"=""2s.(2S).2p4.(1D)""","=""2D""","=""5/2""","="" 149.1899""","=""""","=""  96         :     4  2s.2p4.(3P) 4P   ""","="""""
"=""2s.(2S).2p4.(1S)""","=""2S""","=""1/2""","="" 166.67""","=""0.12""","=""  64         :    30  2s.2p4.(3P) 2P   ""","="""""
"=""2s.(2S).2p4.(3P)""","=""2P""","=""3/2""","="" 173.43""","=""0.12""","=""  91         :     9  2s.2p4.(1D) 2D   ""","="""""
"=""2s.(2S).2p4.(3P)""","=""2P""","=""1/2""","="" 190.50""","=""0.12""","=""  70         :    28  2s.2p4.(1S) 2S   ""","="""""
"=""2p5""","=""2P*""","=""3/2""","="" 271.56""","=""0.12""","=""  98         :     2  2s2.2p3     2P*  ""","="""""
"=""2p5""","=""2P*""","=""1/2""","="" 290.23""","=""0.12""","=""  99         :     1  2s2.2p3     2P*  ""","="""""
"=""Ni XXIII (2p2 3P<0>)""","=""Limit""","=""---""","=""[1880]""","=""5""","=""                                       ""","=""L11770"""
