Egrid	Excitation cross section
eV	cm\+(2)
0.0017784	9.285E-15
0.0079729	7.8563E-15
0.015195	6.6612E-15
0.023614	5.6575E-15
0.03343	4.8119E-15
0.044875	4.0975E-15
0.058217	3.4927E-15
0.073772	2.9796E-15
0.091908	2.5437E-15
0.11305	2.1728E-15
0.1377	1.8569E-15
0.16644	1.5874E-15
0.19995	1.3575E-15
0.23901	1.1613E-15
0.28454	9.9348E-16
