Egrid	Excitation cross section
eV	cm\+(2)
1.3305	1.6332E-16
5.9922	1.3986E-16
11.429	1.2066E-16
17.77	1.0476E-16
25.163	9.1459E-17
33.782	8.0221E-17
43.827	7.0643E-17
55.533	6.2405E-17
69.168	5.528E-17
85.047	4.9069E-17
103.53	4.3637E-17
125.04	3.8842E-17
150.05	3.4602E-17
179.12	3.0852E-17
212.88	2.7529E-17
