Egrid	excitation cross section
eV	cm\+(2)
0.5461	1.2154E-17
2.4528	1.2792E-17
4.6762	1.3083E-17
7.2686	1.3102E-17
10.291	1.2917E-17
13.815	1.2572E-17
17.923	1.2112E-17
22.711	1.1577E-17
28.291	1.0965E-17
34.794	1.0317E-17
42.37	9.6382E-18
51.196	8.9769E-18
61.476	8.3139E-18
73.444	7.6503E-18
87.376	7.0215E-18
