Egrid	excitation cross section
eV	cm\+(2)
0.91876	1.6629E-18
4.1319	1.5293E-18
7.8792	1.4366E-18
12.249	1.3763E-18
17.343	1.3388E-18
23.283	1.3142E-18
30.206	1.2974E-18
38.274	1.2824E-18
47.676	1.2583E-18
58.628	1.2232E-18
71.383	1.1848E-18
86.233	1.1431E-18
103.52	1.0952E-18
123.62	1.0376E-18
147	9.752E-19
