Egrid	excitation cross section
eV	cm\+(2)
0.0017784	4.7449E-14
0.0079729	3.3089E-14
0.015195	2.4457E-14
0.023614	1.8753E-14
0.03343	1.4743E-14
0.044875	1.18E-14
0.058217	9.5715E-15
0.073772	7.8434E-15
0.091908	6.4792E-15
0.11305	5.3863E-15
0.1377	4.5003E-15
0.16644	3.7756E-15
0.19995	3.1783E-15
0.23901	2.6833E-15
0.28454	2.2701E-15
