Egrid	Excitation cross section
eV	cm\+(2)
1.3305	2.2642E-18
5.9922	1.5749E-18
11.429	1.1329E-18
17.77	8.3067E-19
25.163	6.1546E-19
33.782	4.5799E-19
43.827	3.409E-19
55.533	2.5299E-19
69.168	1.8678E-19
85.047	1.3694E-19
103.53	9.959E-20
125.04	7.1789E-20
150.05	5.1281E-20
179.12	3.63E-20
212.88	2.5471E-20
