Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5.(2H).4s""","=""3H""","=""4""",9,"=""""","=""29.87526""","=""""",
"=""3d5.(2H).4s""","=""3H""","=""5""",11,"=""""","=""29.89046""","=""""",
"=""3d5.(2H).4s""","=""3H""","=""6""",13,"=""""","=""29.97609""","=""""",
"=""3d5.(2G2).4s""","=""3G""","=""3""",7,"=""""","=""30.04022""","=""""",
"=""3d5.(2G2).4s""","=""3G""","=""4""",9,"=""""","=""30.06676""","=""""",
"=""3d5.(6S).4p""","=""7P*""","=""2""",5,"=""""","=""30.10774""","=""""",
"=""3d5.(2G2).4s""","=""3G""","=""5""",11,"=""""","=""30.11117""","=""""",
"=""3d5.(4F).4s""","=""3F""","=""2""",5,"=""""","=""30.16125""","=""""",
"=""3d5.(4F).4s""","=""3F""","=""4""",9,"=""""","=""30.16933""","=""""",
"=""3d5.(4F).4s""","=""3F""","=""3""",7,"=""""","=""30.17412""","=""""",
"=""3d5.(6S).4p""","=""7P*""","=""3""",7,"=""""","=""30.20318""","=""""",
"=""3d5.(6S).4p""","=""7P*""","=""4""",9,"=""""","=""30.36341""","=""""",
"=""3d5.(2H).4s""","=""1H""","=""5""",11,"=""""","=""30.53011""","=""""",
"=""3d5.(2G2).4s""","=""1G""","=""4""",9,"=""""","=""30.63029""","=""""",
"=""3d5.(2F2).4s""","=""3F""","=""3""",7,"=""""","=""30.63723""","=""""",
"=""3d5.(2F2).4s""","=""3F""","=""2""",5,"=""""","=""30.64469""","=""""",
"=""3d5.(2F2).4s""","=""3F""","=""4""",9,"=""""","=""30.65911""","=""""",
"=""3d5.(2F2).4s""","=""1F""","=""3""",7,"=""""","=""31.20140""","=""""",
"=""3d5.(6S).4p""","=""5P*""","=""3""",7,"=""""","=""31.47497""","=""""",
"=""3d5.(2S).4s""","=""3S""","=""1""",3,"=""""","=""31.48036""","=""""",
"=""3d5.(6S).4p""","=""5P*""","=""2""",5,"=""""","=""31.55344""","=""""",
"=""3d5.(6S).4p""","=""5P*""","=""1""",3,"=""""","=""31.60168""","=""""",
"=""3d5.(2D2).4s""","=""3D""","=""1""",3,"=""""","=""32.69480""","=""""",
"=""3d5.(2D2).4s""","=""3D""","=""2""",5,"=""""","=""32.69918""","=""""",
"=""3d5.(2D2).4s""","=""3D""","=""3""",7,"=""""","=""32.70778""","=""""",
"=""3d5.(2D2).4s""","=""1D""","=""2""",5,"=""""","=""33.26191""","=""""",
"=""3d5.(2G1).4s""","=""3G""","=""5""",11,"=""""","=""34.05809""","=""""",
"=""3d5.(2G1).4s""","=""3G""","=""4""",9,"=""""","=""34.06349""","=""""",
"=""3d5.(2G1).4s""","=""3G""","=""3""",7,"=""""","=""34.06780""","=""""",
