Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5""","=""6S""","=""5/2""",6,"=""""","=""0.00000""","=""""",
"=""3d5""","=""4G""","=""11/2""",12,"=""""","=""5.19753""","=""""",
"=""3d5""","=""4G""","=""5/2""",6,"=""""","=""5.20778""","=""""",
"=""3d5""","=""4G""","=""9/2""",10,"=""""","=""5.21021""","=""""",
"=""3d5""","=""4G""","=""7/2""",8,"=""""","=""5.21169""","=""""",
"=""3d5""","=""4P""","=""5/2""",6,"=""""","=""5.68892""","=""""",
"=""3d5""","=""4P""","=""3/2""",4,"=""""","=""5.71622""","=""""",
"=""3d5""","=""4P""","=""1/2""",2,"=""""","=""5.74354""","=""""",
"=""3d5""","=""4D""","=""7/2""",8,"=""""","=""6.24025""","=""""",
"=""3d5""","=""4D""","=""1/2""",2,"=""""","=""6.27899""","=""""",
"=""3d5""","=""4D""","=""5/2""",6,"=""""","=""6.29562""","=""""",
"=""3d5""","=""4D""","=""3/2""",4,"=""""","=""6.29598""","=""""",
"=""3d5""","=""2I""","=""11/2""",12,"=""""","=""7.58734""","=""""",
"=""3d5""","=""2I""","=""13/2""",14,"=""""","=""7.59769""","=""""",
"=""3d5""","=""2D3""","=""5/2""",6,"=""""","=""7.95388""","=""""",
"=""3d5""","=""2D3""","=""3/2""",4,"=""""","=""8.08048""","=""""",
"=""3d5""","=""2F1""","=""7/2""",8,"=""""","=""8.31749""","=""""",
"=""3d5""","=""4F""","=""5/2""",6,"=""""","=""8.48609""","=""""",
"=""3d5""","=""4F""","=""9/2""",10,"=""""","=""8.49927""","=""""",
"=""3d5""","=""4F""","=""7/2""",8,"=""""","=""8.53032""","=""""",
"=""3d5""","=""4F""","=""3/2""",4,"=""""","=""8.57642""","=""""",
"=""3d5""","=""""","=""5/2""",6,"=""""","=""8.61033""","=""""",
"=""3d5""","=""2H""","=""9/2""",10,"=""""","=""9.03954""","=""""",
"=""3d5""","=""2H""","=""11/2""",12,"=""""","=""9.14465""","=""""",
"=""3d5""","=""2G2""","=""7/2""",8,"=""""","=""9.25266""","=""""",
"=""3d5""","=""2G2""","=""9/2""",10,"=""""","=""9.35358""","=""""",
"=""3d5""","=""2F2""","=""5/2""",6,"=""""","=""9.84328""","=""""",
"=""3d5""","=""2F2""","=""7/2""",8,"=""""","=""9.87017""","=""""",
"=""3d5""","=""2S""","=""1/2""",2,"=""""","=""10.72861""","=""""",
"=""3d5""","=""2D2""","=""3/2""",4,"=""""","=""11.95966""","=""""",
