Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3p6.3d7""","=""4F""","=""9/2""",10,"=""""","=""0.00000""","=""""",
"=""3p6.3d7""","=""4F""","=""7/2""",8,"=""""","=""0.14750""","=""""",
"=""3p6.3d7""","=""4F""","=""5/2""",6,"=""""","=""0.25324""","=""""",
"=""3p6.3d7""","=""4F""","=""3/2""",4,"=""""","=""0.32497""","=""""",
"=""3p6.3d7""","=""4P""","=""5/2""",6,"=""""","=""2.24642""","=""""",
"=""3p6.3d7""","=""4P""","=""3/2""",4,"=""""","=""2.27719""","=""""",
"=""3p6.3d7""","=""4P""","=""1/2""",2,"=""""","=""2.35054""","=""""",
"=""3p6.3d7""","=""2G""","=""9/2""",10,"=""""","=""2.45856""","=""""",
"=""3p6.3d7""","=""2G""","=""7/2""",8,"=""""","=""2.59717""","=""""",
"=""3p6.3d7""","=""2P""","=""3/2""",4,"=""""","=""2.93209""","=""""",
"=""3p6.3d7""","=""2P""","=""1/2""",2,"=""""","=""3.05638""","=""""",
"=""3p6.3d7""","=""2H""","=""11/2""",12,"=""""","=""3.30407""","=""""",
"=""3p6.3d7""","=""2D2""","=""5/2""",6,"=""""","=""3.35954""","=""""",
"=""3p6.3d7""","=""2H""","=""9/2""",10,"=""""","=""3.43159""","=""""",
"=""3p6.3d7""","=""2D2""","=""3/2""",4,"=""""","=""3.56798""","=""""",
"=""3p6.3d7""","=""2F""","=""5/2""",6,"=""""","=""5.38556""","=""""",
"=""3p6.3d7""","=""2F""","=""7/2""",8,"=""""","=""5.43777""","=""""",
"=""3p6.3d7""","=""2D1""","=""3/2""",4,"=""""","=""8.35158""","=""""",
"=""3p6.3d7""","=""2D1""","=""5/2""",6,"=""""","=""8.42966""","=""""",
"=""3d6.(5D).4s""","=""6D""","=""9/2""",10,"=""""","=""13.68917""","=""""",
"=""3d6.(5D).4s""","=""6D""","=""7/2""",8,"=""""","=""13.78652""","=""""",
"=""3d6.(5D).4s""","=""6D""","=""5/2""",6,"=""""","=""13.85688""","=""""",
"=""3d6.(5D).4s""","=""6D""","=""3/2""",4,"=""""","=""13.90506""","=""""",
"=""3d6.(5D).4s""","=""6D""","=""1/2""",2,"=""""","=""13.93326""","=""""",
"=""3d6.(5D).4s""","=""4D""","=""7/2""",8,"=""""","=""14.99087""","=""""",
"=""3d6.(5D).4s""","=""4D""","=""5/2""",6,"=""""","=""15.10223""","=""""",
"=""3d6.(5D).4s""","=""4D""","=""3/2""",4,"=""""","=""15.17394""","=""""",
"=""3d6.(5D).4s""","=""4D""","=""1/2""",2,"=""""","=""15.21502""","=""""",
"=""3d6.(3P2).4s""","=""4P""","=""5/2""",6,"=""""","=""17.16514""","=""""",
"=""3d6.(3H).4s""","=""4H""","=""13/2""",14,"=""""","=""17.26968""","=""""",
"=""3d6.(3H).4s""","=""4H""","=""11/2""",12,"=""""","=""17.31057""","=""""",
