Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""0.0000000000""","=""""",
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""0.007859989""","=""""",
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""5.33167""","=""""",
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""5.33441""","=""""",
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""5.33792""","=""""",
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""9.2901455""","=""""",
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""9.290459""","=""""",
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""11.963687""","=""""",
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""13.715650""","=""""",
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""13.720784""","=""""",
"=""2s2.3s""","=""2S""","=""1/2""",2,"=""""","=""14.4488269""","=""""",
"=""2s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""16.3317419""","=""""",
"=""2s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""16.3331238""","=""""",
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""17.60901""","=""""",
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""18.045807""","=""""",
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""18.045987""","=""""",
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""18.654858""","=""""",
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""18.655493""","=""""",
"=""2s2.4s""","=""2S""","=""1/2""",2,"=""""","=""19.494538""","=""""",
"=""2s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""20.149652""","=""""",
"=""2s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""20.150477""","=""""",
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",2,"=""""","=""20.701289""","=""""",
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",4,"=""""","=""20.704213""","=""""",
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",6,"=""""","=""20.709791""","=""""",
"=""2s2.4d""","=""2D""","=""3/2""",4,"=""""","=""20.844740""","=""""",
"=""2s2.4d""","=""2D""","=""5/2""",6,"=""""","=""20.844765""","=""""",
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""20.919793""","=""""",
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""20.922118""","=""""",
"=""2s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""20.950632""","=""""",
"=""2s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""20.950654""","=""""",
"=""2s2.5s""","=""2S""","=""1/2""",2,"=""""","=""21.492405""","=""""",
"=""2s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""21.732863""","=""""",
"=""2s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""21.733778""","=""""",
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""22.041235""","=""""",
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""22.043587""","=""""",
"=""2s2.5d""","=""2D""","=""3/2""",4,"=""""","=""22.130595""","=""""",
"=""2s2.5d""","=""2D""","=""5/2""",6,"=""""","=""22.130626""","=""""",
"=""2s2.5f""","=""2F*""","=""5/2""",6,"=""""","=""22.187763""","=""""",
"=""2s2.5f""","=""2F*""","=""7/2""",8,"=""""","=""22.187773""","=""""",
"=""2s2.5g""","=""2G""","=""7/2""",8,"=""""","=""22.202225""","=""""",
"=""2s2.5g""","=""2G""","=""9/2""",10,"=""""","=""22.202234""","=""""",
"=""2s2.6s""","=""2S""","=""1/2""",2,"=""""","=""22.473900""","=""""",
"=""2s.2p.(3P*).3p""","=""4D""","=""1/2""",2,"=""""","=""22.527518""","=""""",
"=""2s.2p.(3P*).3p""","=""4D""","=""3/2""",4,"=""""","=""22.529299""","=""""",
"=""2s.2p.(3P*).3p""","=""4D""","=""5/2""",6,"=""""","=""22.532400""","=""""",
"=""2s.2p.(3P*).3p""","=""4D""","=""7/2""",8,"=""""","=""22.536905""","=""""",
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",2,"=""""","=""22.568086""","=""""",
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",4,"=""""","=""22.570504""","=""""",
"=""2s2.6p""","=""2P*""","=""1/2""",2,"=""""","=""22.688229""","=""""",
"=""2s2.6p""","=""2P*""","=""3/2""",4,"=""""","=""22.688255""","=""""",
"=""2s2.6d""","=""2D""","=""3/2""",4,"=""""","=""22.822350""","=""""",
"=""2s2.6d""","=""2D""","=""5/2""",6,"=""""","=""22.822436""","=""""",
"=""2s2.6f""","=""2F*""","=""5/2""",6,"=""""","=""22.859729""","=""""",
"=""2s2.6f""","=""2F*""","=""7/2""",8,"=""""","=""22.859734""","=""""",
"=""2s2.6g""","=""2G""","=""7/2""",8,"=""""","=""22.868823""","=""""",
"=""2s2.6g""","=""2G""","=""9/2""",10,"=""""","=""22.868828""","=""""",
"=""2s2.6h""","=""2H*""","=""9/2""",10,"=""[""","=""22.870635""","=""]""",
"=""2s2.6h""","=""2H*""","=""11/2""",12,"=""[""","=""22.870635""","=""]""",
"=""2s.2p.(3P*).3p""","=""4S""","=""3/2""",4,"=""""","=""22.898766""","=""""",
"=""2s2.7s""","=""2S""","=""1/2""",2,"=""""","=""23.027948""","=""""",
"=""2s.2p.(3P*).3p""","=""4P""","=""1/2""",2,"=""""","=""23.114048""","=""""",
"=""2s.2p.(3P*).3p""","=""4P""","=""3/2""",4,"=""""","=""23.116074""","=""""",
"=""2s.2p.(3P*).3p""","=""4P""","=""5/2""",6,"=""""","=""23.118841""","=""""",
"=""2s2.7p""","=""2P*""","=""1/2""",2,"=""""","=""23.15347""","=""""",
"=""2s2.7p""","=""2P*""","=""3/2""",4,"=""""","=""23.15359""","=""""",
"=""2s2.7d""","=""2D""","=""3/2""",4,"=""""","=""23.22886""","=""""",
"=""2s2.7d""","=""2D""","=""5/2""",6,"=""""","=""23.22886""","=""""",
"=""2s2.7f""","=""2F*""","=""5/2""",6,"=""""","=""23.264628""","=""""",
"=""2s2.7f""","=""2F*""","=""7/2""",8,"=""""","=""23.264631""","=""""",
"=""2s2.7g""","=""2G""","=""7/2""",8,"=""""","=""23.270759""","=""""",
"=""2s2.7g""","=""2G""","=""9/2""",10,"=""""","=""23.270763""","=""""",
"=""2s2.7h""","=""2H*""","=""9/2""",10,"=""[""","=""23.271946""","=""]""",
"=""2s2.7h""","=""2H*""","=""11/2""",12,"=""[""","=""23.271946""","=""]""",
"=""2s2.7i""","=""2I""","=""11/2""",12,"=""[""","=""23.272303""","=""]""",
"=""2s2.7i""","=""2I""","=""13/2""",14,"=""[""","=""23.272303""","=""]""",
"=""2s2.8s""","=""2S""","=""1/2""",2,"=""[""","=""23.37158""","=""]""",
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",4,"=""""","=""23.381096""","=""""",
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",6,"=""""","=""23.385281""","=""""",
"=""2s2.8f""","=""2F*""","=""5/2""",6,"=""""","=""23.527470""","=""""",
"=""2s2.8f""","=""2F*""","=""7/2""",8,"=""""","=""23.527471""","=""""",
"=""2s2.8g""","=""2G""","=""7/2""",8,"=""""","=""23.531602""","=""""",
"=""2s2.8g""","=""2G""","=""9/2""",10,"=""""","=""23.531603""","=""""",
"=""2s2.8h""","=""2H*""","=""9/2""",10,"=""""","=""23.532439""","=""""",
"=""2s2.8h""","=""2H*""","=""11/2""",12,"=""""","=""23.532440""","=""""",
"=""2s2.8i""","=""2I""","=""11/2""",12,"=""[""","=""23.532663""","=""]""",
"=""2s2.8i""","=""2I""","=""13/2""",14,"=""[""","=""23.532663""","=""]""",
"=""2s2.8k""","=""2K*""","=""13/2""",14,"=""[""","=""23.532754""","=""]""",
"=""2s2.8k""","=""2K*""","=""15/2""",16,"=""[""","=""23.532754""","=""]""",
"=""2s2.8d""","=""2D""","=""3/2""",4,"=""""","=""23.5332""","=""""",
"=""2s2.8d""","=""2D""","=""5/2""",6,"=""""","=""23.5337""","=""""",
"=""2s2.9s""","=""2S""","=""1/2""",2,"=""[""","=""23.59933""","=""]""",
"=""2s2.9d""","=""2D""","=""3/2""",4,"=""""","=""23.7070""","=""""",
"=""2s2.9d""","=""2D""","=""5/2""",6,"=""""","=""23.7071""","=""""",
"=""2s2.9f""","=""2F*""","=""5/2""",6,"=""""","=""23.707425""","=""""",
"=""2s2.9f""","=""2F*""","=""7/2""",8,"=""""","=""23.707426""","=""""",
"=""2s2.9g""","=""2G""","=""7/2""",8,"=""""","=""23.710396""","=""""",
"=""2s2.9g""","=""2G""","=""9/2""",10,"=""""","=""23.710397""","=""""",
"=""2s2.9h""","=""2H*""","=""9/2""",10,"=""[""","=""23.710987""","=""]""",
"=""2s2.9h""","=""2H*""","=""11/2""",12,"=""[""","=""23.710987""","=""]""",
"=""2s2.9i""","=""2I""","=""11/2""",12,"=""[""","=""23.711166""","=""]""",
"=""2s2.9i""","=""2I""","=""13/2""",14,"=""[""","=""23.711166""","=""]""",
"=""2s2.9k""","=""2K*""","=""13/2""",14,"=""[""","=""23.711233""","=""]""",
"=""2s2.9k""","=""2K*""","=""15/2""",16,"=""[""","=""23.711233""","=""]""",
"=""2s2.10d""","=""2D""","=""3/2""",4,"=""""","=""23.8341""","=""""",
