Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""1s2""","=""1S""","=""0""",1,"=""""","=""0.00000""","=""""",
"=""1s.2s""","=""3S""","=""1""",3,"=""""","=""298.95953""","=""""",
"=""1s.2s""","=""1S""","=""0""",1,"=""""","=""304.38437""","=""""",
"=""1s.2p""","=""3P*""","=""1""",3,"=""""","=""304.40071""","=""""",
"=""1s.2p""","=""3P*""","=""0""",1,"=""""","=""304.40227""","=""""",
"=""1s.2p""","=""3P*""","=""2""",5,"=""""","=""304.41756""","=""""",
"=""1s.2p""","=""1P*""","=""1""",3,"=""""","=""307.89899""","=""""",
"=""1s.3s""","=""3S""","=""1""",3,"=""""","=""352.06228""","=""""",
"=""1s.3s""","=""1S""","=""0""",1,"=""""","=""353.501""","=""""",
"=""1s.3p""","=""3P*""","=""1""",3,"=""""","=""353.5293""","=""""",
"=""1s.3p""","=""3P*""","=""0""",1,"=""""","=""353.52947""","=""""",
"=""1s.3p""","=""3P*""","=""2""",5,"=""""","=""353.5342""","=""""",
"=""1s.3d""","=""3D""","=""1""",3,"=""""","=""354.26076""","=""""",
"=""1s.3d""","=""3D""","=""2""",5,"=""""","=""354.26086""","=""""",
"=""1s.3d""","=""3D""","=""3""",7,"=""""","=""354.2623""","=""""",
"=""1s.3d""","=""1D""","=""2""",5,"=""""","=""354.28860""","=""""",
"=""1s.3p""","=""1P*""","=""1""",3,"=""""","=""354.51652""","=""""",
"=""1s.4s""","=""3S""","=""1""",3,"=""""","=""369.91242""","=""""",
"=""1s.4s""","=""1S""","=""0""",1,"=""""","=""370.49531""","=""""",
"=""1s.4p""","=""3P*""","=""0""",1,"=""""","=""370.5093""","=""""",
"=""1s.4p""","=""3P*""","=""1""",3,"=""""","=""370.5093""","=""""",
"=""1s.4p""","=""3P*""","=""2""",5,"=""""","=""370.51119""","=""""",
"=""1s.4d""","=""3D""","=""1""",3,"=""""","=""370.8090""","=""""",
"=""1s.4d""","=""3D""","=""2""",5,"=""""","=""370.8090""","=""""",
"=""1s.4d""","=""3D""","=""3""",7,"=""""","=""370.81233""","=""""",
"=""1s.4f""","=""1F*""","=""3""",7,"=""""","=""370.82719""","=""""",
"=""1s.4f""","=""3F*""","=""2""",5,"=""""","=""370.82724""","=""""",
"=""1s.4f""","=""3F*""","=""3""",7,"=""""","=""370.82724""","=""""",
"=""1s.4f""","=""3F*""","=""4""",9,"=""""","=""370.82724""","=""""",
"=""1s.4d""","=""1D""","=""2""",5,"=""""","=""370.82800""","=""""",
"=""1s.4p""","=""1P*""","=""1""",3,"=""""","=""370.91886""","=""""",
"=""1s.5s""","=""3S""","=""1""",3,"=""""","=""378.01948""","=""""",
"=""1s.5s""","=""1S""","=""0""",1,"=""""","=""378.31055""","=""""",
"=""1s.5p""","=""3P*""","=""0""",1,"=""""","=""378.3170""","=""""",
"=""1s.5p""","=""3P*""","=""1""",3,"=""""","=""378.3170""","=""""",
