Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""2s2.2p.4d""","=""1F*""","=""3""",7,"=""""","=""10.40812917""","=""""",
"=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",7,"=""""","=""10.41296443""","=""""",
"=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""4""",9,"=""""","=""10.41299796""","=""""",
"=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",7,"=""""","=""10.416318591""","=""""",
"=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",5,"=""""","=""10.41633791""","=""""",
"=""2s2.2p.(2P*<3/2>).4f""","=""2[9/2]""","=""5""",11,"=""""","=""10.416641283""","=""""",
"=""2s2.2p.(2P*<3/2>).4f""","=""2[9/2]""","=""4""",9,"=""""","=""10.41669049""","=""""",
"=""2s2.2p.4d""","=""1P*""","=""1""",3,"=""""","=""10.41865840""","=""""",
"=""2s2.2p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",3,"=""""","=""10.41917726""","=""""",
"=""2s2.2p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",5,"=""""","=""10.41919132""","=""""",
"=""2s2.2p.4d""","=""3P*""","=""2""",5,"=""""","=""10.42745839""","=""""",
"=""2s2.2p.4d""","=""3P*""","=""1""",3,"=""""","=""10.42906912""","=""""",
"=""2s2.2p.4d""","=""3P*""","=""0""",1,"=""""","=""10.42970278""","=""""",
"=""2s2.2p.5p""","=""1P""","=""1""",3,"=""""","=""10.52024138""","=""""",
"=""2s2.2p.5p""","=""3D""","=""1""",3,"=""""","=""10.5306428""","=""""",
"=""2s2.2p.5p""","=""3D""","=""2""",5,"=""""","=""10.532508""","=""""",
"=""2s2.2p.5p""","=""3D""","=""3""",7,"=""""","=""10.53679751""","=""""",
"=""2s2.2p.5p""","=""3P""","=""0""",1,"=""""","=""10.559692""","=""""",
"=""2s2.2p.5p""","=""3P""","=""1""",3,"=""""","=""10.56208579""","=""""",
"=""2s2.2p.5p""","=""3P""","=""2""",5,"=""""","=""10.56390942""","=""""",
"=""2s2.2p.5p""","=""1D""","=""2""",5,"=""""","=""10.5882298""","=""""",
"=""2s2.2p.5p""","=""1S""","=""0""",1,"=""""","=""10.6161705""","=""""",
"=""2s2.2p.5d""","=""1D*""","=""2""",5,"=""""","=""10.68560706""","=""""",
"=""2s2.2p.5d""","=""3F*""","=""2""",5,"=""""","=""10.702030""","=""""",
"=""2s2.2p.6s""","=""3P*""","=""0""",1,"=""""","=""10.702560""","=""""",
"=""2s2.2p.5d""","=""3F*""","=""3""",7,"=""""","=""10.70320700""","=""""",
"=""2s2.2p.6s""","=""3P*""","=""1""",3,"=""""","=""10.7037605""","=""""",
"=""2s2.2p.5d""","=""3D*""","=""1""",3,"=""""","=""10.707590""","=""""",
"=""2s2.2p.5d""","=""3F*""","=""4""",9,"=""""","=""10.7084390""","=""""",
"=""2s2.2p.6s""","=""3P*""","=""2""",5,"=""""","=""10.708468""","=""""",
"=""2s2.2p.5d""","=""3D*""","=""2""",5,"=""""","=""10.710924""","=""""",
"=""2s2.2p.5d""","=""3D*""","=""3""",7,"=""""","=""10.711966""","=""""",
"=""2s2.2p.(2P*<1/2>).5f""","=""2[5/2]""","=""3""",7,"=""""","=""10.71372629""","=""""",
"=""2s2.2p.(2P*<1/2>).5f""","=""2[5/2]""","=""2""",5,"=""""","=""10.71373880""","=""""",
"=""2s2.2p.(2P*<1/2>).5f""","=""2[7/2]""","=""3""",7,"=""""","=""10.71404072""","=""""",
"=""2s2.2p.(2P*<1/2>).5f""","=""2[7/2]""","=""4""",9,"=""""","=""10.71406552""","=""""",
"=""2s2.2p.6s""","=""1P*""","=""1""",3,"=""""","=""10.7142898""","=""""",
"=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""",7,"=""""","=""10.71555641""","=""""",
