Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""1s""","=""2S""","=""1/2""",2,"=""""","=""0.00000000""","=""""",
"=""2p""","=""2P*""","=""1/2""",2,"=""(""","=""367.47407361""","="")""",
"=""2s""","=""2S""","=""1/2""",2,"=""(""","=""367.47730732""","="")""",
"=""2p""","=""2P*""","=""3/2""",4,"=""(""","=""367.53296255""","="")""",
"=""3p""","=""2P*""","=""1/2""",2,"=""(""","=""435.54680078""","="")""",
"=""3s""","=""2S""","=""1/2""",2,"=""(""","=""435.54776594""","="")""",
"=""3d""","=""2D""","=""3/2""",4,"=""(""","=""435.564220644""","="")""",
"=""3p""","=""2P*""","=""3/2""",4,"=""(""","=""435.56424974""","="")""",
"=""3d""","=""2D""","=""5/2""",6,"=""(""","=""435.570031917""","="")""",
"=""4p""","=""2P*""","=""1/2""",2,"=""(""","=""459.36986090""","="")""",
"=""4s""","=""2S""","=""1/2""",2,"=""(""","=""459.37026931""","="")""",
"=""4d""","=""2D""","=""3/2""",4,"=""(""","=""459.37720947""","="")""",
"=""4p""","=""2P*""","=""3/2""",4,"=""(""","=""459.37722189""","="")""",
"=""4f""","=""2F*""","=""5/2""",6,"=""(""","=""459.37965677""","="")""",
"=""4d""","=""2D""","=""5/2""",6,"=""(""","=""459.37966120""","="")""",
"=""4f""","=""2F*""","=""7/2""",8,"=""(""","=""459.38088237""","="")""",
"=""5p""","=""2P*""","=""1/2""",2,"=""(""","=""470.39551229""","="")""",
"=""5s""","=""2S""","=""1/2""",2,"=""(""","=""470.39572171""","="")""",
"=""5d""","=""2D""","=""3/2""",4,"=""(""","=""470.39927454""","="")""",
"=""5p""","=""2P*""","=""3/2""",4,"=""(""","=""470.399280950""","="")""",
"=""5f""","=""2F*""","=""5/2""",6,"=""(""","=""470.40052755""","="")""",
"=""5d""","=""2D""","=""5/2""",6,"=""(""","=""470.40052983""","="")""",
"=""5g""","=""2G""","=""7/2""",8,"=""(""","=""470.401153883""","="")""",
"=""5f""","=""2F*""","=""7/2""",8,"=""(""","=""470.40115507""","="")""",
"=""5g""","=""2G""","=""9/2""",10,"=""(""","=""470.401530361""","="")""",
"=""6p""","=""2P*""","=""1/2""",2,"=""(""","=""476.384328443""","="")""",
"=""6s""","=""2S""","=""1/2""",2,"=""(""","=""476.38444973""","="")""",
"=""6d""","=""2D""","=""3/2""",4,"=""(""","=""476.38650555""","="")""",
"=""6p""","=""2P*""","=""3/2""",4,"=""(""","=""476.386509299""","="")""",
"=""6f""","=""2F*""","=""5/2""",6,"=""(""","=""476.387230664""","="")""",
"=""6d""","=""2D""","=""5/2""",6,"=""(""","=""476.38723199""","="")""",
"=""6g""","=""2G""","=""7/2""",8,"=""(""","=""476.387593127""","="")""",
"=""6f""","=""2F*""","=""7/2""",8,"=""(""","=""476.387593813""","="")""",
"=""6h""","=""2H*""","=""9/2""",10,"=""(""","=""476.3878105731""","="")""",
"=""6g""","=""2G""","=""9/2""",10,"=""(""","=""476.387810999""","="")""",
"=""6h""","=""2H*""","=""11/2""",12,"=""(""","=""476.3879558156""","="")""",
