Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""4s2.4p2""","=""3P""","=""0""",1,"=""""","=""0.00000000""","=""""",
"=""4s2.4p2""","=""3P""","=""1""",3,"=""""","=""0.06907582""","=""""",
"=""4s2.4p2""","=""3P""","=""2""",5,"=""""","=""0.17481287""","=""""",
"=""4s2.4p2""","=""1D""","=""2""",5,"=""""","=""0.88342447""","=""""",
"=""4s2.4p2""","=""1S""","=""0""",1,"=""""","=""2.02929069""","=""""",
"=""4s2.4p.5s""","=""3P*""","=""0""",1,"=""""","=""4.64341768""","=""""",
"=""4s2.4p.5s""","=""3P*""","=""1""",3,"=""""","=""4.67449011""","=""""",
"=""4s2.4p.5s""","=""3P*""","=""2""",5,"=""""","=""4.85000174""","=""""",
"=""4s2.4p.5s""","=""1P*""","=""1""",3,"=""""","=""4.96191710""","=""""",
"=""4s.4p3""","=""5S*""","=""2""",5,"=""""","=""5.1982515""","=""""",
"=""4s2.4p.5p""","=""3D""","=""1""",3,"=""""","=""5.7014868""","=""""",
"=""4s2.4p.5p""","=""1P""","=""1""",3,"=""""","=""5.79815458""","=""""",
"=""4s2.4p.5p""","=""3D""","=""2""",5,"=""""","=""5.80672304""","=""""",
"=""4s2.4p.5p""","=""3P""","=""0""",1,"=""""","=""5.88957497""","=""""",
"=""4s2.4p.5p""","=""3P""","=""1""",3,"=""""","=""5.96219558""","=""""",
"=""4s2.4p.5p""","=""3D""","=""3""",7,"=""""","=""5.96414832""","=""""",
"=""4s2.4p.4d""","=""1D*""","=""2""",5,"=""""","=""6.0107599""","=""""",
"=""4s2.4p.5p""","=""3P""","=""2""",5,"=""""","=""6.04126822""","=""""",
"=""4s2.4p.4d""","=""3D*""","=""2""",5,"=""""","=""6.0606282""","=""""",
"=""4s2.4p.4d""","=""3D*""","=""1""",3,"=""""","=""6.0706114""","=""""",
"=""4s2.4p.5p""","=""3S""","=""1""",3,"=""""","=""6.08463509""","=""""",
"=""4s2.4p.4d""","=""3D*""","=""3""",7,"=""""","=""6.0931287""","=""""",
"=""4s2.4p.5p""","=""1D""","=""2""",5,"=""""","=""6.15576347""","=""""",
"=""4s2.4p.4d""","=""3F*""","=""2""",5,"=""""","=""6.2077591""","=""""",
"=""4s2.4p.4d""","=""3F*""","=""3""",7,"=""""","=""6.2393145""","=""""",
"=""4s2.4p.4d""","=""3F*""","=""4""",9,"=""""","=""6.296759""","=""""",
"=""4s2.4p.5p""","=""1S""","=""0""",1,"=""""","=""6.32461240""","=""""",
"=""4s2.4p.4d""","=""3P*""","=""2""",5,"=""""","=""6.3774747""","=""""",
"=""4s2.4p.4d""","=""3P*""","=""1""",3,"=""""","=""6.4106055""","=""""",
"=""4s2.4p.4d""","=""3P*""","=""0""",1,"=""""","=""6.444469""","=""""",
"=""4s2.4p.6s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""6.4656180""","=""""",
"=""4s2.4p.6s""","=""(1/2,1/2)*""","=""0""",1,"=""""","=""6.4683181""","=""""",
"=""4s2.4p.4d""","=""1F*""","=""3""",7,"=""""","=""6.5206047""","=""""",
"=""4s2.4p.4d""","=""1P*""","=""1""",3,"=""""","=""6.5522196""","=""""",
"=""4s2.4p.6s""","=""(3/2,1/2)*""","=""2""",5,"=""""","=""6.6841895""","=""""",
"=""4s2.4p.6s""","=""(3/2,1/2)*""","=""1""",3,"=""""","=""6.7168350""","=""""",
"=""4s2.4p.6p""","=""3D""","=""1""",3,"=""""","=""6.81117707""","=""""",
"=""4s2.4p.6p""","=""1P""","=""1""",3,"=""""","=""6.84837065""","=""""",
"=""4s2.4p.6p""","=""3D""","=""2""",5,"=""""","=""6.85212189""","=""""",
"=""4s2.4p.5d""","=""3D*""","=""2""",5,"=""""","=""6.8653287""","=""""",
"=""4s2.4p.5d""","=""3D*""","=""1""",3,"=""""","=""6.8779822""","=""""",
"=""4s2.4p.6p""","=""3P""","=""0""",1,"=""""","=""6.88152008""","=""""",
"=""4s2.4p.5d""","=""3F*""","=""2""",5,"=""""","=""6.904271""","=""""",
"=""4s2.4p.5d""","=""3D*""","=""3""",7,"=""""","=""6.9082265""","=""""",
"=""4s2.4p.6p""","=""3P""","=""1""",3,"=""""","=""7.02831190""","=""""",
"=""4s2.4p.(2P*<1/2>).4f""","=""2[7/2]""","=""3""",7,"=""""","=""7.0380558""","=""""",
"=""4s2.4p.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",7,"=""""","=""7.0384172""","=""""",
"=""4s2.4p.(2P*<1/2>).4f""","=""2[7/2]""","=""4""",9,"=""""","=""7.0387647""","=""""",
"=""4s2.4p.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",5,"=""""","=""7.0389239""","=""""",
"=""4s2.4p.6p""","=""3D""","=""3""",7,"=""""","=""7.0414916""","=""""",
"=""4s2.4p.5d""","=""3F*""","=""3""",7,"=""""","=""7.0458285""","=""""",
"=""4s2.4p.5d""","=""*""","=""2""",5,"=""""","=""7.0573473""","=""""",
"=""4s2.4p.6p""","=""3P""","=""2""",5,"=""""","=""7.06062353""","=""""",
"=""4s2.4p.6p""","=""3S""","=""1""",3,"=""""","=""7.07741506""","=""""",
"=""4s2.4p.7s""","=""(1/2,1/2)*""","=""0""",1,"=""""","=""7.087977""","=""""",
"=""4s2.4p.7s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""7.0894410""","=""""",
"=""4s2.4p.6p""","=""1D""","=""2""",5,"=""""","=""7.09821224""","=""""",
"=""4s2.4p.5d""","=""3P*""","=""1""",3,"=""""","=""7.1165507""","=""""",
"=""4s2.4p.5d""","=""3P*""","=""2""",5,"=""""","=""7.1205271""","=""""",
"=""4s2.4p.5d""","=""3F*""","=""4""",9,"=""""","=""7.1360601""","=""""",
"=""4s2.4p.6p""","=""1S""","=""0""",1,"=""""","=""7.1502091""","=""""",
"=""4s2.4p.5d""","=""3P*""","=""0""",1,"=""""","=""7.169880""","=""""",
"=""4s2.4p.5d""","=""1P*""","=""1""",3,"=""""","=""7.1982820""","=""""",
"=""4s2.4p.5d""","=""1F*""","=""3""",7,"=""""","=""7.2026577""","=""""",
"=""4s2.4p.30d""","=""(3/2,3/2)*""","=""3""",7,"=""""","=""7.234353""","=""""",
"=""4s2.4p.7p""","=""3D""","=""1""",3,"=""""","=""7.2424948""","=""""",
"=""4s2.4p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",7,"=""""","=""7.2478714""","=""""",
