Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d10""","=""1S""","=""0""",1,"=""""","=""0.0000""","=""""",
"=""3d9.4s""","=""3D""","=""3""",7,"=""""","=""29.03949""","=""""",
"=""3d9.4s""","=""3D""","=""2""",5,"=""""","=""29.25618""","=""""",
"=""3d9.4s""","=""3D""","=""1""",3,"=""""","=""29.60307""","=""""",
"=""3d9.4s""","=""1D""","=""2""",5,"=""""","=""29.99614""","=""""",
"=""3d9.4p""","=""3P*""","=""2""",5,"=""""","=""40.13975""","=""""",
"=""3d9.4p""","=""3P*""","=""1""",3,"=""""","=""40.63619""","=""""",
"=""3d9.4p""","=""3F*""","=""3""",7,"=""""","=""40.65330""","=""""",
"=""3d9.4p""","=""3F*""","=""4""",9,"=""""","=""40.89592""","=""""",
"=""3d9.4p""","=""3P*""","=""0""",1,"=""""","=""40.95601""","=""""",
"=""3d9.4p""","=""3F*""","=""2""",5,"=""""","=""41.01281""","=""""",
"=""3d9.4p""","=""1F*""","=""3""",7,"=""""","=""41.55471""","=""""",
"=""3d9.4p""","=""1D*""","=""2""",5,"=""""","=""41.60417""","=""""",
"=""3d9.4p""","=""3D*""","=""3""",7,"=""""","=""41.80352""","=""""",
"=""3d9.4p""","=""1P*""","=""1""",3,"=""""","=""41.94057""","=""""",
"=""3d9.4p""","=""3D*""","=""1""",3,"=""""","=""42.09762""","=""""",
"=""3d9.4p""","=""3D*""","=""2""",5,"=""""","=""42.19129""","=""""",
"=""3d9.4d""","=""3S""","=""1""",3,"=""""","=""56.54322""","=""""",
"=""3d9.4d""","=""3G""","=""5""",11,"=""""","=""57.20848""","=""""",
"=""3d9.4d""","=""3G""","=""4""",9,"=""""","=""57.23639""","=""""",
"=""3d9.4d""","=""1P""","=""1""",3,"=""""","=""57.25775""","=""""",
"=""3d9.4d""","=""3P""","=""2""",5,"=""""","=""57.25944""","=""""",
"=""3d9.4d""","=""3D""","=""3""",7,"=""""","=""57.44952""","=""""",
"=""3d9.4d""","=""3P""","=""0""",1,"=""""","=""57.52345""","=""""",
"=""3d9.4d""","=""3G""","=""3""",7,"=""""","=""57.53821""","=""""",
"=""3d9.4d""","=""3D""","=""2""",5,"=""""","=""57.60953""","=""""",
"=""3d9.4d""","=""""","=""4""",9,"=""""","=""57.61616""","=""""",
"=""3d9.4d""","=""3P""","=""1""",3,"=""""","=""57.63439""","=""""",
