Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d10.4s2""","=""1S""","=""0""",1,"=""""","=""0.000000""","=""""",
"=""3d10.4s.4p""","=""3P*""","=""0""",1,"=""""","=""7.654018""","=""""",
"=""3d10.4s.4p""","=""3P*""","=""1""",3,"=""""","=""7.749006""","=""""",
"=""3d10.4s.4p""","=""3P*""","=""2""",5,"=""""","=""7.952824""","=""""",
"=""3d10.4s.4p""","=""1P*""","=""1""",3,"=""""","=""11.390761""","=""""",
"=""3d10.4p2""","=""1D""","=""2""",5,"=""""","=""17.974592""","=""""",
"=""3d10.4p2""","=""3P""","=""0""",1,"=""""","=""18.310662""","=""""",
"=""3d10.4p2""","=""3P""","=""1""",3,"=""""","=""18.429022""","=""""",
"=""3d10.4p2""","=""3P""","=""2""",5,"=""""","=""18.643720""","=""""",
"=""3d10.4s.5s""","=""3S""","=""1""",3,"=""""","=""19.659557""","=""""",
"=""3d10.4s.4d""","=""3D""","=""1""",3,"=""""","=""20.189618""","=""""",
"=""3d10.4s.4d""","=""3D""","=""2""",5,"=""""","=""20.198308""","=""""",
"=""3d10.4s.4d""","=""3D""","=""3""",7,"=""""","=""20.211526""","=""""",
"=""3d10.4s.5s""","=""1S""","=""0""",1,"=""""","=""20.275450""","=""""",
"=""3d10.4p2""","=""1S""","=""0""",1,"=""""","=""21.587374""","=""""",
"=""3d10.4s.4d""","=""1D""","=""2""",5,"=""""","=""22.086589""","=""""",
"=""3d10.4s.5p""","=""3P*""","=""0""",1,"=""""","=""22.547663""","=""""",
"=""3d10.4s.5p""","=""3P*""","=""1""",3,"=""""","=""22.568576""","=""""",
"=""3d10.4s.5p""","=""3P*""","=""2""",5,"=""""","=""22.625509""","=""""",
"=""3d10.4s.5p""","=""1P*""","=""1""",3,"=""""","=""22.850047""","=""""",
"=""3d10.4s.4f""","=""3F*""","=""2""",5,"=""""","=""26.091977""","=""""",
"=""3d10.4s.4f""","=""3F*""","=""3""",7,"=""""","=""26.093900""","=""""",
"=""3d10.4s.4f""","=""3F*""","=""4""",9,"=""""","=""26.101638""","=""""",
"=""3d10.4s.4f""","=""1F*""","=""3""",7,"=""""","=""26.103209""","=""""",
"=""3d10.4s.6s""","=""3S""","=""1""",3,"=""""","=""26.178032""","=""""",
"=""3d10.4s.6s""","=""1S""","=""0""",1,"=""""","=""26.36673""","=""""",
"=""3d10.4s.5d""","=""3D""","=""1""",3,"=""""","=""26.423904""","=""""",
"=""3d10.4s.5d""","=""3D""","=""2""",5,"=""""","=""26.427536""","=""""",
"=""3d10.4s.5d""","=""3D""","=""3""",7,"=""""","=""26.433139""","=""""",
"=""3d10.4s.5d""","=""1D""","=""2""",5,"=""""","=""26.728137""","=""""",
"=""3d10.4s.7s""","=""3S""","=""1""",3,"=""""","=""29.06590""","=""""",
"=""3d10.4s.5g""","=""3G""","=""3""",7,"=""""","=""29.125887""","=""""",
"=""3d10.4s.5g""","=""3G""","=""4""",9,"=""""","=""29.125919""","=""""",
"=""3d10.4s.5g""","=""1G""","=""4""",9,"=""""","=""29.126373""","=""""",
"=""3d10.4s.5g""","=""3G""","=""5""",11,"=""""","=""29.126380""","=""""",
"=""3d10.4s.7s""","=""1S""","=""0""",1,"=""""","=""29.14866""","=""""",
"=""3d10.4s.6d""","=""3D""","=""1""",3,"=""""","=""29.19041""","=""""",
"=""3d10.4s.6d""","=""3D""","=""2""",5,"=""""","=""29.19235""","=""""",
"=""3d10.4s.6d""","=""3D""","=""3""",7,"=""""","=""29.19574""","=""""",
"=""3d10.4s.6d""","=""1D""","=""2""",5,"=""""","=""29.29108""","=""""",
"=""3d10.4p.4d""","=""1D*""","=""2""",5,"=""""","=""29.48980""","=""""",
"=""3d10.4s.8s""","=""3S""","=""1""",3,"=""""","=""30.60860""","=""""",
"=""3d10.4s.6g""","=""3G""","=""3""",7,"=""""","=""30.634474""","=""""",
"=""3d10.4s.6g""","=""3G""","=""4""",9,"=""""","=""30.634513""","=""""",
"=""3d10.4s.6g""","=""3G""","=""5""",11,"=""""","=""30.634915""","=""""",
"=""3d10.4s.6g""","=""1G""","=""4""",9,"=""""","=""30.634918""","=""""",
"=""3d10.4p.4d""","=""1P*""","=""1""",3,"=""""","=""32.57253""","=""""",
"=""Ge IV (4s 2S<1/2>)""","=""Limit""","=""---""",,"=""""","=""34.0576""","=""""",
