Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3p6.3d8.(1G).4p""","=""2G*""","=""9/2""",10,"=""""","=""56.91054""","=""""",
"=""3p6.3d8.(1S).4p""","=""2P*""","=""1/2""",2,"=""""","=""61.51842""","=""""",
"=""3p6.3d8.(1S).4p""","=""2P*""","=""3/2""",4,"=""""","=""62.06343""","=""""",
"=""3p6.3d8.(3F).4f""","=""2S*""","=""1/2""",2,"=""""","=""84.646""","=""""",
"=""3p6.3d8.(3F).4f""","=""4D*""","=""7/2""",8,"=""""","=""84.679""","=""""",
"=""3p6.3d8.(3F).4f""","=""2P*""","=""3/2""",4,"=""""","=""84.738""","=""""",
"=""3p6.3d8.4f""","=""*""","=""7/2""",8,"=""""","=""84.871""","=""""",
"=""3p6.3d8.4f""","=""*""","=""5/2""",6,"=""""","=""84.896""","=""""",
"=""3p6.3d8.(3F).4f""","=""4P*""","=""1/2""",2,"=""""","=""85.154""","=""""",
"=""3p6.3d8.4f""","=""*""","=""3/2""",4,"=""""","=""85.217""","=""""",
"=""3p6.3d8.4f""","=""*""","=""5/2""",6,"=""""","=""85.263""","=""""",
"=""3p6.3d8.4f""","=""*""","=""3/2""",4,"=""""","=""85.270""","=""""",
"=""3p6.3d8.4f""","=""*""","=""7/2""",8,"=""""","=""85.342""","=""""",
"=""3p6.3d8.(3F).4f""","=""2D*""","=""5/2""",6,"=""""","=""85.358""","=""""",
"=""3p6.3d8.(3F).4f""","=""2P*""","=""1/2""",2,"=""""","=""85.498""","=""""",
"=""3p6.3d8.(3F).4f""","=""2G*""","=""7/2""",8,"=""""","=""85.633""","=""""",
"=""3p6.3d8.(3F).4f""","=""2D*""","=""3/2""",4,"=""""","=""85.676""","=""""",
"=""3p6.3d8.(3F).4f""","=""2F*""","=""5/2""",6,"=""""","=""85.725""","=""""",
"=""3p6.3d8.(1D).4f""","=""2F*""","=""5/2""",6,"=""""","=""87.461""","=""""",
"=""3p6.3d8.(1D).4f""","=""2D*""","=""3/2""",4,"=""""","=""87.57""","=""""",
"=""3p6.3d8.(1D).4f""","=""2F*""","=""7/2""",8,"=""""","=""87.584""","=""""",
"=""3p6.3d8.(1D).4f""","=""2P*""","=""1/2""",2,"=""""","=""87.594""","=""""",
"=""3p6.3d8.(1D).4f""","=""2D*""","=""5/2""",6,"=""""","=""87.613""","=""""",
"=""3p6.3d8.(1D).4f""","=""2P*""","=""3/2""",4,"=""""","=""87.638""","=""""",
"=""3p6.3d8.(3P).4f""","=""4F*""","=""5/2""",6,"=""""","=""88.132""","=""""",
"=""3p6.3d8.(3P).4f""","=""4F*""","=""3/2""",4,"=""""","=""88.145""","=""""",
"=""3p6.3d8.(3P).4f""","=""2F*""","=""7/2""",8,"=""""","=""88.267""","=""""",
"=""3p6.3d8.(3P).4f""","=""4G*""","=""7/2""",8,"=""""","=""88.393""","=""""",
"=""3p6.3d8.4f""","=""*""","=""5/2""",6,"=""""","=""88.429""","=""""",
"=""3p6.3d8.(3P).4f""","=""4D*""","=""3/2""",4,"=""""","=""88.432""","=""""",
"=""3p6.3d8.(3P).4f""","=""2G*""","=""7/2""",8,"=""""","=""88.4650""","=""""",
"=""3p6.3d8.(3P).4f""","=""4D*""","=""5/2""",6,"=""""","=""88.481""","=""""",
"=""3p6.3d8.(3P).4f""","=""4D*""","=""7/2""",8,"=""""","=""88.528""","=""""",
"=""3p6.3d8.(3P).4f""","=""2D*""","=""3/2""",4,"=""""","=""88.54""","=""""",
"=""3p6.3d8.(3P).4f""","=""2D*""","=""5/2""",6,"=""""","=""88.551""","=""""",
"=""3p6.3d8.(1G).4f""","=""2P*""","=""3/2""",4,"=""""","=""88.729""","=""""",
"=""3p6.3d8.(1G).4f""","=""2P*""","=""1/2""",2,"=""""","=""88.9704""","=""""",
"=""3p6.3d8.(1G).4f""","=""2D*""","=""5/2""",6,"=""""","=""89.314""","=""""",
"=""3p6.3d8.(1G).4f""","=""2D*""","=""3/2""",4,"=""""","=""89.337""","=""""",
"=""3p6.3d8.(1G).4f""","=""2F*""","=""7/2""",8,"=""""","=""89.44""","=""""",
"=""3p6.3d8.(1G).4f""","=""2F*""","=""5/2""",6,"=""""","=""89.451""","=""""",
"=""3p5.3d10""","=""2P*""","=""3/2""",4,"=""""","=""93.475""","=""""",
"=""3p6.3d8.(1S).4f""","=""2F*""","=""7/2""",8,"=""""","=""95.343""","=""""",
"=""3p5.3d10""","=""2P*""","=""1/2""",2,"=""""","=""97.15""","=""""",
"=""Ge VII (3d8 3F<4>)""","=""Limit""","=""---""",,"=""[""","=""115.90""","=""]""",
