Eel	Ionization cross section
eV	cm\+(2)
33.0719	5.7208E-19
40.0924	4.8547E-18
48.282	1.0526E-17
57.835	1.5633E-17
68.973	1.958E-17
81.957	2.2293E-17
97.089	2.3914E-17
114.716	2.4648E-17
135.244	2.4694E-17
159.134	2.4224E-17
186.914	2.3382E-17
219.214	2.2284E-17
256.734	2.1021E-17
300.264	1.9663E-17
350.734	1.8265E-17
