Eel	Ionization cross section
	cm\+(2)
23.2821	4.3638E-19
30.5966	2.6091E-18
39.331	5.1686E-18
49.757	7.599E-18
62.2	9.6241E-18
77.044	1.1137E-17
94.746	1.2135E-17
115.844	1.2665E-17
140.975	1.2802E-17
170.895	1.2622E-17
206.475	1.2201E-17
248.745	1.1606E-17
298.925	1.0895E-17
358.395	1.0115E-17
428.765	9.3041E-18
