Eel	Ionization cross section
eV	cm\+(2)
33.1179	1.3967E-19
40.1384	1.1553E-18
48.328	2.4886E-18
57.881	3.6851E-18
69.019	4.6082E-18
82.003	5.2416E-18
97.135	5.6194E-18
114.762	5.7895E-18
135.29	5.7985E-18
159.18	5.6869E-18
186.96	5.4884E-18
219.26	5.2299E-18
256.78	4.9327E-18
300.31	4.6134E-18
350.78	4.2849E-18
