Eel	Ionization cross section
eV	cm\+(2)
23.2821	4.6361E-19
30.5966	2.7723E-18
39.331	5.4904E-18
49.757	8.0699E-18
62.2	1.0218E-17
77.044	1.1822E-17
94.746	1.2879E-17
115.844	1.3441E-17
140.975	1.3584E-17
170.895	1.3392E-17
206.475	1.2945E-17
248.745	1.2313E-17
298.925	1.1558E-17
358.395	1.073E-17
428.765	9.87E-18
