Eel	Ionization cross section
	cm\+(2)
31.7821	1.1185E-18
39.0966	5.4146E-18
47.831	9.4496E-18
58.257	1.2728E-17
70.7	1.5087E-17
85.544	1.6554E-17
103.246	1.7249E-17
124.344	1.7321E-17
149.475	1.692E-17
179.395	1.6182E-17
214.975	1.5219E-17
257.245	1.4121E-17
307.425	1.2959E-17
366.895	1.1787E-17
437.265	1.0642E-17
