Eel	Ionization cross section
eV	cm\+(2)
23.2821	2.6135E-18
30.5966	1.099E-17
39.331	1.7577E-17
49.757	2.2306E-17
62.2	2.5267E-17
77.044	2.6711E-17
94.746	2.6959E-17
115.844	2.6327E-17
140.975	2.5087E-17
170.895	2.3463E-17
206.475	2.1628E-17
248.745	1.9708E-17
298.925	1.7794E-17
358.395	1.5948E-17
428.765	1.4208E-17
