Eel	Ionization cross section
	cm\+(2)
29.8579	1.8831E-19
36.8784	1.3652E-18
45.068	2.8191E-18
54.621	4.0803E-18
65.759	5.018E-18
78.743	5.6328E-18
93.875	5.9724E-18
111.502	6.0947E-18
132.03	6.0529E-18
155.92	5.8922E-18
183.7	5.6484E-18
216	5.3498E-18
253.52	5.0181E-18
297.05	4.67E-18
347.52	4.3178E-18
