Eel	Ionization cross section
	cm\+(2)
2.042541	2.5379E-18
2.69528	1.3333E-17
3.557	1.9403E-17
4.6947	2.2332E-17
6.1965	2.31E-17
8.179	2.2366E-17
10.7955	2.0641E-17
14.2485	1.8345E-17
18.8055	1.5817E-17
24.8165	1.3303E-17
32.7445	1.0966E-17
43.1975	8.8941E-18
56.9725	7.1205E-18
75.1135	5.6421E-18
98.9865	4.4347E-18
