Eel	Ionization cross section
	cm\+(2)
27.8419	4.2351E-19
34.8624	2.8039E-18
43.052	5.6073E-18
52.605	7.9734E-18
63.743	9.6857E-18
76.727	1.0769E-17
91.859	1.1329E-17
109.486	1.1484E-17
130.014	1.1339E-17
153.904	1.0982E-17
181.684	1.0479E-17
213.984	9.8845E-18
251.504	9.2374E-18
295.034	8.5676E-18
345.504	7.8972E-18
