Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3p6.3d2""","=""3F""","=""2""",5,"=""""","=""0.00000""","=""""",
"=""3p6.3d2""","=""3F""","=""3""",7,"=""""","=""0.06301""","=""""",
"=""3p6.3d2""","=""3F""","=""4""",9,"=""""","=""0.14155""","=""""",
"=""3p6.3d2""","=""1D""","=""2""",5,"=""""","=""1.63510""","=""""",
"=""3p6.3d2""","=""3P""","=""0""",1,"=""""","=""1.92074""","=""""",
"=""3p6.3d2""","=""3P""","=""1""",3,"=""""","=""1.94365""","=""""",
"=""3p6.3d2""","=""3P""","=""2""",5,"=""""","=""1.98883""","=""""",
"=""3p6.3d2""","=""1G""","=""4""",9,"=""""","=""2.73003""","=""""",
"=""3p6.3d2""","=""1S""","=""0""",1,"=""""","=""6.34135""","=""""",
"=""3p6.3d.4s""","=""3D""","=""1""",3,"=""""","=""20.72723""","=""""",
"=""3p6.3d.4s""","=""3D""","=""2""",5,"=""""","=""20.76624""","=""""",
"=""3p6.3d.4s""","=""3D""","=""3""",7,"=""""","=""20.84044""","=""""",
"=""3p6.3d.4s""","=""1D""","=""2""",5,"=""""","=""21.28785""","=""""",
"=""3p6.3d.4p""","=""1D*""","=""2""",5,"=""""","=""28.03528""","=""""",
"=""3p6.3d.4p""","=""3D*""","=""1""",3,"=""""","=""28.26862""","=""""",
"=""3p6.3d.4p""","=""3D*""","=""2""",5,"=""""","=""28.32904""","=""""",
"=""3p6.3d.4p""","=""3D*""","=""3""",7,"=""""","=""28.40736""","=""""",
"=""3p6.3d.4p""","=""3F*""","=""2""",5,"=""""","=""28.46078""","=""""",
"=""3p6.3d.4p""","=""3F*""","=""3""",7,"=""""","=""28.55558""","=""""",
"=""3p6.3d.4p""","=""3F*""","=""4""",9,"=""""","=""28.68906""","=""""",
"=""3p6.3d.4p""","=""3P*""","=""1""",3,"=""""","=""29.08897""","=""""",
"=""3p6.3d.4p""","=""3P*""","=""0""",1,"=""""","=""29.09519""","=""""",
"=""3p6.3d.4p""","=""3P*""","=""2""",5,"=""""","=""29.11724""","=""""",
"=""3p6.3d.4p""","=""1F*""","=""3""",7,"=""""","=""29.44990""","=""""",
"=""3p6.3d.4p""","=""1P*""","=""1""",3,"=""""","=""29.74598""","=""""",
"=""3p6.3d.4d""","=""1F""","=""3""",7,"=""""","=""39.26268""","=""""",
"=""3p6.3d.4d""","=""3D""","=""1""",3,"=""""","=""39.41381""","=""""",
"=""3p6.3d.4d""","=""3D""","=""2""",5,"=""""","=""39.45519""","=""""",
"=""3p6.3d.4d""","=""3D""","=""3""",7,"=""""","=""39.50158""","=""""",
"=""3p6.3d.4d""","=""3G""","=""3""",7,"=""""","=""39.56573""","=""""",
"=""3p6.3d.4d""","=""1P""","=""1""",3,"=""""","=""39.58617""","=""""",
"=""3p6.3d.4d""","=""3G""","=""4""",9,"=""""","=""39.61503""","=""""",
"=""3p6.3d.4d""","=""3G""","=""5""",11,"=""""","=""39.68417""","=""""",
"=""3p6.3d.4d""","=""3S""","=""1""",3,"=""""","=""39.98839""","=""""",
"=""3p6.3d.4d""","=""3F""","=""2""",5,"=""""","=""40.30777""","=""""",
"=""3p6.3d.4d""","=""3F""","=""3""",7,"=""""","=""40.35345""","=""""",
"=""3p6.3d.4d""","=""3F""","=""4""",9,"=""""","=""40.40449""","=""""",
"=""3p6.3d.4d""","=""1D""","=""2""",5,"=""""","=""40.83423""","=""""",
"=""3p6.3d.4d""","=""3P""","=""0""",1,"=""""","=""40.92530""","=""""",
"=""3p6.3d.4d""","=""3P""","=""1""",3,"=""""","=""40.94517""","=""""",
"=""3p6.3d.4d""","=""3P""","=""2""",5,"=""""","=""40.98134""","=""""",
"=""3p6.3d.4d""","=""1G""","=""4""",9,"=""""","=""41.13935""","=""""",
"=""3p6.3d.5s""","=""3D""","=""1""",3,"=""""","=""44.23072""","=""""",
"=""3p6.3d.5s""","=""3D""","=""2""",5,"=""""","=""44.26004""","=""""",
"=""3p6.3d.5s""","=""3D""","=""3""",7,"=""""","=""44.34616""","=""""",
"=""3p6.3d.5s""","=""1D""","=""2""",5,"=""""","=""44.46740""","=""""",
"=""Cr VI (3d 2D<3/2>)""","=""Limit""","=""---""",,"=""[""","=""69.46""","=""]""",
