Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3p6.3d""","=""2D""","=""3/2""",4,"=""""","=""0.0000""","=""""",
"=""3p6.3d""","=""2D""","=""5/2""",6,"=""""","=""0.117""","=""""",
"=""3p6.4s""","=""2S""","=""1/2""",2,"=""""","=""28.25078""","=""""",
"=""3p6.4p""","=""2P*""","=""1/2""",2,"=""""","=""36.77039""","=""""",
"=""3p6.4p""","=""2P*""","=""3/2""",4,"=""""","=""36.99648""","=""""",
"=""3p5.(2P*).3d2.(1G)""","=""2F*""","=""5/2""",6,"=""""","=""44.2576""","=""""",
"=""3p5.(2P*).3d2.(1G)""","=""2F*""","=""7/2""",8,"=""""","=""44.5308""","=""""",
"=""3p5.(2P*).3d2.(1D)""","=""2F*""","=""7/2""",8,"=""""","=""46.0748""","=""""",
"=""3p5.(2P*).3d2.(1D)""","=""2F*""","=""5/2""",6,"=""""","=""46.9500""","=""""",
"=""3p6.4d""","=""2D""","=""3/2""",4,"=""""","=""49.92369""","=""""",
"=""3p6.4d""","=""2D""","=""5/2""",6,"=""""","=""49.95182""","=""""",
"=""3p5.(2P*).3d2.(3F)""","=""2F*""","=""5/2""",6,"=""""","=""54.56981""","=""""",
"=""3p5.(2P*).3d2.(3F)""","=""2F*""","=""7/2""",8,"=""""","=""54.91823""","=""""",
"=""3p6.5s""","=""2S""","=""1/2""",2,"=""""","=""57.18808""","=""""",
"=""3p6.4f""","=""2F*""","=""5/2""",6,"=""""","=""59.75493""","=""""",
"=""3p6.4f""","=""2F*""","=""7/2""",8,"=""""","=""59.82450""","=""""",
"=""3p6.5p""","=""2P*""","=""1/2""",2,"=""""","=""60.45339""","=""""",
"=""3p6.5p""","=""2P*""","=""3/2""",4,"=""""","=""60.57396""","=""""",
"=""3p5.(2P*).3d2.(3P)""","=""2P*""","=""1/2""",2,"=""""","=""61.15485""","=""""",
"=""3p5.(2P*).3d2.(3P)""","=""2P*""","=""3/2""",4,"=""""","=""61.36117""","=""""",
"=""3p5.(2P*).3d2.(3F)""","=""2D*""","=""5/2""",6,"=""""","=""61.6149""","=""""",
"=""3p5.(2P*).3d2.(3F)""","=""2D*""","=""3/2""",4,"=""""","=""61.6815""","=""""",
"=""3p6.5d""","=""2D""","=""3/2""",4,"=""""","=""66.25489""","=""""",
"=""3p6.5d""","=""2D""","=""5/2""",6,"=""""","=""66.26828""","=""""",
"=""3p6.6s""","=""2S""","=""1/2""",2,"=""""","=""69.68707""","=""""",
"=""3p6.5f""","=""2F*""","=""5/2""",6,"=""""","=""70.54173""","=""""",
"=""3p6.5f""","=""2F*""","=""7/2""",8,"=""""","=""70.54614""","=""""",
"=""3p6.5g""","=""2G""","=""7/2""",8,"=""""","=""70.95272""","=""""",
"=""3p6.5g""","=""2G""","=""9/2""",10,"=""""","=""70.95298""","=""""",
"=""3p6.6p""","=""2P*""","=""1/2""",2,"=""""","=""71.1837""","=""""",
"=""3p6.6p""","=""2P*""","=""3/2""",4,"=""""","=""71.3829""","=""""",
"=""3p5.3d.(3P*).4s""","=""2P*""","=""1/2""",2,"=""""","=""71.7330""","=""""",
"=""3p5.3d.(3P*).4s""","=""2P*""","=""3/2""",4,"=""""","=""71.9973""","=""""",
"=""3p5.3d.(3F*).4s""","=""4F*""","=""7/2""",8,"=""""","=""72.4528""","=""""",
"=""3p5.3d.(3F*).4s""","=""4F*""","=""5/2""",6,"=""""","=""72.6886""","=""""",
"=""3p5.3d.(3F*).4s""","=""2F*""","=""7/2""",8,"=""""","=""73.2916""","=""""",
"=""3p5.3d.(3F*).4s""","=""2F*""","=""5/2""",6,"=""""","=""73.7614""","=""""",
"=""3p5.3d.(3D*).4s""","=""4D*""","=""7/2""",8,"=""""","=""75.3347""","=""""",
"=""3p5.3d.(3D*).4s""","=""4D*""","=""5/2""",6,"=""""","=""75.4606""","=""""",
"=""3p5.3d.(3D*).4s""","=""4D*""","=""3/2""",4,"=""""","=""75.5270""","=""""",
"=""3p5.3d.(1D*).4s""","=""2D*""","=""5/2""",6,"=""""","=""75.6920""","=""""",
"=""3p5.3d.(1D*).4s""","=""2D*""","=""3/2""",4,"=""""","=""75.8248""","=""""",
"=""3p5.3d.(1F*).4s""","=""2F*""","=""5/2""",6,"=""""","=""76.1740""","=""""",
"=""3p5.3d.(1F*).4s""","=""2F*""","=""7/2""",8,"=""""","=""76.3841""","=""""",
"=""3p5.3d.(3D*).4s""","=""2D*""","=""3/2""",4,"=""""","=""76.6831""","=""""",
"=""3p6.6f""","=""2F*""","=""5/2""",6,"=""""","=""76.6945""","=""""",
"=""3p6.6f""","=""2F*""","=""7/2""",8,"=""""","=""76.7275""","=""""",
"=""3p5.3d.(3D*).4s""","=""2D*""","=""5/2""",6,"=""""","=""76.7982""","=""""",
"=""3p6.6g""","=""2G""","=""7/2""",8,"=""""","=""76.95653""","=""""",
"=""3p6.6g""","=""2G""","=""9/2""",10,"=""""","=""76.95705""","=""""",
"=""3p6.6h""","=""2H*""","=""9/2""",10,"=""""","=""77.01438""","=""""",
"=""3p6.6h""","=""2H*""","=""11/2""",12,"=""""","=""77.01438""","=""""",
"=""3p6.7f""","=""2F*""","=""5/2""",6,"=""""","=""80.4064""","=""""",
"=""3p6.7f""","=""2F*""","=""7/2""",8,"=""""","=""80.4078""","=""""",
"=""3p6.7h""","=""2H*""","=""9/2""",10,"=""""","=""80.62826""","=""""",
"=""3p6.7h""","=""2H*""","=""11/2""",12,"=""""","=""80.62826""","=""""",
"=""3p6.8f""","=""2F*""","=""5/2""",6,"=""""","=""82.8181""","=""""",
"=""3p6.8f""","=""2F*""","=""7/2""",8,"=""""","=""82.8181""","=""""",
"=""3p6.9f""","=""2F*""","=""5/2""",6,"=""""","=""84.4713""","=""""",
"=""3p6.9f""","=""2F*""","=""7/2""",8,"=""""","=""84.4713""","=""""",
"=""3p6.10f""","=""2F*""","=""5/2""",6,"=""""","=""85.6459""","=""""",
"=""3p6.10f""","=""2F*""","=""7/2""",8,"=""""","=""85.6459""","=""""",
"=""Cr VII (3p6 1S<0>)""","=""Limit""","=""---""",,"=""""","=""90.6349""","=""""",
