Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3s2.3p6""","=""1S""","=""0""",1,"=""""","=""0.00000""","=""""",
"=""3s2.3p5.3d""","=""3P*""","=""0""",1,"=""""","=""42.30084""","=""""",
"=""3s2.3p5.3d""","=""3P*""","=""1""",3,"=""""","=""42.49850""","=""""",
"=""3s2.3p5.3d""","=""3P*""","=""2""",5,"=""""","=""42.91553""","=""""",
"=""3s2.3p5.3d""","=""3F*""","=""4""",9,"=""""","=""44.32977""","=""""",
"=""3s2.3p5.3d""","=""3F*""","=""3""",7,"=""""","=""44.65562""","=""""",
"=""3s2.3p5.3d""","=""3F*""","=""2""",5,"=""""","=""45.01381""","=""""",
"=""3s2.3p5.3d""","=""1D*""","=""2""",5,"=""""","=""47.44656""","=""""",
"=""3s2.3p5.3d""","=""3D*""","=""3""",7,"=""""","=""47.45339""","=""""",
"=""3s2.3p5.3d""","=""3D*""","=""1""",3,"=""""","=""47.83661""","=""""",
"=""3s2.3p5.3d""","=""3D*""","=""2""",5,"=""""","=""47.93435""","=""""",
"=""3s2.3p5.3d""","=""1F*""","=""3""",7,"=""""","=""48.25790""","=""""",
"=""3s2.3p5.3d""","=""1P*""","=""1""",3,"=""""","=""61.12860""","=""""",
"=""3s.3p6.3d""","=""3D""","=""1""",3,"=""""","=""75.46665""","=""""",
"=""3s.3p6.3d""","=""3D""","=""2""",5,"=""""","=""75.52407""","=""""",
"=""3s.3p6.3d""","=""3D""","=""3""",7,"=""""","=""75.61645""","=""""",
"=""3s.3p6.3d""","=""1D""","=""2""",5,"=""""","=""77.84059""","=""""",
"=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",5,"=""""","=""82.92790""","=""""",
"=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",3,"=""""","=""83.37041""","=""""",
"=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""",1,"=""""","=""84.12758""","=""""",
"=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",3,"=""""","=""84.63288""","=""""",
"=""3s2.3p5.4p""","=""3S""","=""1""",3,"=""""","=""91.07945""","=""""",
"=""3s2.3p5.4p""","=""3D""","=""2""",5,"=""""","=""92.40901""","=""""",
"=""3s2.3p5.4p""","=""3D""","=""3""",7,"=""""","=""92.44647""","=""""",
"=""3s2.3p5.4p""","=""3D""","=""1""",3,"=""""","=""92.81820""","=""""",
"=""3s2.3p5.4p""","=""3P""","=""2""",5,"=""""","=""93.19264""","=""""",
"=""3s2.3p5.4p""","=""1P""","=""1""",3,"=""""","=""93.53106""","=""""",
"=""3s2.3p5.4p""","=""3P""","=""0""",1,"=""""","=""93.86048""","=""""",
"=""3s2.3p5.4p""","=""1D""","=""2""",5,"=""""","=""94.02644""","=""""",
"=""3s2.3p5.4p""","=""3P""","=""1""",3,"=""""","=""94.05095""","=""""",
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""",1,"=""""","=""106.16670""","=""""",
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",3,"=""""","=""106.28353""","=""""",
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",5,"=""""","=""106.55290""","=""""",
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""",9,"=""""","=""106.68150""","=""""",
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""",7,"=""""","=""106.77499""","=""""",
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""",5,"=""""","=""107.13840""","=""""",
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""3""",7,"=""""","=""107.26565""","=""""",
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",3,"=""""","=""107.43266""","=""""",
"=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",5,"=""""","=""108.14294""","=""""",
"=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",7,"=""""","=""108.25632""","=""""",
"=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",5,"=""""","=""108.30832""","=""""",
"=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",3,"=""""","=""108.53335""","=""""",
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",3,"=""""","=""116.7697""","=""""",
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",5,"=""""","=""116.93559""","=""""",
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""",11,"=""""","=""117.09276""","=""""",
"=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",7,"=""""","=""117.14854""","=""""",
