 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
     74 18 18  321   4 3s2 3p5 6d      -2.86099E-02  1.07608E+00 15.0
     75 18 18  311   9 3s2 3p5 8s      -2.85991E-02  1.07609E+00  9.0
     76 18 18  111   8 3s2 3p5 8s      -2.83108E-02  1.07638E+00  3.0
     77 18 18  111   9 3s2 3p5 6d      -2.78961E-02  1.07679E+00  3.0
     78 18 18  320   7 3s2 3p5 6f      -2.78167E-02  1.07687E+00 15.0
     79 18 18  120   7 3s2 3p5 6f      -2.78087E-02  1.07688E+00  5.0
     80 18 18  340   3 3s2 3p5 6f      -2.77978E-02  1.07689E+00 27.0
     81 18 18  140   3 3s2 3p5 6f      -2.77958E-02  1.07689E+00  9.0
     82 18 18  331   6 3s2 3p5 6g      -2.77785E-02  1.07691E+00 21.0
     83 18 18  131   6 3s2 3p5 6g      -2.77784E-02  1.07691E+00  7.0
     84 18 18  351   2 3s2 3p5 6g      -2.77783E-02  1.07691E+00 33.0
     85 18 18  151   2 3s2 3p5 6g      -2.77783E-02  1.07691E+00 11.0
     86 18 18  150   1 3s2 3p5 6h      -2.77778E-02  1.07691E+00 11.0
     87 18 18  340   4 3s2 3p5 6h      -2.77778E-02  1.07691E+00 27.0
     88 18 18  140   4 3s2 3p5 6h      -2.77778E-02  1.07691E+00  9.0
     89 18 18  350   1 3s2 3p5 6h      -2.77778E-02  1.07691E+00 33.0
     90 18 18  141   2 3s2 3p5 6g      -2.77765E-02  1.07691E+00  9.0
     91 18 18  341   2 3s2 3p5 6g      -2.77765E-02  1.07691E+00 27.0
     92 18 18  130   3 3s2 3p5 6f      -2.77444E-02  1.07695E+00  7.0
     93 18 18  330   3 3s2 3p5 6f      -2.77444E-02  1.07695E+00 21.0
     94 18 18  300   5 3s2 3p5 8p      -2.52999E-02  1.07939E+00  3.0
     95 18 18  320   8 3s2 3p5 8p      -2.47968E-02  1.07989E+00 15.0
     96 18 18  120   8 3s2 3p5 8p      -2.46110E-02  1.08008E+00  5.0
     97 18 18  310   5 3s2 3p5 8p      -2.44696E-02  1.08022E+00  9.0
     98 18 18  110   5 3s2 3p5 8p      -2.44696E-02  1.08022E+00  3.0
     99 18 18  100   6 3s2 3p5 8p      -2.35736E-02  1.08112E+00  1.0
    100 18 18  311  10 3s2 3p5 7d      -2.25194E-02  1.08217E+00  9.0
    101 18 18  331   7 3s2 3p5 7d      -2.18497E-02  1.08284E+00 21.0
    102 18 18  131   7 3s2 3p5 7d      -2.11821E-02  1.08351E+00  7.0
    103 18 18  121   5 3s2 3p5 7d      -2.09619E-02  1.08373E+00  5.0
    104 18 18  321   5 3s2 3p5 7d      -2.09619E-02  1.08373E+00 15.0
    105 18 18  311  11 3s2 3p5 9s      -2.09203E-02  1.08377E+00  9.0
    106 18 18  111  10 3s2 3p5 9s      -2.07375E-02  1.08395E+00  3.0
    107 18 18  111  11 3s2 3p5 7d      -2.04823E-02  1.08421E+00  3.0
    108 18 18  320   9 3s2 3p5 7f      -2.04350E-02  1.08425E+00 15.0
    109 18 18  120   9 3s2 3p5 7f      -2.04294E-02  1.08426E+00  5.0
    110 18 18  340   5 3s2 3p5 7f      -2.04220E-02  1.08427E+00 27.0
    111 18 18  140   5 3s2 3p5 7f      -2.04207E-02  1.08427E+00  9.0
    112 18 18  331   8 3s2 3p5 7g      -2.04088E-02  1.08428E+00 21.0
    113 18 18  131   8 3s2 3p5 7g      -2.04087E-02  1.08428E+00  7.0
    114 18 18  151   3 3s2 3p5 7g      -2.04082E-02  1.08428E+00 11.0
    115 18 18  351   3 3s2 3p5 7g      -2.04082E-02  1.08428E+00 33.0
    116 18 18  150   2 3s2 3p5 7h      -2.04081E-02  1.08428E+00 11.0
    117 18 18  340   6 3s2 3p5 7h      -2.04081E-02  1.08428E+00 27.0
    118 18 18  140   6 3s2 3p5 7h      -2.04081E-02  1.08428E+00  9.0
    119 18 18  350   2 3s2 3p5 7h      -2.04081E-02  1.08428E+00 33.0
    120 18 18  141   3 3s2 3p5 7g      -2.04071E-02  1.08428E+00  9.0
    121 18 18  341   3 3s2 3p5 7g      -2.04071E-02  1.08428E+00 27.0
    122 18 18  130   4 3s2 3p5 7f      -2.03853E-02  1.08430E+00  7.0
    123 18 18  330   4 3s2 3p5 7f      -2.03853E-02  1.08430E+00 21.0
    124 18 18  300   6 3s2 3p5 9p      -1.88226E-02  1.08587E+00  3.0
    125 18 18  320  10 3s2 3p5 9p      -1.85007E-02  1.08619E+00 15.0
    126 18 18  120  10 3s2 3p5 9p      -1.83806E-02  1.08631E+00  5.0
    127 18 18  110   6 3s2 3p5 9p      -1.82908E-02  1.08640E+00  3.0
    128 18 18  310   6 3s2 3p5 9p      -1.82908E-02  1.08640E+00  9.0
    129 18 18  100   7 3s2 3p5 9p      -1.77058E-02  1.08698E+00  1.0
    130 18 18  311  12 3s2 3p5 8d      -1.70509E-02  1.08764E+00  9.0
    131 18 18  331   9 3s2 3p5 8d      -1.66074E-02  1.08808E+00 21.0
    132 18 18  131   9 3s2 3p5 8d      -1.61540E-02  1.08854E+00  7.0
    133 18 18  121   6 3s2 3p5 8d      -1.60088E-02  1.08868E+00  5.0
    134 18 18  321   6 3s2 3p5 8d      -1.60088E-02  1.08868E+00 15.0
    135 18 18  311  13 3s2 3p510s      -1.59657E-02  1.08872E+00  9.0
    136 18 18  111  12 3s2 3p510s      -1.58429E-02  1.08885E+00  3.0
