 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1  9  4  100   1 2s2             -1.15319E+01  0.00000E+00  1.0
     84  9  4  131   6 2s 7f           -7.33437E-01  1.07985E+01  7.0
     85  9  4  300   8 2s 8s           -5.97008E-01  1.09349E+01  3.0
     86  9  4  100  10 2s 8s           -5.92537E-01  1.09394E+01  1.0
     87  9  4  111  11 2s 8p           -5.82808E-01  1.09491E+01  3.0
     88  9  4  311  11 2s 8p           -5.79111E-01  1.09528E+01  9.0
     89  9  4  320   9 2s 8d           -5.69210E-01  1.09627E+01 15.0
     90  9  4  120  10 2s 8d           -5.64240E-01  1.09677E+01  5.0
     91  9  4  331   7 2s 8f           -5.63556E-01  1.09683E+01 21.0
     92  9  4  340   5 2s 8g           -5.63279E-01  1.09686E+01 27.0
     93  9  4  140   5 2s 8g           -5.63267E-01  1.09686E+01  9.0
     94  9  4  131   7 2s 8f           -5.62556E-01  1.09693E+01  7.0
     95  9  4  311  12 2p 5s           -5.37234E-01  1.09947E+01  9.0
     96  9  4  111  12 2p 5s           -5.20529E-01  1.10114E+01  3.0
     97  9  4  110   3 2p 5p           -4.89734E-01  1.10422E+01  3.0
     98  9  4  320  10 2p 5p           -4.82610E-01  1.10493E+01 15.0
     99  9  4  300   9 2p 5p:          -4.81003E-01  1.10509E+01  3.0
    100  9  4  100  11 2s 9s           -4.70273E-01  1.10616E+01  1.0
    101  9  4  310   4 2p 5p           -4.62273E-01  1.10696E+01  9.0
    102  9  4  311  13 2s 9p           -4.57506E-01  1.10744E+01  9.0
    103  9  4  300  10 2s 9s:          -4.54503E-01  1.10774E+01  3.0
    104  9  4  111  13 2s 9p           -4.52365E-01  1.10795E+01  3.0
    105  9  4  331   8 2p 5d           -4.50388E-01  1.10815E+01 21.0
    106  9  4  320  11 2s 9d           -4.48831E-01  1.10831E+01 15.0
    107  9  4  120  11 2p 5p           -4.48399E-01  1.10835E+01  5.0
    108  9  4  340   6 2s 9g           -4.47808E-01  1.10841E+01 27.0
    109  9  4  140   6 2s 9g           -4.47606E-01  1.10843E+01  9.0
    110  9  4  131   8 2s 9f           -4.46505E-01  1.10854E+01  7.0
    111  9  4  121   3 2p 5d           -4.45900E-01  1.10860E+01  5.0
    112  9  4  120  12 2s 9d           -4.44198E-01  1.10877E+01  5.0
    113  9  4  331   9 2s 9f           -4.42036E-01  1.10899E+01 21.0
    114  9  4  321   3 2p 5d           -4.27713E-01  1.11042E+01 15.0
    115  9  4  130   2 2p 5f           -4.23442E-01  1.11085E+01  7.0
    116  9  4  330   2 2p 5f           -4.22413E-01  1.11095E+01 21.0
    117  9  4  311  14 2p 5d           -4.21070E-01  1.11108E+01  9.0
    118  9  4  340   7 2p 5f           -4.15563E-01  1.11163E+01 27.0
    119  9  4  100  12 2p 5p           -4.12721E-01  1.11192E+01  1.0
    120  9  4  140   7 2p 5f           -4.11981E-01  1.11199E+01  9.0
    121  9  4  331  10 2p 5g           -4.08927E-01  1.11230E+01 21.0
    122  9  4  131   9 2p 5g           -4.08920E-01  1.11230E+01  7.0
    123  9  4  320  12 2p 5f           -4.07188E-01  1.11247E+01 15.0
    124  9  4  120  13 2p 5f           -4.02890E-01  1.11290E+01  5.0
    125  9  4  131  10 2p 5d           -4.02743E-01  1.11292E+01  7.0
    126  9  4  111  14 2p 5d           -3.94786E-01  1.11371E+01  3.0
    127  9  4  300  11 2s10s           -3.75189E-01  1.11567E+01  3.0
    128  9  4  100  13 2s10s           -3.68017E-01  1.11639E+01  1.0
    129  9  4  311  15 2s10p           -3.66753E-01  1.11651E+01  9.0
    130  9  4  111  15 2s10p           -3.64502E-01  1.11674E+01  3.0
    131  9  4  320  13 2s10d           -3.63104E-01  1.11688E+01 15.0
    132  9  4  120  14 2s10d           -3.60871E-01  1.11710E+01  5.0
    133  9  4  331  11 2s10f           -3.60359E-01  1.11715E+01 21.0
    134  9  4  340   8 2s10g           -3.58775E-01  1.11731E+01 27.0
    135  9  4  140   8 2s10g           -3.58572E-01  1.11733E+01  9.0
    136  9  4  131  11 2s10f           -3.57957E-01  1.11739E+01  7.0
    137  9  4  110   4 2p 6p           -1.62793E-02  1.15156E+01  3.0
    138  9  4  310   5 2p 6p           -1.47426E-03  1.15304E+01  9.0
    139  9  4  121   4 2p 6d            8.42722E-03  1.15403E+01  5.0
    140  9  4  321   4 2p 6d            1.84206E-02  1.15503E+01 15.0
    141  9  4  130   3 2p 6f            2.10757E-02  1.15530E+01  7.0
    142  9  4  330   3 2p 6f            2.17116E-02  1.15536E+01 21.0
    143  9  4  110   5 2p 7p            2.65479E-01  1.17974E+01  3.0
    144  9  4  310   6 2p 7p            2.74416E-01  1.18063E+01  9.0
    145  9  4  121   5 2p 7d            2.80788E-01  1.18127E+01  5.0
    146  9  4  321   5 2p 7d            2.86894E-01  1.18188E+01 15.0
    147  9  4  130   4 2p 7f            2.88592E-01  1.18205E+01  7.0
    148  9  4  330   4 2p 7f            2.89006E-01  1.18209E+01 21.0
    149  9  4  110   6 2p 8p            4.46712E-01  1.19786E+01  3.0
    150  9  4  310   7 2p 8p            4.52538E-01  1.19844E+01  9.0
    151  9  4  121   6 2p 8d            4.56858E-01  1.19888E+01  5.0
    152  9  4  321   6 2p 8d            4.60870E-01  1.19928E+01 15.0
    153  9  4  130   5 2p 8f            4.62012E-01  1.19939E+01  7.0
    154  9  4  330   5 2p 8f            4.62294E-01  1.19942E+01 21.0
    155  9  4  110   7 2p 9p            5.70153E-01  1.21021E+01  3.0
    156  9  4  310   8 2p 9p            5.74168E-01  1.21061E+01  9.0
    157  9  4  121   7 2p 9d            5.77224E-01  1.21091E+01  5.0
    158  9  4  321   7 2p 9d            5.80005E-01  1.21119E+01 15.0
    159  9  4  130   6 2p 9f            5.80808E-01  1.21127E+01  7.0
    160  9  4  330   6 2p 9f            5.81008E-01  1.21129E+01 21.0
    161  9  4  110   8 2p10p            6.58008E-01  1.21899E+01  3.0
    162  9  4  310   9 2p10p            6.60895E-01  1.21928E+01  9.0
    163  9  4  121   8 2p10d            6.63133E-01  1.21950E+01  5.0
    164  9  4  321   8 2p10d            6.65142E-01  1.21970E+01 15.0
    165  9  4  130   7 2p10f            6.65727E-01  1.21976E+01  7.0
    166  9  4  330   7 2p10f            6.65874E-01  1.21978E+01 21.0
 ====================================================================
