Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5""","=""a 6S""","=""5/2""",6,"=""""","=""0.000000""","=""""",
"=""3d5""","=""a 4G""","=""11/2""",12,"=""""","=""3.325802""","=""""",
"=""3d5""","=""a 4G""","=""9/2""",10,"=""""","=""3.329112""","=""""",
"=""3d5""","=""a 4G""","=""5/2""",6,"=""""","=""3.329943""","=""""",
"=""3d5""","=""a 4G""","=""7/2""",8,"=""""","=""3.330203""","=""""",
"=""3d5""","=""a 4P""","=""5/2""",6,"=""""","=""3.616334""","=""""",
"=""3d5""","=""a 4P""","=""3/2""",4,"=""""","=""3.621244""","=""""",
"=""3d5""","=""a 4P""","=""1/2""",2,"=""""","=""3.625472""","=""""",
"=""3d5""","=""a 4D""","=""7/2""",8,"=""""","=""4.005595""","=""""",
"=""3d5""","=""a 4D""","=""1/2""",2,"=""""","=""4.01323""","=""""",
"=""3d5""","=""a 4D""","=""5/2""",6,"=""""","=""4.015067""","=""""",
"=""3d5""","=""a 4D""","=""3/2""",4,"=""""","=""4.015191""","=""""",
"=""3d5""","=""a 2I""","=""11/2""",12,"=""""","=""4.85701""","=""""",
"=""3d5""","=""a 2I""","=""13/2""",14,"=""""","=""4.85727""","=""""",
"=""3d5""","=""a 2D3""","=""5/2""",6,"=""""","=""5.11287""","=""""",
"=""3d5""","=""a 2D3""","=""3/2""",4,"=""""","=""5.15400""","=""""",
"=""3d5""","=""a 2F1""","=""7/2""",8,"=""""","=""5.28253""","=""""",
"=""3d5""","=""a 2F1""","=""5/2""",6,"=""""","=""5.34439""","=""""",
"=""3d5""","=""a 4F""","=""9/2""",10,"=""""","=""5.402383""","=""""",
"=""3d5""","=""a 4F""","=""7/2""",8,"=""""","=""5.406021""","=""""",
"=""3d5""","=""a 4F""","=""5/2""",6,"=""""","=""5.414246""","=""""",
"=""3d5""","=""a 4F""","=""3/2""",4,"=""""","=""5.41497""","=""""",
"=""3d5""","=""a 2H""","=""9/2""",10,"=""""","=""5.76724""","=""""",
"=""3d5""","=""a 2H""","=""11/2""",12,"=""""","=""5.78643""","=""""",
"=""3d5""","=""a 2G2""","=""7/2""",8,"=""""","=""5.93165""","=""""",
"=""3d5""","=""a 2G2""","=""9/2""",10,"=""""","=""5.95189""","=""""",
"=""3d5""","=""b 2F2""","=""5/2""",6,"=""""","=""6.32353""","=""""",
"=""3d5""","=""b 2F2""","=""7/2""",8,"=""""","=""6.33060""","=""""",
"=""3d5""","=""a 2S""","=""1/2""",2,"=""""","=""6.90316""","=""""",
"=""3d5""","=""b 2D2""","=""3/2""",4,"=""""","=""7.63497""","=""""",
"=""3d5""","=""b 2D2""","=""5/2""",6,"=""""","=""7.63790""","=""""",
"=""3d4.(5D).4s""","=""a 6D""","=""1/2""",2,"=""""","=""7.743680""","=""""",
"=""3d4.(5D).4s""","=""a 6D""","=""3/2""",4,"=""""","=""7.757453""","=""""",
"=""3d4.(5D).4s""","=""a 6D""","=""5/2""",6,"=""""","=""7.779698""","=""""",
"=""3d4.(5D).4s""","=""a 6D""","=""7/2""",8,"=""""","=""7.809631""","=""""",
"=""3d4.(5D).4s""","=""a 6D""","=""9/2""",10,"=""""","=""7.846386""","=""""",
"=""3d5""","=""b 2G1""","=""7/2""",8,"=""""","=""8.541519""","=""""",
"=""3d5""","=""b 2G1""","=""9/2""",10,"=""""","=""8.542412""","=""""",
"=""3d4.(5D).4s""","=""b 4D""","=""1/2""",2,"=""""","=""8.851885""","=""""",
"=""3d4.(5D).4s""","=""b 4D""","=""3/2""",4,"=""""","=""8.872831""","=""""",
"=""3d4.(5D).4s""","=""b 4D""","=""5/2""",6,"=""""","=""8.906030""","=""""",
