Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3p6.3d""","=""2D""","=""3/2""",4,"=""""","=""0.0000""","=""""",
"=""3p6.3d""","=""2D""","=""5/2""",6,"=""""","=""0.1659""","=""""",
"=""3p5.(2P*).3d2.(1G)""","=""2F*""","=""5/2""",6,"=""""","=""48.8793""","=""""",
"=""3p6.4p""","=""2P*""","=""1/2""",2,"=""""","=""49.0522""","=""""",
"=""3p5.(2P*).3d2.(1G)""","=""2F*""","=""7/2""",8,"=""""","=""49.1744""","=""""",
"=""3p6.4p""","=""2P*""","=""3/2""",4,"=""""","=""49.5683""","=""""",
"=""3p5.(2P*).3d2.(1D)""","=""2P*""","=""1/2""",2,"=""""","=""50.1002""","=""""",
"=""3p5.(2P*).3d2.(1D)""","=""2P*""","=""3/2""",4,"=""""","=""50.6194""","=""""",
"=""3p5.(2P*).3d2.(1D)""","=""2F*""","=""7/2""",8,"=""""","=""50.8200""","=""""",
"=""3p5.(2P*).3d2.(1D)""","=""2F*""","=""5/2""",6,"=""""","=""51.9594""","=""""",
"=""3p5.(2P*).3d2.(3F)""","=""2F*""","=""5/2""",6,"=""""","=""60.7418""","=""""",
"=""3p5.(2P*).3d2.(3F)""","=""2F*""","=""7/2""",8,"=""""","=""61.2900""","=""""",
"=""3p5.(2P*).3d2.(3P)""","=""2P*""","=""1/2""",2,"=""""","=""67.1863""","=""""",
"=""3p5.(2P*).3d2.(3P)""","=""2P*""","=""3/2""",4,"=""""","=""67.4898""","=""""",
"=""3p5.(2P*).3d2.(3F)""","=""2D*""","=""5/2""",6,"=""""","=""67.8649""","=""""",
"=""3p5.(2P*).3d2.(3F)""","=""2D*""","=""3/2""",4,"=""""","=""67.9370""","=""""",
"=""3p6.4f""","=""2F*""","=""5/2""",6,"=""""","=""76.3751""","=""""",
"=""3p6.4f""","=""2F*""","=""7/2""",8,"=""""","=""76.3906""","=""""",
"=""3p5.3d.(3P*).4s""","=""2P*""","=""1/2""",2,"=""""","=""86.9364""","=""""",
"=""3p5.3d.(3P*).4s""","=""2P*""","=""3/2""",4,"=""""","=""87.4616""","=""""",
"=""3p5.3d.(3F*).4s""","=""4F*""","=""7/2""",8,"=""""","=""88.0706""","=""""",
"=""3p5.3d.(3F*).4s""","=""4F*""","=""5/2""",6,"=""""","=""88.3563""","=""""",
"=""3p5.3d.(3F*).4s""","=""4F*""","=""3/2""",4,"=""""","=""88.647""","=""""",
"=""3p5.3d.(3F*).4s""","=""2F*""","=""7/2""",8,"=""""","=""88.9830""","=""""",
"=""3p5.3d.(3F*).4s""","=""2F*""","=""5/2""",6,"=""""","=""89.5576""","=""""",
"=""3p5.3d.(3D*).4s""","=""4D*""","=""7/2""",8,"=""""","=""91.2122""","=""""",
"=""3p5.3d.(3D*).4s""","=""4D*""","=""5/2""",6,"=""""","=""91.3978""","=""""",
"=""3p5.3d.(3D*).4s""","=""4D*""","=""3/2""",4,"=""""","=""91.4796""","=""""",
"=""3p5.3d.(3D*).4s""","=""4D*""","=""1/2""",2,"=""""","=""91.5729""","=""""",
"=""3p6.5f""","=""2F*""","=""5/2""",6,"=""""","=""91.5952""","=""""",
"=""3p6.5f""","=""2F*""","=""7/2""",8,"=""""","=""91.6841""","=""""",
"=""3p5.3d.(1F*).4s""","=""2F*""","=""5/2""",6,"=""""","=""91.740""","=""""",
"=""3p5.3d.(1D*).4s""","=""2D*""","=""3/2""",4,"=""""","=""91.8591""","=""""",
"=""3p5.3d.(1D*).4s""","=""2D*""","=""5/2""",6,"=""""","=""92.2599""","=""""",
"=""3p5.3d.(1F*).4s""","=""2F*""","=""7/2""",8,"=""""","=""92.560""","=""""",
"=""3p5.3d.(3D*).4s""","=""2D*""","=""3/2""",4,"=""""","=""92.7776""","=""""",
"=""3p5.3d.(3D*).4s""","=""2D*""","=""5/2""",6,"=""""","=""92.9301""","=""""",
"=""3p6.6f""","=""2F*""","=""5/2""",6,"=""""","=""100.157""","=""""",
"=""3p6.6f""","=""2F*""","=""7/2""",8,"=""""","=""100.1588""","=""""",
"=""3p6.7f""","=""2F*""","=""5/2""",6,"=""""","=""105.2560""","=""""",
"=""3p6.7f""","=""2F*""","=""7/2""",8,"=""""","=""105.2569""","=""""",
"=""3p6.8f""","=""2F*""","=""5/2""",6,"=""""","=""108.563""","=""""",
"=""3p6.8f""","=""2F*""","=""7/2""",8,"=""""","=""108.563""","=""""",
"=""3p6.9f""","=""2F*""","=""7/2""",8,"=""""","=""110.808""","=""""",
"=""3p6.9f""","=""2F*""","=""5/2""",6,"=""""","=""110.808""","=""""",
"=""Mn VIII (3p6 1S<0>)""","=""Limit""","=""---""",,"=""""","=""119.203""","=""""",
