Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d2.(1G).4p""","=""2G*""","=""7/2""",8,"=""""","=""32.92764""","=""""",
"=""3d2.(1G).4p""","=""2G*""","=""9/2""",10,"=""""","=""32.94682""","=""""",
"=""3d2.(3P).4p""","=""2D*""","=""5/2""",6,"=""""","=""33.47020""","=""""",
"=""3d2.(3P).4p""","=""2D*""","=""3/2""",4,"=""""","=""33.47180""","=""""",
"=""3d2.(1G).4p""","=""2H*""","=""9/2""",10,"=""""","=""33.66104""","=""""",
"=""3d2.(1G).4p""","=""2H*""","=""11/2""",12,"=""""","=""33.80310""","=""""",
"=""3d2.(3P).4p""","=""2P*""","=""1/2""",2,"=""""","=""33.84557""","=""""",
"=""3d2.(3P).4p""","=""2P*""","=""3/2""",4,"=""""","=""33.87401""","=""""",
"=""3d2.(1G).4p""","=""2F*""","=""7/2""",8,"=""""","=""34.29304""","=""""",
"=""3d2.(1G).4p""","=""2F*""","=""5/2""",6,"=""""","=""34.39298""","=""""",
"=""3d2.(1S).4p""","=""2P*""","=""1/2""",2,"=""""","=""37.6546""","=""""",
"=""3d2.(1S).4p""","=""2P*""","=""3/2""",4,"=""""","=""37.84585""","=""""",
"=""3d2.(3F).4d""","=""4H""","=""7/2""",8,"=""""","=""41.91375""","=""""",
"=""3d2.(3F).4d""","=""4H""","=""9/2""",10,"=""""","=""41.97918""","=""""",
"=""3d2.(3F).4d""","=""4H""","=""11/2""",12,"=""""","=""42.05116""","=""""",
"=""3d2.(3F).4d""","=""4H""","=""13/2""",14,"=""""","=""42.12302""","=""""",
"=""Mn VI (3d2 3F<2>)""","=""Limit""","=""---""",,"=""[""","=""72.41""","=""]""",
