 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
     76  7  6  111   8 2s2 2p 6s       -1.43343E-01  2.03441E+00  3.0
     77  7  6  110   4 2s2 2p 6p       -1.33243E-01  2.04451E+00  3.0
     78  7  6  511   1 2s2p2(4PE) 3p   -1.32260E-01  2.04549E+00 15.0
     79  7  6  320   6 2s2 2p 6p       -1.32093E-01  2.04566E+00 15.0
     80  7  6  300   4 2s2 2p 6p       -1.30608E-01  2.04714E+00  3.0
     81  7  6  310   7 2s2 2p 6p       -1.26550E-01  2.05120E+00  9.0
     82  7  6  120   7 2s2 2p 6p       -1.26009E-01  2.05174E+00  5.0
     83  7  6  100   5 2s2 2p 6p       -1.21993E-01  2.05576E+00  1.0
     84  7  6  331   5 2s2 2p 6d       -1.15609E-01  2.06214E+00 21.0
     85  7  6  121   5 2s2 2p 6d       -1.15014E-01  2.06274E+00  5.0
     86  7  6  321   5 2s2 2p 6d       -1.14697E-01  2.06305E+00 15.0
     87  7  6  311   9 2s2 2p 6d       -1.13330E-01  2.06442E+00  9.0
     88  7  6  130   3 2s2 2p 6f       -1.11930E-01  2.06582E+00  7.0
     89  7  6  330   3 2s2 2p 6f       -1.11893E-01  2.06586E+00 21.0
     90  7  6  131   5 2s2 2p 6d       -1.11655E-01  2.06610E+00  7.0
     91  7  6  340   3 2s2 2p 6f       -1.11344E-01  2.06641E+00 27.0
     92  7  6  140   3 2s2 2p 6f       -1.11209E-01  2.06654E+00  9.0
     93  7  6  141   2 2s2 2p 6g       -1.11194E-01  2.06656E+00  9.0
     94  7  6  341   2 2s2 2p 6g       -1.11193E-01  2.06656E+00 27.0
     95  7  6  351   2 2s2 2p 6g       -1.11116E-01  2.06663E+00 33.0
     96  7  6  151   2 2s2 2p 6g       -1.11115E-01  2.06664E+00 11.0
     97  7  6  350   1 2s2 2p 6h       -1.11114E-01  2.06664E+00 33.0
     98  7  6  150   1 2s2 2p 6h       -1.11114E-01  2.06664E+00 11.0
     99  7  6  160   1 2s2 2p 6h       -1.11112E-01  2.06664E+00 13.0
    100  7  6  360   1 2s2 2p 6h       -1.11112E-01  2.06664E+00 39.0
    101  7  6  320   7 2s2 2p 6f       -1.11111E-01  2.06664E+00 15.0
    102  7  6  340   4 2s2 2p 6h       -1.11109E-01  2.06664E+00 27.0
    103  7  6  140   4 2s2 2p 6h       -1.11104E-01  2.06665E+00  9.0
