ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""1540.272""","=""""","=""""",,"=""27.43781""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,4,,
"=""1546.664""","=""""","=""""",,"=""27.43781""","=""35.454050""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",4,2,,
"=""1554.514""","=""""","=""""",,"=""27.47830""","=""35.454050""","=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",2,2,,
"=""1559.851""","=""""","=""""",,"=""28.03813""","=""35.98660""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",6,4,,
"=""1570.162""","=""""","=""""",,"=""28.03813""","=""35.934402""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",6,6,,
"=""1626.807""","=""""","=""""",,"=""27.86599""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,4,,
"=""1633.939""","=""""","=""""",,"=""27.86599""","=""35.454050""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",4,2,,
"=""1650.029""","=""""","=""""",,"=""28.03813""","=""35.552196""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,6,,
"=""1687.149""","=""""","=""""",,"=""30.57797""","=""37.926717""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",6,4,,
"=""1689.206""","=""""","=""""",,"=""30.57797""","=""37.917765""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""",6,6,,
"=""1692.339""","=""""","=""""",,"=""30.59156""","=""37.917765""","=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""",8,6,,
"=""1746.679""","=""""","=""""",,"=""30.59156""","=""37.68984""","=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""",8,8,,
"=""1753.236""","=""""","=""""",,"=""30.57797""","=""37.64971""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""",6,6,,
"=""1756.611""","=""""","=""""",,"=""30.59156""","=""37.64971""","=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""",8,6,,
"=""2007.556""","=""""","=""""",,"=""31.75084""","=""37.926717""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",2,4,,
"=""2059.477""","=""""","=""""",,"=""31.906537""","=""37.926717""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",4,4,,
"=""2062.544""","=""""","=""""",,"=""31.906537""","=""37.917765""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""",4,6,,
"=""2407.967""","=""""","=""""",,"=""31.022731""","=""36.171646""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",2,4,,
"=""2448.470""","=""""","=""""",,"=""31.107903""","=""36.171646""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",4,4,,
"=""2453.329""","=""""","=""""",,"=""31.107903""","=""36.16162""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",4,6,,
"=""2497.733""","=""""","=""""",,"=""31.022731""","=""35.98660""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",2,4,,
"=""2514.038""","=""""","=""""",,"=""31.239970""","=""36.171646""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",6,4,,
"=""2517.98""","=""""","=""""",,"=""31.75084""","=""36.67480""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",2,4,,
"=""2519.161""","=""""","=""""",,"=""31.239970""","=""36.16162""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",6,6,,
"=""2526.38""","=""""","=""""",,"=""31.75084""","=""36.65843""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",2,2,,
"=""2541.339""","=""""","=""""",,"=""31.107903""","=""35.98660""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",4,4,,
"=""2562.874""","=""1.4e+08""","=""2.8e-01""",D,"=""31.022731""","=""35.860433""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",2,4,,
"=""2568.823""","=""1.0e+08""","=""1.5e-01""",D,"=""31.107903""","=""35.934402""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",4,6,,
"=""2570.22""","=""5.7e+07""","=""5.6e-02""",E,"=""31.022731""","=""35.84660""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",2,2,,
"=""2600.197""","=""""","=""""",,"=""31.906537""","=""36.67480""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",4,4,,
"=""2608.804""","=""4.3e+07""","=""4.4e-02""",E,"=""31.107903""","=""35.860433""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",4,4,,
"=""2609.15""","=""""","=""""",,"=""31.906537""","=""36.65843""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",4,2,,
"=""2612.047""","=""""","=""""",,"=""31.239970""","=""35.98660""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",6,4,,
"=""2616.42""","=""2.7e+08""","=""1.4e-01""",D,"=""31.107903""","=""35.84660""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",4,2,,
"=""2620.66""","=""""","=""""",,"=""33.19569""","=""37.926717""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",6,4,,
"=""2622.084""","=""""","=""""",,"=""33.19826""","=""37.926717""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",4,4,,
"=""2625.63""","=""""","=""""",,"=""33.19569""","=""37.917765""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""",6,6,,
"=""2627.058""","=""""","=""""",,"=""33.19826""","=""37.917765""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""",4,6,,
"=""2641.090""","=""2.2e+08""","=""2.3e-01""",D,"=""31.239970""","=""35.934402""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",6,6,,
"=""2683.372""","=""1.4e+08""","=""1.0e-01""",D,"=""31.239970""","=""35.860433""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",6,4,,
"=""2758.79""","=""2.8e+08""","=""4.3e-01""",D,"=""33.19569""","=""37.68984""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""",6,8,,
"=""2777.060""","=""1.1e+08""","=""2.5e-01""",D,"=""31.022731""","=""35.487315""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",2,4,,
"=""2783.65""","=""1.8e+07""","=""2.1e-02""",E,"=""33.19569""","=""37.64971""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""",6,6,,
"=""2785.25""","=""2.5e+08""","=""4.4e-01""",D,"=""33.19826""","=""37.64971""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""",4,6,,
"=""2789.740""","=""1.9e+08""","=""3.3e-01""",D,"=""31.107903""","=""35.552196""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",4,6,,
"=""2797.907""","=""2.2e+08""","=""2.6e-01""",D,"=""31.022731""","=""35.454050""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",2,2,,
"=""2810.30""","=""2.6e+08""","=""4.1e-01""",D,"=""31.239970""","=""35.65176""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",6,8,,
"=""2831.070""","=""1.4e+08""","=""1.7e-01""",D,"=""31.107903""","=""35.487315""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,4,,
"=""2852.738""","=""4.1e+07""","=""2.5e-02""",E,"=""31.107903""","=""35.454050""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""",4,2,,
"=""2854.50""","=""2.55e+00""","=""""",C,"=""0.00000""","=""4.343464""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",4,4,M1,
"=""2854.50""","=""1.6e-05""","=""""",D,"=""0.00000""","=""4.343464""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",4,4,E2,
"=""2869.06""","=""1.2e-04""","=""""",D,"=""0.00000""","=""4.321420""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",4,2,E2,
"=""2869.06""","=""9.7e-01""","=""""",C,"=""0.00000""","=""4.321420""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",4,2,M1,
"=""2875.178""","=""7.3e+07""","=""9.0e-02""",D,"=""31.239970""","=""35.552196""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""",6,6,,
"=""2913.79""","=""2.5e+08""","=""4.8e-01""",D,"=""31.906537""","=""36.16162""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",4,6,,
"=""2919.099""","=""1.3e+07""","=""1.1e-02""",E,"=""31.239970""","=""35.487315""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",6,4,,
"=""2927.08""","=""2.0e+08""","=""5.1e-01""",D,"=""31.75084""","=""35.98660""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",2,4,,
"=""3016.95""","=""""","=""""",,"=""31.75084""","=""35.860433""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",2,4,,
"=""3038.78""","=""3.6e+07""","=""5.0e-02""",E,"=""31.906537""","=""35.98660""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",4,4,,
"=""3078.162""","=""""","=""""",,"=""31.906537""","=""35.934402""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",4,6,,
"=""3135.75""","=""""","=""""",,"=""31.906537""","=""35.860433""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",4,4,,
"=""4712.58""","=""9.6e-03""","=""""",D,"=""0.00000""","=""2.63092""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""5/2""",4,6,M1+E2,
"=""4741.45""","=""7.2e-02""","=""""",C,"=""0.00000""","=""2.61490""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""3/2""",4,4,M1,
"=""4741.45""","=""5.1e-03""","=""""",D,"=""0.00000""","=""2.61490""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""3/2""",4,4,E2,
"=""7172.67""","=""8.1e-01""","=""""",C,"=""2.61490""","=""4.343464""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",4,4,M1,
"=""7172.67""","=""9.8e-02""","=""""",C,"=""2.61490""","=""4.343464""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",4,4,E2,
"=""7239.77""","=""2.26e-01""","=""""",C,"=""2.63092""","=""4.343464""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""3/2""",6,4,E2,
"=""7239.77""","=""4.44e-01""","=""""",C,"=""2.63092""","=""4.343464""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""3/2""",6,4,M1,
"=""7265.33""","=""1.90e-01""","=""""",C,"=""2.61490""","=""4.321420""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",4,2,E2,
"=""7265.33""","=""4.88e-01""","=""""",C,"=""2.61490""","=""4.321420""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",4,2,M1,
"=""7334.17""","=""1.22e-01""","=""""",C,"=""2.63092""","=""4.321420""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""1/2""",6,2,E2,
