ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""656.318""","=""""","=""""",,"=""4.343464""","=""23.23433""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""",4,4,,
"=""667.1960""","=""""","=""""",,"=""18.09192""","=""36.67480""","=""3s.3p4""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",4,4,,
"=""667.5443""","=""""","=""""",,"=""18.10162""","=""36.67480""","=""3s.3p4""","=""2D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",6,4,,
"=""667.7841""","=""""","=""""",,"=""18.09192""","=""36.65843""","=""3s.3p4""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",4,2,,
"=""683.2748""","=""""","=""""",,"=""2.61490""","=""20.76048""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""",4,2,,
"=""684.9343""","=""""","=""""",,"=""4.343464""","=""22.44508""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""",4,6,,
"=""684.9343""","=""""","=""""",,"=""0.00000""","=""18.10162""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""2D""","=""5/2""",4,6,,
"=""688.3933""","=""""","=""""",,"=""2.61490""","=""20.62556""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""",4,4,,
"=""689.0061""","=""""","=""""",,"=""2.63092""","=""20.62556""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""",6,4,,
"=""692.8552""","=""""","=""""",,"=""18.09192""","=""35.98660""","=""3s.3p4""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",4,4,,
"=""699.4088""","=""""","=""""",,"=""4.321420""","=""22.04842""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s.3p4""","=""2S""","=""1/2""",2,2,,
"=""700.2796""","=""""","=""""",,"=""4.343464""","=""22.04842""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s.3p4""","=""2S""","=""1/2""",4,2,,
"=""712.7416""","=""""","=""""",,"=""18.09192""","=""35.487315""","=""3s.3p4""","=""2D""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",4,4,,
"=""713.1391""","=""""","=""""",,"=""18.10162""","=""35.487315""","=""3s.3p4""","=""2D""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",6,4,,
"=""754.2047""","=""""","=""""",,"=""4.321420""","=""20.76048""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""",2,2,,
"=""755.2174""","=""""","=""""",,"=""4.343464""","=""20.76048""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""",4,2,,
"=""760.4459""","=""""","=""""",,"=""4.321420""","=""20.62556""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""",2,4,,
"=""761.4754""","=""""","=""""",,"=""4.343464""","=""20.62556""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""",4,4,,
"=""772.524""","=""""","=""""",,"=""20.62556""","=""36.67480""","=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",4,4,,
"=""773.313""","=""""","=""""",,"=""20.62556""","=""36.65843""","=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",4,2,,
"=""800.584""","=""""","=""""",,"=""2.61490""","=""18.10162""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s.3p4""","=""2D""","=""5/2""",4,6,,
"=""801.086""","=""""","=""""",,"=""2.61490""","=""18.09192""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s.3p4""","=""2D""","=""3/2""",4,4,,
"=""801.413""","=""""","=""""",,"=""2.63092""","=""18.10162""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s.3p4""","=""2D""","=""5/2""",6,6,,
"=""801.916""","=""""","=""""",,"=""2.63092""","=""18.09192""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s.3p4""","=""2D""","=""3/2""",6,4,,
"=""807.134""","=""""","=""""",,"=""20.62556""","=""35.98660""","=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",4,4,,
"=""814.286""","=""""","=""""",,"=""20.76048""","=""35.98660""","=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",2,4,,
"=""816.621""","=""""","=""""",,"=""22.50726""","=""37.68984""","=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""",8,8,,
"=""840.032""","=""2.73e+08""","=""1.44e-02""",C,"=""0.00000""","=""14.75946""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""4P""","=""1/2""",4,2,,
"=""841.893""","=""""","=""""",,"=""20.76048""","=""35.487315""","=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""",2,4,,
"=""843.105""","=""""","=""""",,"=""23.22105""","=""37.926717""","=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",2,4,,
"=""843.770""","=""2.70e+08""","=""2.88e-02""",C,"=""0.00000""","=""14.69407""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""4P""","=""3/2""",4,4,,
"=""846.896""","=""""","=""""",,"=""23.28687""","=""37.926717""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",6,4,,
"=""847.414""","=""""","=""""",,"=""23.28687""","=""37.917765""","=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""",6,6,,
