Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""4s2.4p4""","=""3P""","=""2""",5,"=""""","=""0.00000""","=""""",
"=""4s2.4p4""","=""3P""","=""1""",3,"=""""","=""0.56393""","=""""",
"=""4s2.4p4""","=""3P""","=""0""",1,"=""""","=""0.65872""","=""""",
"=""4s2.4p4""","=""1D""","=""2""",5,"=""""","=""1.81566""","=""""",
"=""4s2.4p4""","=""1S""","=""0""",1,"=""""","=""4.10135""","=""""",
"=""4s.4p5""","=""3P*""","=""2""",5,"=""""","=""14.373603""","=""""",
"=""4s.4p5""","=""3P*""","=""1""",3,"=""""","=""14.801262""","=""""",
"=""4s.4p5""","=""3P*""","=""0""",1,"=""""","=""15.069406""","=""""",
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""0""",1,"=""""","=""17.165202""","=""""",
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""1""",3,"=""""","=""17.168212""","=""""",
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""2""",5,"=""""","=""17.169406""","=""""",
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""3""",7,"=""""","=""17.170888""","=""""",
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""4""",9,"=""""","=""17.190304""","=""""",
"=""4s.4p5""","=""1P*""","=""1""",3,"=""""","=""17.590402""","=""""",
"=""4s2.4p3.(4S*).5s""","=""5S*""","=""2""",5,"=""""","=""18.066837""","=""""",
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""2""",5,"=""""","=""18.325429""","=""""",
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""3""",7,"=""""","=""18.440829""","=""""",
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""1""",3,"=""""","=""18.482554""","=""""",
"=""4s2.4p3.(4S*).5s""","=""3S*""","=""1""",3,"=""""","=""18.793548""","=""""",
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""2""",5,"=""""","=""19.039410""","=""""",
"=""4s2.4p3.(2D*).4d""","=""1S*""","=""0""",1,"=""""","=""19.143124""","=""""",
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""3""",7,"=""""","=""19.180338""","=""""",
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""4""",9,"=""""","=""19.351697""","=""""",
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""3""",7,"=""""","=""19.837029""","=""""",
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""4""",9,"=""""","=""19.888908""","=""""",
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""5""",11,"=""""","=""19.974922""","=""""",
"=""4s2.4p3.(2D*).4d""","=""1G*""","=""4""",9,"=""""","=""20.189717""","=""""",
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""1""",3,"=""""","=""20.242766""","=""""",
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""2""",5,"=""""","=""20.288258""","=""""",
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""3""",7,"=""""","=""20.464020""","=""""",
"=""4s2.4p3.(2P*).4d""","=""1D*""","=""2""",5,"=""""","=""20.514847""","=""""",
