Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""4s2.4p3""","=""4S*""","=""3/2""",4,"=""""","=""0.00000""","=""""",
"=""4s2.4p3""","=""2D*""","=""3/2""",4,"=""""","=""2.11239""","=""""",
"=""4s2.4p3""","=""2D*""","=""5/2""",6,"=""""","=""2.31854""","=""""",
"=""4s2.4p3""","=""2P*""","=""1/2""",2,"=""""","=""3.85050""","=""""",
"=""4s2.4p3""","=""2P*""","=""3/2""",4,"=""""","=""4.14177""","=""""",
"=""4s.4p4""","=""4P""","=""5/2""",6,"=""""","=""14.72455""","=""""",
"=""4s.4p4""","=""4P""","=""3/2""",4,"=""""","=""15.17895""","=""""",
"=""4s.4p4""","=""4P""","=""1/2""",2,"=""""","=""15.38764""","=""""",
"=""4s.4p4""","=""2D""","=""3/2""",4,"=""""","=""18.07352""","=""""",
"=""4s.4p4""","=""2D""","=""5/2""",6,"=""""","=""18.18163""","=""""",
"=""4s2.4p2.(3P).4d""","=""2P""","=""3/2""",4,"=""""","=""20.26461""","=""""",
"=""4s.4p4""","=""2P""","=""1/2""",2,"=""""","=""20.60133""","=""""",
"=""4s2.4p2.(3P).4d""","=""4F""","=""3/2""",4,"=""""","=""21.41505""","=""""",
"=""4s.4p4""","=""2S""","=""1/2""",2,"=""""","=""21.56731""","=""""",
"=""4s2.4p2.(3P).4d""","=""4F""","=""5/2""",6,"=""""","=""21.58636""","=""""",
"=""4s2.4p2.(3P).4d""","=""4F""","=""7/2""",8,"=""""","=""21.84986""","=""""",
"=""4s2.4p2.(3P).4d""","=""4F""","=""9/2""",10,"=""""","=""22.17792""","=""""",
"=""4s2.4p2.(1D).4d""","=""2F""","=""5/2""",6,"=""""","=""22.22148""","=""""",
"=""4s2.4p2.(3P).4d""","=""4D""","=""1/2""",2,"=""""","=""22.40230""","=""""",
"=""4s2.4p2.(3P).4d""","=""4D""","=""7/2""",8,"=""""","=""22.41193""","=""""",
"=""4s2.4p2.(3P).4d""","=""4D""","=""3/2""",4,"=""""","=""22.44120""","=""""",
"=""4s2.4p2.(3P).4d""","=""4D""","=""5/2""",6,"=""""","=""22.64800""","=""""",
"=""4s2.4p2.(1D).4d""","=""2F""","=""7/2""",8,"=""""","=""23.13119""","=""""",
"=""4s2.4p2.(3P).4d""","=""4P""","=""5/2""",6,"=""""","=""24.97342""","=""""",
"=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""",2,"=""""","=""25.09109""","=""""",
"=""4s2.4p2.(3P).4d""","=""4P""","=""1/2""",2,"=""""","=""25.38395""","=""""",
"=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""",4,"=""""","=""25.44336""","=""""",
"=""4s.4p4""","=""2P""","=""3/2""",4,"=""""","=""25.46630""","=""""",
"=""4s2.4p2.(3P).4d""","=""2D""","=""3/2""",4,"=""""","=""25.73855""","=""""",
"=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""",6,"=""""","=""25.79666""","=""""",
"=""4s2.4p2.(3P).5s""","=""2P""","=""1/2""",2,"=""""","=""25.9028""","=""""",
"=""4s2.4p2.(1D).4d""","=""2P""","=""1/2""",2,"=""""","=""26.07979""","=""""",
"=""4s2.4p2.(3P).5s""","=""2P""","=""3/2""",4,"=""""","=""26.24566""","=""""",
"=""4s2.4p2.(3P).4d""","=""2D""","=""5/2""",6,"=""""","=""26.26733""","=""""",
"=""4s2.4p2.(1D).4d""","=""2D""","=""5/2""",6,"=""""","=""26.95622""","=""""",
"=""4s2.4p2.(1D).4d""","=""2D""","=""3/2""",4,"=""""","=""26.97383""","=""""",
"=""4s2.4p2.(3P).4d""","=""2F""","=""5/2""",6,"=""""","=""27.27510""","=""""",
"=""4s2.4p2.(3P).4d""","=""2F""","=""7/2""",8,"=""""","=""27.42338""","=""""",
"=""4s2.4p2.(1D).5s""","=""2D""","=""3/2""",4,"=""""","=""27.65264""","=""""",
"=""4s2.4p2.(1D).5s""","=""2D""","=""5/2""",6,"=""""","=""27.68728""","=""""",
"=""4s2.4p2.(1D).4d""","=""2P""","=""3/2""",4,"=""""","=""27.93141""","=""""",
"=""4s2.4p2.(1S).4d""","=""2D""","=""5/2""",6,"=""""","=""28.7569""","=""""",
"=""4s2.4p2.(1S).4d""","=""2D""","=""3/2""",4,"=""""","=""28.86444""","=""""",
"=""4s2.4p2.(3P).5p""","=""2S*""","=""1/2""",2,"=""""","=""29.11495""","=""""",
"=""4s2.4p2.(3P).5p""","=""4D*""","=""1/2""",2,"=""""","=""29.43944""","=""""",
"=""4s2.4p2.(3P).5p""","=""4D*""","=""3/2""",4,"=""""","=""29.54164""","=""""",
"=""4s2.4p2.(3P).5p""","=""4D*""","=""5/2""",6,"=""""","=""29.91015""","=""""",
"=""4s2.4p2.(3P).5p""","=""4P*""","=""3/2""",4,"=""""","=""29.97970""","=""""",
"=""4s2.4p2.(3P).5p""","=""4P*""","=""1/2""",2,"=""""","=""30.19848""","=""""",
"=""4s2.4p2.(3P).5p""","=""2D*""","=""3/2""",4,"=""""","=""30.23960""","=""""",
"=""4s2.4p2.(3P).5p""","=""4D*""","=""7/2""",8,"=""""","=""30.30714""","=""""",
"=""4s2.4p2.(3P).5p""","=""4P*""","=""5/2""",6,"=""""","=""30.30991""","=""""",
"=""4s2.4p2.(3P).5p""","=""4S*""","=""3/2""",4,"=""""","=""30.57610""","=""""",
"=""4s2.4p2.(3P).5p""","=""2D*""","=""5/2""",6,"=""""","=""30.89763""","=""""",
"=""4s2.4p2.(3P).5p""","=""2P*""","=""3/2""",4,"=""""","=""31.01760""","=""""",
"=""4s2.4p2.(3P).5p""","=""2P*""","=""1/2""",2,"=""""","=""31.10723""","=""""",
"=""4s2.4p2.(1D).5p""","=""2F*""","=""5/2""",6,"=""""","=""31.88163""","=""""",
"=""4s2.4p2.(1D).5p""","=""2D*""","=""3/2""",4,"=""""","=""32.03199""","=""""",
"=""4s2.4p2.(1D).5p""","=""2F*""","=""7/2""",8,"=""""","=""32.05111""","=""""",
"=""4s2.4p2.(1D).5p""","=""2D*""","=""5/2""",6,"=""""","=""32.08255""","=""""",
"=""4s2.4p2.(1D).5p""","=""2P*""","=""1/2""",2,"=""""","=""32.62769""","=""""",
"=""4s2.4p2.(1D).5p""","=""2P*""","=""3/2""",4,"=""""","=""32.91128""","=""""",
"=""4s2.4p2.(1S).5p""","=""2P*""","=""3/2""",4,"=""""","=""34.58754""","=""""",
"=""4s2.4p2.(3P).5d""","=""4F""","=""3/2""",4,"=""""","=""36.03060""","=""""",
"=""4s2.4p2.(3P).5d""","=""4F""","=""7/2""",8,"=""""","=""36.49688""","=""""",
"=""4s2.4p2.(3P).5d""","=""2P""","=""3/2""",4,"=""""","=""36.52975""","=""""",
"=""4s2.4p2.(3P).5d""","=""4D""","=""1/2""",2,"=""""","=""36.60859""","=""""",
"=""4s2.4p2.(3P).6s""","=""4P""","=""1/2""",2,"=""""","=""36.78776""","=""""",
"=""4s2.4p2.(3P).5d""","=""2F""","=""5/2""",6,"=""""","=""36.81765""","=""""",
"=""4s2.4p2.(3P).5d""","=""4D""","=""7/2""",8,"=""""","=""36.95379""","=""""",
"=""4s2.4p2.(3P).5d""","=""4P""","=""3/2""",4,"=""""","=""37.10299""","=""""",
"=""4s2.4p2.(3P).6s""","=""4P""","=""3/2""",4,"=""""","=""37.18933""","=""""",
"=""4s2.4p2.(3P).6s""","=""2P""","=""1/2""",2,"=""""","=""37.30677""","=""""",
"=""4s2.4p2.(3P).5d""","=""2F""","=""7/2""",8,"=""""","=""37.41800""","=""""",
"=""4s2.4p2.(3P).6s""","=""4P""","=""5/2""",6,"=""""","=""37.59589""","=""""",
"=""4s2.4p2.(3P).6s""","=""2P""","=""3/2""",4,"=""""","=""37.75861""","=""""",
"=""4s2.4p2.(1D).6s""","=""2D""","=""5/2""",6,"=""""","=""39.15447""","=""""",
"=""4s2.4p2.(1D).6s""","=""2D""","=""3/2""",4,"=""""","=""39.16573""","=""""",
"=""Kr V (4p2 3P<0>)""","=""Limit""","=""---""",,"=""""","=""50.85""","=""""",
