Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""4s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""0.0000""","=""""",
"=""4s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""1.0055""","=""""",
"=""4s.4p2""","=""4P""","=""1/2""",2,"=""""","=""13.3700""","=""""",
"=""4s.4p2""","=""4P""","=""3/2""",4,"=""""","=""13.7862""","=""""",
"=""4s.4p2""","=""4P""","=""5/2""",6,"=""""","=""14.3176""","=""""",
"=""4s.4p2""","=""2D""","=""3/2""",4,"=""""","=""17.5651""","=""""",
"=""4s.4p2""","=""2D""","=""5/2""",6,"=""""","=""17.6959""","=""""",
"=""4s.4p2""","=""2S""","=""1/2""",2,"=""""","=""21.0877""","=""""",
"=""4s.4p2""","=""2P""","=""1/2""",2,"=""""","=""22.3592""","=""""",
"=""4s.4p2""","=""2P""","=""3/2""",4,"=""""","=""22.7904""","=""""",
"=""4s2.4d""","=""2D""","=""3/2""",4,"=""""","=""27.5396""","=""""",
"=""4s2.4d""","=""2D""","=""5/2""",6,"=""""","=""27.6534""","=""""",
"=""4s2.5s""","=""2S""","=""1/2""",2,"=""""","=""34.1428""","=""""",
"=""4p3""","=""2D*""","=""3/2""",4,"=""""","=""34.2210""","=""""",
"=""4p3""","=""2D*""","=""5/2""",6,"=""""","=""34.4753""","=""""",
"=""4p3""","=""4S*""","=""3/2""",4,"=""""","=""34.5652""","=""""",
"=""4p3""","=""2P*""","=""1/2""",2,"=""""","=""37.6536""","=""""",
"=""4p3""","=""2P*""","=""3/2""",4,"=""""","=""37.8629""","=""""",
"=""4s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""40.1858""","=""""",
"=""4s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""40.5003""","=""""",
"=""4s.4p.(3P*).4d""","=""4P*""","=""5/2""",6,"=""""","=""41.1573""","=""""",
"=""4s.4p.(3P*).4d""","=""4D*""","=""3/2""",4,"=""""","=""41.3032""","=""""",
"=""4s.4p.(3P*).4d""","=""4D*""","=""1/2""",2,"=""""","=""41.4028""","=""""",
"=""4s.4p.(3P*).4d""","=""4P*""","=""1/2""",2,"=""""","=""41.9106""","=""""",
"=""4s.4p.(3P*).4d""","=""4D*""","=""7/2""",8,"=""""","=""41.9214""","=""""",
"=""4s.4p.(3P*).4d""","=""4P*""","=""3/2""",4,"=""""","=""41.9518""","=""""",
"=""4s.4p.(3P*).4d""","=""4D*""","=""5/2""",6,"=""""","=""41.9621""","=""""",
"=""4s.4p.(3P*).4d""","=""2D*""","=""3/2""",4,"=""""","=""42.5501""","=""""",
"=""4s.4p.(3P*).4d""","=""2D*""","=""5/2""",6,"=""""","=""42.5892""","=""""",
"=""4s.4p.(3P*).4d""","=""2F*""","=""5/2""",6,"=""""","=""43.7103""","=""""",
"=""4s.4p.(3P*).4d""","=""2F*""","=""7/2""",8,"=""""","=""44.5147""","=""""",
"=""4s.4p.(3P*).4d""","=""2P*""","=""3/2""",4,"=""""","=""46.4047""","=""""",
"=""4s.4p.(3P*).4d""","=""2P*""","=""1/2""",2,"=""""","=""46.7737""","=""""",
"=""4s.4p.(1P*).4d""","=""2D*""","=""3/2""",4,"=""""","=""48.4276""","=""""",
"=""4s.4p.(1P*).4d""","=""2D*""","=""5/2""",6,"=""""","=""48.5867""","=""""",
"=""4s.4p.(1P*).4d""","=""2P*""","=""3/2""",4,"=""""","=""48.7280""","=""""",
"=""4s.4p.(3P*).5s""","=""4P*""","=""3/2""",4,"=""""","=""48.9511""","=""""",
"=""4s.4p.(1P*).4d""","=""2F*""","=""7/2""",8,"=""""","=""49.4298""","=""""",
"=""4s.4p.(1P*).4d""","=""2F*""","=""5/2""",6,"=""""","=""49.5440""","=""""",
"=""4s.4p.(3P*).5s""","=""4P*""","=""5/2""",6,"=""""","=""49.5478""","=""""",
"=""4s.4p.(3P*).5s""","=""2P*""","=""1/2""",2,"=""""","=""50.0197""","=""""",
"=""4s.4p.(3P*).5s""","=""2P*""","=""3/2""",4,"=""""","=""50.6500""","=""""",
"=""4s.4p.(1P*).5s""","=""2P*""","=""1/2""",2,"=""""","=""54.8142""","=""""",
"=""4s.4p.(1P*).5s""","=""2P*""","=""3/2""",4,"=""""","=""54.9468""","=""""",
"=""Kr VII (4s2 1S<0>)""","=""Limit""","=""---""",,"=""[""","=""78.49""","=""]""",
