   hvEV     ShapeJV   ShapeJVTD  ShaJVTD10  ShaJVTD10i   KappaD
 1719.293  .8047E-03  .8384E-03  .1390E-04  .1429E-04    .0003
 1719.480  .8196E-03  .8554E-03  .1447E-04  .1488E-04    .0003
 1719.667  .8368E-03  .8728E-03  .1507E-04  .1550E-04    .0003
 1719.854  .8503E-03  .8908E-03  .1570E-04  .1615E-04    .0003
 1720.041  .8625E-03  .9094E-03  .1636E-04  .1684E-04    .0003
 1720.228  .8754E-03  .9285E-03  .1705E-04  .1756E-04    .0003
 1720.415  .9027E-03  .9482E-03  .1778E-04  .1832E-04    .0003
 1720.602  .9212E-03  .9685E-03  .1855E-04  .1912E-04    .0003
 1720.789  .9595E-03  .9894E-03  .1936E-04  .1996E-04    .0003
 1720.976  .9685E-03  .1011E-02  .2021E-04  .2085E-04    .0003
 1721.163  .1008E-02  .1033E-02  .2111E-04  .2178E-04    .0003
 1721.350  .1020E-02  .1056E-02  .2205E-04  .2277E-04    .0004
 1721.537  .1049E-02  .1080E-02  .2305E-04  .2380E-04    .0004
 1721.724  .1060E-02  .1104E-02  .2410E-04  .2490E-04    .0004
 1721.912  .1083E-02  .1129E-02  .2520E-04  .2605E-04    .0004
 1722.099  .1130E-02  .1155E-02  .2637E-04  .2726E-04    .0004
 1722.286  .1144E-02  .1181E-02  .2760E-04  .2854E-04    .0004
 1722.473  .1165E-02  .1209E-02  .2889E-04  .2989E-04    .0004
 1722.661  .1199E-02  .1237E-02  .3026E-04  .3132E-04    .0004
 1722.848  .1210E-02  .1266E-02  .3169E-04  .3282E-04    .0004
 1723.035  .1225E-02  .1296E-02  .3321E-04  .3441E-04    .0004
 1723.223  .1274E-02  .1327E-02  .3481E-04  .3608E-04    .0004
 1723.410  .1308E-02  .1359E-02  .3650E-04  .3785E-04    .0005
 1723.597  .1323E-02  .1391E-02  .3829E-04  .3972E-04    .0005
 1723.785  .1356E-02  .1425E-02  .4017E-04  .4169E-04    .0005
 1723.972  .1371E-02  .1460E-02  .4216E-04  .4378E-04    .0005
 1724.160  .1432E-02  .1496E-02  .4427E-04  .4599E-04    .0005
 1724.347  .1483E-02  .1533E-02  .4649E-04  .4833E-04    .0005
 1724.535  .1500E-02  .1572E-02  .4884E-04  .5081E-04    .0005
 1724.722  .1543E-02  .1611E-02  .5133E-04  .5344E-04    .0005
 1724.910  .1588E-02  .1652E-02  .5396E-04  .5622E-04    .0006
 1725.097  .1609E-02  .1694E-02  .5675E-04  .5917E-04    .0006
 1725.285  .1655E-02  .1738E-02  .5970E-04  .6231E-04    .0006
 1725.472  .1693E-02  .1783E-02  .6284E-04  .6564E-04    .0006
 1725.660  .1760E-02  .1829E-02  .6616E-04  .6918E-04    .0006
 1725.848  .1812E-02  .1877E-02  .6970E-04  .7295E-04    .0006
 1726.035  .1845E-02  .1927E-02  .7345E-04  .7696E-04    .0006
 1726.223  .1893E-02  .1979E-02  .7745E-04  .8124E-04    .0007
 1726.411  .1925E-02  .2033E-02  .8170E-04  .8581E-04    .0007
 1726.598  .1975E-02  .2088E-02  .8624E-04  .9069E-04    .0007
 1726.786  .2026E-02  .2146E-02  .9107E-04  .9590E-04    .0007
 1726.974  .2090E-02  .2206E-02  .9624E-04  .1015E-03    .0007
 1727.161  .2136E-02  .2269E-02  .1018E-03  .1074E-03    .0008
 1727.349  .2178E-02  .2333E-02  .1077E-03  .1138E-03    .0008
 1727.537  .2240E-02  .2401E-02  .1140E-03  .1207E-03    .0008
 1727.725  .2295E-02  .2471E-02  .1208E-03  .1281E-03    .0008
 1727.913  .2385E-02  .2545E-02  .1281E-03  .1360E-03    .0009
 1728.101  .2451E-02  .2621E-02  .1359E-03  .1445E-03    .0009
 1728.288  .2502E-02  .2701E-02  .1443E-03  .1537E-03    .0009
 1728.476  .2562E-02  .2785E-02  .1533E-03  .1636E-03    .0009
 1728.664  .2622E-02  .2872E-02  .1630E-03  .1743E-03    .0010
 1728.852  .2708E-02  .2963E-02  .1735E-03  .1858E-03    .0010
 1729.040  .2769E-02  .3058E-02  .1848E-03  .1983E-03    .0010
 1729.228  .2926E-02  .3157E-02  .1971E-03  .2118E-03    .0011
 1729.416  .3009E-02  .3261E-02  .2103E-03  .2264E-03    .0011
 1729.604  .3066E-02  .3370E-02  .2245E-03  .2422E-03    .0011
 1729.792  .3178E-02  .3484E-02  .2400E-03  .2594E-03    .0012
 1729.980  .3291E-02  .3603E-02  .2567E-03  .2781E-03    .0012
 1730.169  .3408E-02  .3729E-02  .2749E-03  .2985E-03    .0012
 1730.357  .3553E-02  .3860E-02  .2946E-03  .3206E-03    .0013
 1730.545  .3684E-02  .3998E-02  .3160E-03  .3448E-03    .0013
 1730.733  .3802E-02  .4143E-02  .3393E-03  .3712E-03    .0014
 1730.921  .3933E-02  .4295E-02  .3647E-03  .4001E-03    .0014
 1731.109  .4092E-02  .4456E-02  .3924E-03  .4317E-03    .0015
 1731.298  .4217E-02  .4624E-02  .4227E-03  .4664E-03    .0015
 1731.486  .4352E-02  .4802E-02  .4558E-03  .5045E-03    .0016
 1731.674  .4484E-02  .4990E-02  .4921E-03  .5464E-03    .0017
 1731.862  .4604E-02  .5187E-02  .5319E-03  .5925E-03    .0017
 1732.051  .4699E-02  .5397E-02  .5756E-03  .6434E-03    .0018
 1732.239  .4895E-02  .5617E-02  .6237E-03  .6995E-03    .0019
 1732.427  .5099E-02  .5851E-02  .6767E-03  .7617E-03    .0020
 1732.616  .5344E-02  .6099E-02  .7351E-03  .8304E-03    .0020
 1732.804  .5534E-02  .6361E-02  .7996E-03  .9068E-03    .0021
 1732.992  .5734E-02  .6639E-02  .8710E-03  .9915E-03    .0022
 1733.181  .5899E-02  .6933E-02  .9500E-03  .1086E-02    .0023
 1733.369  .6210E-02  .7246E-02  .1038E-02  .1191E-02    .0024
 1733.558  .6599E-02  .7579E-02  .1135E-02  .1308E-02    .0025
 1733.746  .6797E-02  .7933E-02  .1243E-02  .1439E-02    .0027
 1733.935  .7031E-02  .8309E-02  .1364E-02  .1585E-02    .0028
 1734.123  .7302E-02  .8710E-02  .1499E-02  .1749E-02    .0029
 1734.312  .7738E-02  .9136E-02  .1649E-02  .1932E-02    .0031
 1734.500  .8261E-02  .9591E-02  .1817E-02  .2138E-02    .0032
 1734.689  .8506E-02  .1008E-01  .2006E-02  .2369E-02    .0034
 1734.878  .8891E-02  .1059E-01  .2217E-02  .2629E-02    .0035
 1735.066  .9225E-02  .1115E-01  .2455E-02  .2921E-02    .0037
 1735.255  .9745E-02  .1174E-01  .2721E-02  .3250E-02    .0039
