   hvEV     ShapeJV   ShapeJVTD  ShaJVTD10  ShaJVTD10i   KappaD
 1772.436  .6376E-03  .6716E-03  .8919E-05  .9152E-05    .0002
 1772.629  .6352E-03  .6594E-03  .8600E-05  .8820E-05    .0002
 1772.821  .6164E-03  .6476E-03  .8295E-05  .8503E-05    .0002
 1773.014  .6065E-03  .6362E-03  .8004E-05  .8200E-05    .0002
 1773.207  .5980E-03  .6250E-03  .7726E-05  .7911E-05    .0002
 1773.400  .5956E-03  .6141E-03  .7460E-05  .7634E-05    .0002
 1773.593  .5861E-03  .6036E-03  .7205E-05  .7370E-05    .0002
 1773.785  .5841E-03  .5933E-03  .6961E-05  .7116E-05    .0002
 1773.978  .5673E-03  .5832E-03  .6727E-05  .6873E-05    .0002
 1774.171  .5584E-03  .5734E-03  .6503E-05  .6641E-05    .0002
 1774.364  .5486E-03  .5638E-03  .6287E-05  .6417E-05    .0002
 1774.557  .5374E-03  .5544E-03  .6080E-05  .6203E-05    .0002
 1774.750  .5461E-03  .5453E-03  .5881E-05  .5997E-05    .0002
 1774.943  .5292E-03  .5363E-03  .5689E-05  .5800E-05    .0002
 1775.136  .5280E-03  .5276E-03  .5505E-05  .5610E-05    .0002
 1775.329  .5216E-03  .5190E-03  .5327E-05  .5427E-05    .0002
 1775.522  .5032E-03  .5106E-03  .5155E-05  .5251E-05    .0002
 1775.715  .4989E-03  .5023E-03  .4990E-05  .5082E-05    .0002
 1775.908  .4939E-03  .4942E-03  .4831E-05  .4919E-05    .0002
 1776.101  .4845E-03  .4863E-03  .4677E-05  .4762E-05    .0002
 1776.294  .4758E-03  .4785E-03  .4529E-05  .4611E-05    .0002
 1776.487  .4632E-03  .4709E-03  .4386E-05  .4465E-05    .0002
 1776.680  .4533E-03  .4634E-03  .4248E-05  .4325E-05    .0002
 1776.874  .4474E-03  .4561E-03  .4115E-05  .4190E-05    .0002
 1777.067  .4358E-03  .4490E-03  .3987E-05  .4060E-05    .0002
 1777.260  .4333E-03  .4420E-03  .3864E-05  .3935E-05    .0001
 1777.453  .4198E-03  .4352E-03  .3746E-05  .3815E-05    .0001
 1777.647  .4081E-03  .4286E-03  .3633E-05  .3699E-05    .0001
 1777.840  .3974E-03  .4221E-03  .3523E-05  .3588E-05    .0001
 1778.033  .3967E-03  .4157E-03  .3419E-05  .3480E-05    .0001
 1778.226  .3931E-03  .4096E-03  .3318E-05  .3377E-05    .0001
 1778.420  .3898E-03  .4036E-03  .3221E-05  .3278E-05    .0001
 1778.613  .3913E-03  .3977E-03  .3129E-05  .3182E-05    .0001
 1778.807  .3769E-03  .3920E-03  .3040E-05  .3090E-05    .0001
 1779.000  .3796E-03  .3865E-03  .2954E-05  .3002E-05    .0001
 1779.193  .3721E-03  .3810E-03  .2872E-05  .2916E-05    .0001
 1779.387  .3678E-03  .3757E-03  .2792E-05  .2833E-05    .0001
 1779.580  .3659E-03  .3706E-03  .2716E-05  .2753E-05    .0001
 1779.774  .3648E-03  .3655E-03  .2642E-05  .2675E-05    .0001
 1779.967  .3598E-03  .3605E-03  .2570E-05  .2599E-05    .0001
 1780.161  .3559E-03  .3556E-03  .2500E-05  .2525E-05    .0001
 1780.354  .3466E-03  .3507E-03  .2432E-05  .2453E-05    .0001
 1780.548  .3398E-03  .3459E-03  .2366E-05  .2382E-05    .0001
 1780.741  .3415E-03  .3410E-03  .2300E-05  .2312E-05    .0001
 1780.935  .3367E-03  .3362E-03  .2236E-05  .2243E-05    .0001
 1781.129  .3280E-03  .3313E-03  .2171E-05  .2174E-05    .0001
 1781.322  .3221E-03  .3264E-03  .2107E-05  .2106E-05    .0001
 1781.516  .3240E-03  .3214E-03  .2043E-05  .2037E-05    .0001
 1781.710  .3152E-03  .3163E-03  .1979E-05  .1969E-05    .0001
 1781.903  .3151E-03  .3110E-03  .1913E-05  .1899E-05    .0001
 1782.097  .3087E-03  .3055E-03  .1846E-05  .1830E-05    .0001
 1782.291  .3044E-03  .2999E-03  .1778E-05  .1759E-05    .0001
 1782.485  .3011E-03  .2939E-03  .1709E-05  .1688E-05    .0001
 1782.679  .3006E-03  .2877E-03  .1637E-05  .1615E-05    .0001
 1782.872  .3001E-03  .2812E-03  .1564E-05  .1542E-05    .0001
 1783.066  .2937E-03  .2743E-03  .1488E-05  .1468E-05    .0001
 1783.260  .2885E-03  .2671E-03  .1411E-05  .1392E-05    .0001
 1783.454  .2892E-03  .2595E-03  .1332E-05  .1317E-05    .0001
 1783.648  .2807E-03  .2515E-03  .1251E-05  .1240E-05    .0001
 1783.842  .2817E-03  .2431E-03  .1169E-05  .1164E-05    .0001
 1784.036  .2784E-03  .2343E-03  .1086E-05  .1087E-05    .0001
 1784.230  .2732E-03  .2251E-03  .1002E-05  .1011E-05    .0001
 1784.424  .2713E-03  .2156E-03  .9192E-06  .9360E-06    .0001
 1784.618  .2668E-03  .2057E-03  .8370E-06  .8621E-06    .0001
 1784.812  .2642E-03  .1956E-03  .7565E-06  .7898E-06    .0001
 1785.006  .2566E-03  .1852E-03  .6783E-06  .7196E-06    .0001
 1785.200  .2539E-03  .1746E-03  .6031E-06  .6518E-06    .0001
 1785.394  .2507E-03  .1639E-03  .5315E-06  .5869E-06    .0001
 1785.588  .2495E-03  .1532E-03  .4641E-06  .5252E-06    .0001
 1785.782  .2507E-03  .1425E-03  .4014E-06  .4669E-06    .0000
