---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations            |     Terms    |         Observed   |           |           Ritz     |           |          |        Ei           Ek        |  gi   gk  |    Aki     |    fik    | Acc. |Type|        TP  |    Line  |
  No.  |                                     |              |        Wavelength/ |   Uncert. |        Wavelength/ |   Uncert. |   Unit   |       (eV)         (eV)       |           |   (s^-1)   |           |      |    |       Ref. |    Ref.  |
       |                                     |              |        Wavenumber  |           |        Wavenumber  |           |          |                               |           |            |           |      |    |            |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                                     |              |         155.6220   |  0.0020   |         155.61732  |  0.00005  | nm (vac) |  17.9641548   -   25.93140430 |   5 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         155.6630   |  0.0020   |         155.66457  |  0.00007  | nm (vac) |  17.963508    -   25.92833862 |   3 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
     9 | 3s2.3p3.(4S*).3d - 3s2.3p3.(2D*).4p |   5D* - 3D   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         124.5760   |  0.0020   |         124.57779  |  0.00005  | nm (vac) |  17.963508    -   27.91585952 |   3 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    10 | 3s2.3p3.(4S*).3d - 3s2.3p3.(2P*).4p |   5D* - 3D   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         104.8200   |  0.0020   |         104.819945 |  0.000022 | nm (vac) |  17.9641548   -   29.79245706 |   5 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         104.8380   |  0.0020   |         104.84257  |  0.00004  | nm (vac) |  17.966708    -   29.79245706 |   9 - 7   |            |           |      |    |            |   L9366  |
       |                                     |              |         104.9690   |  0.0020   |         104.96866  |  0.00004  | nm (vac) |  17.963508    -   29.7750520  |   3 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    11 |                                     |   5D* - 3P   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         101.4780   |  0.0020   |         101.48128  |  0.00003  | nm (vac) |  17.963508    -   30.18095237 |   3 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |         101.7660   |  0.0020   |         101.76915  |  0.00003  | nm (vac) |  17.963508    -   30.1463937  |   3 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    12 |                                     |   5D* - 1D   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         100.5270   |  0.0020   |         100.53018  |  0.00003  | nm (vac) |  17.963508    -   30.29654080 |   3 - 5   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    13 | 3s2.3p3.(4S*).3d - 3s2.3p3.(4S*).4p |   3D* - 3P   |                    |           |         191.557847 |           | nm (vac) |  19.4581697   -   25.93058528 |  15 - 9   | 2.1e+08    | 6.9e-02   |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         191.441190 |  0.000010 |         191.441190 |  0.000012 | nm (vac) |  19.4550447   -   25.93140430 |   7 - 5   | 1.8e+08    | 7.1e-02   | E    |    | T1619CA,LS |  L11520  |
       |                                     |              |         191.46704  |  0.00007  |         191.466991 |  0.000022 | nm (vac) |  19.4559174   -   25.93140430 |   5 - 5   | 3.2e+07    | 1.8e-02   | E    |    | T1619CA,LS |  L11520  |
       |                                     |              |         191.55767  |  0.00002  |         191.557680 |  0.000022 | nm (vac) |  19.4559174   -   25.92833862 |   5 - 3   | 1.6e+08    | 5.3e-02   | E    |    | T1619CA,LS |  L11520  |
       |                                     |              |         191.80682  |  0.00004  |         191.80680  |  0.00004  | nm (vac) |  19.4692154   -   25.93323021 |   3 - 1   | 2.1e+08    | 3.9e-02   | E    |    | T1619CA,LS |  L11520  |
       |                                     |              |         191.8667   |  0.0010   |         191.86099  |  0.00004  | nm (vac) |  19.4692154   -   25.93140430 |   3 - 5   | 2.1e+06    | 1.9e-03   | E    |    | T1619CA,LS |   L3263  |
       |                                     |              |         191.95199  |  0.00005  |         191.95206  |  0.00004  | nm (vac) |  19.4692154   -   25.92833862 |   3 - 3   | 5.4e+07    | 3.0e-02   | E    |    | T1619CA,LS |  L11520  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    14 | 3s2.3p3.(4S*).3d - 3s2.3p3.(2D*).4p |   3D* - 1P   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         150.0740   |  0.0020   |         150.07500  |  0.00003  | nm (vac) |  19.4692154   -   27.7306976  |   3 - 3   |            |           |      |    |            |   L9366  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    15 |                                     |   3D* - 3D   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         146.00973  |  0.00010  |         146.009714 |  0.000007 | nm (vac) |  19.4550447   -   27.94654815 |   7 - 7   |            |           |      |    |            |   L8114  |
       |                                     |              |         146.02487  |  0.00010  |         146.024722 |  0.000013 | nm (vac) |  19.4559174   -   27.94654815 |   5 - 7   |            |           |      |    |            |   L8114  |
       |                                     |              |         146.55506  |  0.00010  |         146.555171 |  0.000007 | nm (vac) |  19.4550447   -   27.91494398 |   7 - 5   |            |           |      |    |            |   L8114  |
       |                                     |              |         146.57036  |  0.00010  |         146.570291 |  0.000013 | nm (vac) |  19.4559174   -   27.91494398 |   5 - 5   |            |           |      |    |            |   L8114  |
       |                                     |              |         146.78533  |  0.00010  |         146.78516  |  0.00003  | nm (vac) |  19.4692154   -   27.91585952 |   3 - 3   |            |           |      |    |            |   L8114  |
       |                                     |              |         146.8006   |  0.0010   |         146.80107  |  0.00003  | nm (vac) |  19.4692154   -   27.91494398 |   3 - 5   |            |           |      |    |            |   L3263  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
    16 |                                     |   3D* - 3F   |                    |           |         143.699880 |           | nm (vac) |  19.4581697   -   28.08616569 |  15 - 21  |            |           |      |    |            |          |
