---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |           Observed   |           |             Ritz     |            |          |         Ei           Ek         |  gi   gk  |     Aki     |     fik     | Acc. |Type|    TP  |    Line  |
  No.  |                                         |                |          Wavelength/ |   Uncert. |          Wavelength/ |    Uncert. |   Unit   |        (eV)         (eV)        |           |   (s^-1)    |             |      |    |   Ref. |    Ref.  |
       |                                         |                |          Wavenumber  |           |          Wavenumber  |            |          |                                 |           |             |             |      |    |        |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                                         |                |          443.09959   |  0.00001  |          443.099589  |  0.000008  | nm (air) |  16.42557623   -   19.222902151 |   6 - 6   | 1.09e+07    | 3.21e-02    | B    |    |   T926 |  L11520  |
       |                                         |                |          446.05558   |  0.00004  |          446.055706  |  0.000008  | nm (air) |  16.44411446   -   19.222902151 |   4 - 6   | 1.5e+06     | 6.7e-03     | B+   |    |   T926 |  L11520  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    11 |                                         |    4D  - 4D*   |                      |           |          396.763855  |            | nm (air) |  16.42483429   -   19.54883687  |  20 - 20  | 1.1e+07     | 2.6e-02     |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          387.52641   |  0.00001  |          387.526405  |  0.000009  | nm (air) |  16.44411446   -   19.64258207  |   4 - 2   | 8.2e+06     | 9.2e-03     | B    |    |   T926 |  L11520  |
       |                                         |                |          389.14011   |  0.00006  |          389.140123  |  0.000011  | nm (air) |  16.45737782   -   19.64258207  |   2 - 2   | 4.3e+06     | 9.8e-03     | B    |    |   T926 |  L11520  |
       |                                         |                |          389.19787   |  0.00002  |          389.197869  |  0.000008  | nm (air) |  16.42557623   -   19.61030789  |   6 - 4   | 6.3e+06     | 9.5e-03     | C    |    |   T926 |  L11520  |
       |                                         |                |          391.47674   |  0.00004  |          391.476695  |  0.000008  | nm (air) |  16.44411446   -   19.61030789  |   4 - 4   | 3.7e+06     | 8.5e-03     | B    |    |   T926 |  L11520  |
       |                                         |                |          393.12353   |  0.00006  |          393.123548  |  0.000011  | nm (air) |  16.45737782   -   19.61030789  |   2 - 4   | 2.0e+06     | 9.3e-03     | B    |    |   T926 |  L11520  |
       |                                         |                |          394.42712   |  0.00002  |          394.427124  |  0.000007  | nm (air) |  16.40650186   -   19.549011775 |   8 - 6   | 4.1e+06     | 7.2e-03     | B    |    |   T926 |  L11520  |
       |                                         |                |          396.83589   |  0.00002  |          396.835887  |  0.000007  | nm (air) |  16.42557623   -   19.549011775 |   6 - 6   | 4.8e+06     | 1.1e-02     | B    |    |   T926 |  L11520  |
       |                                         |                |          399.20531   |  0.00004  |          399.205304  |  0.000007  | nm (air) |  16.44411446   -   19.549011775 |   4 - 6   | 1.6e+06     | 5.7e-03     | B    |    |   T926 |  L11520  |
       |                                         |                |          401.38561   |  0.00001  |          401.385610  |  0.000008  | nm (air) |  16.40650186   -   19.49453389  |   8 - 8   | 1.05e+07    | 2.54e-02    | A    |    |   T926 |  L11520  |
       |                                         |                |          403.88039   |  0.00005  |          403.880380  |  0.000008  | nm (air) |  16.42557623   -   19.49453389  |   6 - 8   | 1.2e+06     | 3.9e-03     | B    |    |   T926 |  L11520  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    12 |                                         |    4D  - 2D*   |                      |           |          376.962385  |            | nm (air) |  16.42483429   -   19.712933800 |  20 - 10  | 2.e+06      | 2.e-03      |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          371.47332   |  0.00004  |          371.473315  |  0.000006  | nm (air) |  16.42557623   -   19.762261075 |   6 - 4   | 2.e+05      | 2.8e-04     | D    |    |   T926 |  L11520  |
       |                                         |                |          373.54880   |  0.00017  |          373.548761  |  0.000006  | nm (air) |  16.44411446   -   19.762261075 |   4 - 4   | 3.e+05      | 6.3e-04     | C+   |    |   T926 |  L11520  |
       |                                         |                |          375.04801   |  0.00005  |          375.047947  |  0.000009  | nm (air) |  16.45737782   -   19.762261075 |   2 - 4   | 1.e+05      | 4.2e-04     | D    |    |   T926 |  L11520  |
       |                                         |                |          378.63819   |  0.00004  |          378.638198  |  0.000006  | nm (air) |  16.40650186   -   19.680048951 |   8 - 6   | 1.5e+06     | 2.4e-03     | B    |    |   T926 |  L11520  |
       |                                         |                |          380.85745   |  0.00006  |          380.857439  |  0.000006  | nm (air) |  16.42557623   -   19.680048951 |   6 - 6   | 1.0e+06     | 2.2e-03     | C    |    |   T926 |  L11520  |
       |                                         |                |          383.03951   |  0.00012  |          383.039372  |  0.000006  | nm (air) |  16.44411446   -   19.680048951 |   4 - 6   | 4.e+05      | 1.3e-03     | D    |    |   T926 |  L11520  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    13 |                                         |    4D  - 2P*   |                      |           |          363.691449  |            | nm (air) |  16.43705590   -   19.845133548 |  20 - 6   | 2.e+05      | 1.e-04      |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          360.15089   |  0.00004  |          360.150884  |  0.000006  | nm (air) |  16.42557623   -   19.867157038 |   6 - 4   | 2.e+05      | 2.6e-04     | C    |    |   T926 |  L11520  |
       |                                         |                |          362.1012    |  0.0006   |          362.101412  |  0.000006  | nm (air) |  16.44411446   -   19.867157038 |   4 - 4   |             |             |      |    |        |  L14821  |
       |                                         |                |          363.510     |  0.002    |          363.509952  |  0.000008  | nm (air) |  16.45737782   -   19.867157038 |   2 - 4   |             |             |      |    |        |  L14821  |
       |                                         |                |          369.2299    |  0.0012   |          369.228325  |  0.000006  | nm (air) |  16.44411446   -   19.801086565 |   4 - 2   |             |             |      |    |        |  L14821  |
       |                                         |                |          370.69302   |  0.00003  |          370.692967  |  0.000009  | nm (air) |  16.45737782   -   19.801086565 |   2 - 2   | 2.e+05      | 4.1e-04     | C    |    |   T926 |   L2634  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    14 |                                         |    4D  - 4S*   |                      |           |          351.085521  |            | nm (air) |  16.43705590   -   19.96749907  |  20 - 4   | 4.e+05      | 1.e-04      |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          349.94759   |  0.00007  |          349.947590  |  0.000006  | nm (air) |  16.42557623   -   19.96749907  |   6 - 4   | 3.e+05      | 3.7e-04     | C+   |    |   T926 |  L11520  |
       |                                         |                |          351.78897   |  0.00010  |          351.788887  |  0.000007  | nm (air) |  16.44411446   -   19.96749907  |   4 - 4   | 7.e+04      | 1.3e-04     | E    |    |   T926 |  L11520  |
       |                                         |                |          353.1178    |  0.0006   |          353.118196  |  0.000009  | nm (air) |  16.45737782   -   19.96749907  |   2 - 4   |             |             |      |    |        |  L14821  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    15 |    3s2.3p4.(3P).3d - 3s2.3p4.(1D).4p    |    4D  - 2F*   |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          261.6811    |  0.0006   |          261.681148  |  0.000004  | nm (air) |  16.40650186   -   21.143075448 |   8 - 8   |             |             |      |    |        |  L14821  |
       |                                         |                |          262.5711    |  0.0006   |          262.570482  |  0.000004  | nm (air) |  16.40650186   -   21.127033505 |   8 - 6   |             |             |      |    |        |  L14821  |
       |                                         |                |          263.6354    |  0.0006   |          263.635826  |  0.000004  | nm (air) |  16.42557623   -   21.127033505 |   6 - 6   |             |             |      |    |        |  L14821  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    16 |                                         |    4D  - 2D*   |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          243.4364    |  0.0006   |          243.435983  |  0.000003  | nm (air) |  16.40650186   -   21.498049871 |   8 - 6   |             |             |      |    |        |  L14821  |
       |                                         |                |          244.349     |  0.002    |          244.351460  |  0.000003  | nm (air) |  16.42557623   -   21.498049871 |   6 - 6   |             |             |      |    |        |  L14821  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    17 |    3s2.3p4.(3P).3d - 3s2.3p4.(3P).5p    |    4D  - 4P*   |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          176.3669    |  0.0003   |          176.3667320 |  0.0000022 | nm (vac) |  16.45737782   -   23.48728630  |   2 - 2   |             |             |      |    |        |  L16202  |
       |                                         |                |          176.8042    |  0.0003   |          176.8042439 |  0.0000013 | nm (vac) |  16.42557623   -   23.438088809 |   6 - 4   |             |             |      |    |        |  L16202  |
       |                                         |                |          177.1829    |  0.0003   |          177.1829116 |  0.0000013 | nm (vac) |  16.40650186   -   23.404027598 |   8 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |          177.6670    |  0.0003   |          177.6672100 |  0.0000013 | nm (vac) |  16.42557623   -   23.404027598 |   6 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    18 |                                         |    4D  - 4D*   |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          173.5378    |  0.0003   |          173.5355111 |  0.0000012 | nm (vac) |  16.42557623   -   23.570177223 |   6 - 4   |             |             |      |    |        |  L16202  |
       |                                         |                |          175.1679    |  0.0003   |          175.1691851 |  0.0000012 | nm (vac) |  16.40650186   -   23.484470418 |   8 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    19 |                                         |    4D  - 2D*   |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          171.8680    |  0.0003   |          171.8688332 |  0.0000012 | nm (vac) |  16.40650186   -   23.620386781 |   8 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    20 |    3s2.3p4.(3P).3d - 3s2.3p4.(3P<2>).4f |    4D  - 2[4]* |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          160.0133    |  0.0003   |          160.0132575 |  0.0000018 | nm (vac) |  16.40650186   -   24.15487223  |   8 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |          160.0694    |  0.0003   |          160.0693943 |  0.0000013 | nm (vac) |  16.40650186   -   24.15215486  |   8 - 10  |             |             |      |    |        |  L16202  |
       |                                         |                |          160.4083    |  0.0003   |          160.4081386 |  0.0000018 | nm (vac) |  16.42557623   -   24.15487223  |   6 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    21 |                                         |    4D  - 2[3]* |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          159.8561    |  0.0003   |          159.8574570 |  0.0000013 | nm (vac) |  16.40650186   -   24.16242396  |   8 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |          159.9125    |  0.0003   |          159.9130296 |  0.0000015 | nm (vac) |  16.40650186   -   24.15972864  |   8 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |          160.2554    |  0.0003   |          160.2515686 |  0.0000013 | nm (vac) |  16.42557623   -   24.16242396  |   6 - 8   |             |             |      |    |        |  L16202  |
       |                                         |                |          160.3074    |  0.0003   |          160.3074155 |  0.0000015 | nm (vac) |  16.42557623   -   24.15972864  |   6 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |          160.6927    |  0.0003   |          160.6925845 |  0.0000015 | nm (vac) |  16.44411446   -   24.15972864  |   4 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    22 |                                         |    4D  - 2[2]* |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          159.4787    |  0.0003   |          159.479863  |  0.000003  | nm (vac) |  16.40650186   -   24.18078735  |   8 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |          159.8724    |  0.0003   |          159.872113  |  0.000003  | nm (vac) |  16.42557623   -   24.18078735  |   6 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |          159.9597    |  0.0003   |          159.9607021 |  0.0000020 | nm (vac) |  16.42557623   -   24.17649235  |   6 - 4   |             |             |      |    |        |  L16202  |
       |                                         |                |          160.2554    |  0.0003   |          160.255190  |  0.000003  | nm (vac) |  16.44411446   -   24.18078735  |   4 - 6   |             |             |      |    |        |  L16202  |
       |                                         |                |          160.3443    |  0.0003   |          160.3442049 |  0.0000021 | nm (vac) |  16.44411446   -   24.17649235  |   4 - 4   |             |             |      |    |        |  L16202  |
       |                                         |                |          160.6197    |  0.0003   |          160.6197161 |  0.0000023 | nm (vac) |  16.45737782   -   24.17649235  |   2 - 4   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
    23 |                                         |    4D  - 2[1]* |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          159.1933    |  0.0003   |          159.1939108 |  0.0000018 | nm (vac) |  16.42557623   -   24.21382629  |   6 - 4   |             |             |      |    |        |  L16202  |
       |                                         |                |          159.5734    |  0.0003   |          159.5737413 |  0.0000018 | nm (vac) |  16.44411446   -   24.21382629  |   4 - 4   |             |             |      |    |        |  L16202  |
       |                                         |                |          159.6141    |  0.0003   |          159.615078  |  0.000003  | nm (vac) |  16.44411446   -   24.21181411  |   4 - 2   |             |             |      |    |        |  L16202  |
       |                                         |                |          159.8872    |  0.0003   |          159.888087  |  0.000003  | nm (vac) |  16.45737782   -   24.21181411  |   2 - 2   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
