"=""3d3""","=""4F""",4,"="" 0.00000""",
"=""3d3""","=""4F""",6,"="" 0.06339""",
"=""3d3""","=""4F""",8,"="" 0.14733""",
"=""3d3""","=""4F""",10,"="" 0.24804""",
"=""3d3""","=""4P""",2,"="" 2.32325""",
"=""3d3""","=""4P""",4,"="" 2.34851""",
"=""3d3""","=""4P""",6,"="" 2.43143""",
"=""3d3""","=""2G""",8,"="" 2.55611""",
"=""3d3""","=""2G""",10,"="" 2.64272""",
"=""3d3""","=""2P""",4,"="" 3.25023""",
"=""3d3""","=""2P""",2,"="" 3.28502""",
"=""3d3""","=""2D2""",6,"="" 3.53160""",
"=""3d3""","=""2D2""",4,"="" 3.54941""",
"=""3d3""","=""2H""",10,"="" 3.56136""",
"=""3d3""","=""2H""",12,"="" 3.62070""",
"=""3d3""","=""2F""",8,"="" 5.73021""",
"=""3d3""","=""2F""",6,"="" 5.77812""",
"=""3d3""","=""2D1""",6,"="" 8.89061""",
"=""3d3""","=""2D1""",4,"="" 8.93293""",
"=""3d2.(3F).4s""","=""4F""",4,"="" 32.46420""",
"=""3d2.(3F).4s""","=""4F""",6,"="" 32.52954""",
"=""3d2.(3F).4s""","=""4F""",8,"="" 32.62469""",
"=""3d2.(3F).4s""","=""4F""",10,"="" 32.74650""",
"=""3d2.(3F).4s""","=""2F""",6,"="" 33.36913""",
"=""3d2.(3F).4s""","=""2F""",8,"="" 33.55913""",
"=""3d2.(1D).4s""","=""2D""",6,"="" 34.82735""",
"=""3d2.(1D).4s""","=""2D""",4,"="" 34.86656""",
"=""3d2.(3P).4s""","=""4P""",2,"="" 34.89870""",
"=""3d2.(3P).4s""","=""4P""",4,"="" 34.96788""",
"=""3d2.(3P).4s""","=""4P""",6,"="" 35.08156""",
"=""3d2.(3P).4s""","=""2P""",2,"="" 35.69743""",
"=""3d2.(3P).4s""","=""2P""",4,"="" 35.78659""",
"=""3d2.(1G).4s""","=""2G""",10,"="" 36.24219""",
"=""3d2.(1G).4s""","=""2G""",8,"="" 36.24431""",
"=""3d2.(3F).4p""","=""4G*""",6,"="" 41.93845""",
"=""3d2.(3F).4p""","=""4G*""",8,"="" 42.08978""",
"=""3d2.(3F).4p""","=""4F*""",4,"="" 42.09757""",
"=""3d2.(3F).4p""","=""4F*""",6,"="" 42.19728""",
"=""3d2.(3F).4p""","=""4G*""",10,"="" 42.27055""",
"=""3d2.(3F).4p""","=""4F*""",8,"="" 42.32390""",
"=""3d2.(3F).4p""","=""4F*""",10,"="" 42.45645""",
"=""3d2.(3F).4p""","=""2F*""",6,"="" 42.47345""",
"=""3d2.(3F).4p""","=""4G*""",12,"="" 42.49318""",
"=""3d2.(3F).4p""","=""4D*""",4,"="" 42.55273""",
"=""3d2.(3F).4p""","=""2F*""",8,"="" 42.60199""",
"=""3d2.(3F).4p""","=""4D*""",2,"="" 42.60336""",
"=""3d2.(3F).4p""","=""4D*""",6,"="" 42.68445""",
"=""3d2.(3F).4p""","=""2D*""",4,"="" 42.73148""",
"=""3d2.(3F).4p""","=""4D*""",8,"="" 42.82694""",
"=""3d2.(3F).4p""","=""2D*""",6,"="" 42.88701""",
"=""3d2.(3F).4p""","=""2G*""",8,"="" 43.26579""",
"=""3d2.(3F).4p""","=""2G*""",10,"="" 43.39668""",
"=""3d2.(3P).4p""","=""2S*""",2,"="" 43.61836""",
"=""3d2.(3P).4p""","=""4S*""",4,"="" 44.09586""",
