 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
     76  6  6  331   5 2s2 2p 6d       -2.87173E-02  8.17744E-01 21.0
     77  6  6  311   9 2s2 2p 7s       -2.84788E-02  8.17982E-01  9.0
     78  6  6  321   5 2s2 2p 6d       -2.84038E-02  8.18057E-01 15.0
     79  6  6  111   8 2s2 2p 7s       -2.82702E-02  8.18191E-01  3.0
     80  6  6  131   5 2s2 2p 6d       -2.80996E-02  8.18361E-01  7.0
     81  6  6  130   3 2s2 2p 6f       -2.79306E-02  8.18530E-01  7.0
     82  6  6  330   3 2s2 2p 6f       -2.79290E-02  8.18532E-01 21.0
     83  6  6  341   2 2s2 2p 6g       -2.78070E-02  8.18654E-01 27.0
     84  6  6  141   2 2s2 2p 6g       -2.78070E-02  8.18654E-01  9.0
     85  6  6  340   3 2s2 2p 6f       -2.77978E-02  8.18663E-01 27.0
     86  6  6  140   3 2s2 2p 6f       -2.77946E-02  8.18666E-01  9.0
     87  6  6  350   1 2s2 2p 6h       -2.77791E-02  8.18682E-01 33.0
     88  6  6  150   1 2s2 2p 6h       -2.77791E-02  8.18682E-01 11.0
     89  6  6  160   1 2s2 2p 6h       -2.77776E-02  8.18683E-01 13.0
     90  6  6  360   1 2s2 2p 6h       -2.77776E-02  8.18683E-01 39.0
     91  6  6  351   2 2s2 2p 6g       -2.77757E-02  8.18685E-01 33.0
     92  6  6  151   2 2s2 2p 6g       -2.77757E-02  8.18685E-01 11.0
     93  6  6  340   4 2s2 2p 6h       -2.77727E-02  8.18688E-01 27.0
     94  6  6  140   4 2s2 2p 6h       -2.77718E-02  8.18689E-01  9.0
     95  6  6  311  10 2s2 2p 6d       -2.77704E-02  8.18691E-01  9.0
     96  6  6  331   6 2s2 2p 6g       -2.77677E-02  8.18693E-01 21.0
     97  6  6  131   6 2s2 2p 6g       -2.77675E-02  8.18694E-01  7.0
     98  6  6  111   9 2s2 2p 6d       -2.77459E-02  8.18715E-01  3.0
     99  6  6  320   7 2s2 2p 6f       -2.77425E-02  8.18718E-01 15.0
    100  6  6  120   8 2s2 2p 6f       -2.77404E-02  8.18721E-01  5.0
    101  6  6  110   5 2s2 2p 7p       -2.54854E-02  8.20976E-01  3.0
    102  6  6  320   8 2s2 2p 7p       -2.52158E-02  8.21245E-01 15.0
    103  6  6  300   5 2s2 2p 7p       -2.48968E-02  8.21564E-01  3.0
    104  6  6  310   6 2s2 2p 7p       -2.46324E-02  8.21829E-01  9.0
    105  6  6  120   9 2s2 2p 7p       -2.39929E-02  8.22468E-01  5.0
    106  6  6  100   6 2s2 2p 7p       -2.32798E-02  8.23181E-01  1.0
    107  6  6  121   5 2s2 2p 7d       -2.16837E-02  8.24777E-01  5.0
    108  6  6  331   7 2s2 2p 7d       -2.10084E-02  8.25453E-01 21.0
    109  6  6  311  11 2s2 2p 8s       -2.08427E-02  8.25618E-01  9.0
    110  6  6  321   6 2s2 2p 7d       -2.08068E-02  8.25654E-01 15.0
    111  6  6  111  10 2s2 2p 8s       -2.07143E-02  8.25747E-01  3.0
    112  6  6  131   7 2s2 2p 7d       -2.06115E-02  8.25849E-01  7.0
    113  6  6  130   4 2s2 2p 7f       -2.05062E-02  8.25955E-01  7.0
    114  6  6  330   4 2s2 2p 7f       -2.05051E-02  8.25956E-01 21.0
    115  6  6  341   3 2s2 2p 7g       -2.04302E-02  8.26031E-01 27.0
    116  6  6  141   3 2s2 2p 7g       -2.04302E-02  8.26031E-01  9.0
    117  6  6  340   5 2s2 2p 7f       -2.04234E-02  8.26038E-01 27.0
    118  6  6  140   5 2s2 2p 7f       -2.04212E-02  8.26040E-01  9.0
    119  6  6  311  12 2s2 2p 7d       -2.04168E-02  8.26044E-01  9.0
    120  6  6  150   2 2s2 2p 7h       -2.04097E-02  8.26051E-01 11.0
    121  6  6  350   2 2s2 2p 7h       -2.04097E-02  8.26051E-01 33.0
    122  6  6  151   4 2s2 2p 7g       -2.04085E-02  8.26052E-01 11.0
    123  6  6  351   4 2s2 2p 7i       -2.04085E-02  8.26052E-01 33.0
    124  6  6  351   3 2s2 2p 7g       -2.04085E-02  8.26052E-01 33.0
    125  6  6  151   3 2s2 2p 7i       -2.04085E-02  8.26052E-01 11.0
    126  6  6  361   1 2s2 2p 7i       -2.04082E-02  8.26053E-01 39.0
    127  6  6  161   1 2s2 2p 7i       -2.04082E-02  8.26053E-01 13.0
    128  6  6  160   2 2s2 2p 7h       -2.04079E-02  8.26053E-01 13.0
    129  6  6  360   2 2s2 2p 7h       -2.04079E-02  8.26053E-01 39.0
    130  6  6  340   6 2s2 2p 7h       -2.04034E-02  8.26058E-01 27.0
    131  6  6  140   6 2s2 2p 7h       -2.04027E-02  8.26058E-01  9.0
    132  6  6  331   8 2s2 2p 7g       -2.04007E-02  8.26060E-01 21.0
    133  6  6  131   8 2s2 2p 7g       -2.04006E-02  8.26060E-01  7.0
    134  6  6  320   9 2s2 2p 7f       -2.03868E-02  8.26074E-01 15.0
    135  6  6  111  11 2s2 2p 7d       -2.03864E-02  8.26075E-01  3.0
    136  6  6  120  10 2s2 2p 7f       -2.03854E-02  8.26076E-01  5.0
    137  6  6  110   6 2s2 2p 8p       -1.89378E-02  8.27523E-01  3.0
    138  6  6  320  10 2s2 2p 8p       -1.87657E-02  8.27695E-01 15.0
    139  6  6  300   6 2s2 2p 8p       -1.85625E-02  8.27899E-01  3.0
    140  6  6  310   7 2s2 2p 8p       -1.83953E-02  8.28066E-01  9.0
    141  6  6  120  11 2s2 2p 8p       -1.79786E-02  8.28482E-01  5.0
    142  6  6  100   7 2s2 2p 8p       -1.75160E-02  8.28945E-01  1.0
    143  6  6  121   6 2s2 2p 8d       -1.64961E-02  8.29965E-01  5.0
    144  6  6  331   9 2s2 2p 8d       -1.60305E-02  8.30431E-01 21.0
    145  6  6  311  13 2s2 2p 9s       -1.59131E-02  8.30548E-01  9.0
    146  6  6  321   7 2s2 2p 8d       -1.58939E-02  8.30567E-01 15.0
    147  6  6  111  12 2s2 2p 9s       -1.58284E-02  8.30633E-01  3.0
    148  6  6  131   9 2s2 2p 8d       -1.57615E-02  8.30700E-01  7.0
    149  6  6  130   5 2s2 2p 8f       -1.56914E-02  8.30770E-01  7.0
    150  6  6  330   5 2s2 2p 8f       -1.56906E-02  8.30770E-01 21.0
    151  6  6  341   4 2s2 2p 8g       -1.56412E-02  8.30820E-01 27.0
    152  6  6  141   4 2s2 2p 8g       -1.56412E-02  8.30820E-01  9.0
    153  6  6  311  14 2s2 2p 8d       -1.56363E-02  8.30825E-01  9.0
    154  6  6  340   7 2s2 2p 8f       -1.56362E-02  8.30825E-01 27.0
    155  6  6  140   7 2s2 2p 8f       -1.56346E-02  8.30826E-01  9.0
    156  6  6  350   3 2s2 2p 8h       -1.56265E-02  8.30835E-01 33.0
    157  6  6  150   3 2s2 2p 8h       -1.56265E-02  8.30835E-01 11.0
    158  6  6  351   5 2s2 2p 8g       -1.56255E-02  8.30836E-01 33.0
    159  6  6  151   6 2s2 2p 8g       -1.56255E-02  8.30836E-01 11.0
    160  6  6  151   5 2s2 2p 8i       -1.56255E-02  8.30836E-01 11.0
    161  6  6  351   6 2s2 2p 8i       -1.56255E-02  8.30836E-01 33.0
    162  6  6  360   4 2s2 2p 8k       -1.56250E-02  8.30836E-01 39.0
    163  6  6  360   3 2s2 2p 8h       -1.56250E-02  8.30836E-01 39.0
    164  6  6  160   4 2s2 2p 8k       -1.56250E-02  8.30836E-01 13.0
    165  6  6  160   3 2s2 2p 8h       -1.56250E-02  8.30836E-01 13.0
    166  6  6  361   2 2s2 2p 8i       -1.56250E-02  8.30836E-01 39.0
    167  6  6  161   2 2s2 2p 8i       -1.56250E-02  8.30836E-01 13.0
    168  6  6  340   8 2s2 2p 8h       -1.56212E-02  8.30840E-01 27.0
    169  6  6  140   8 2s2 2p 8h       -1.56207E-02  8.30840E-01  9.0
    170  6  6  331  10 2s2 2p 8g       -1.56196E-02  8.30841E-01 21.0
    171  6  6  131  10 2s2 2p 8g       -1.56195E-02  8.30841E-01  7.0
    172  6  6  320  11 2s2 2p 8f       -1.56111E-02  8.30850E-01 15.0
    173  6  6  120  12 2s2 2p 8f       -1.56101E-02  8.30851E-01  5.0
    174  6  6  111  13 2s2 2p 8d       -1.56098E-02  8.30851E-01  3.0
    175  6  6  110   7 2s2 2p 9p       -1.46272E-02  8.31834E-01  3.0
    176  6  6  320  12 2s2 2p 9p       -1.45106E-02  8.31950E-01 15.0
    177  6  6  300   7 2s2 2p 9p       -1.43730E-02  8.32088E-01  3.0
    178  6  6  310   8 2s2 2p 9p       -1.42606E-02  8.32200E-01  9.0
    179  6  6  120  13 2s2 2p 9p       -1.39741E-02  8.32487E-01  5.0
    180  6  6  100   8 2s2 2p 9p       -1.36570E-02  8.32804E-01  1.0
    181  6  6  121   7 2s2 2p 9d       -1.29654E-02  8.33496E-01  5.0
    182  6  6  331  11 2s2 2p 9d       -1.26320E-02  8.33829E-01 21.0
    183  6  6  311  15 2s2 2p10s       -1.25466E-02  8.33914E-01  9.0
    184  6  6  321   8 2s2 2p 9d       -1.25353E-02  8.33926E-01 15.0
    185  6  6  111  14 2s2 2p10s       -1.24878E-02  8.33973E-01  3.0
    186  6  6  131  11 2s2 2p 9d       -1.24417E-02  8.34019E-01  7.0
    187  6  6  130   6 2s2 2p 9f       -1.23927E-02  8.34068E-01  7.0
