Configuration,Term,J,Level (eV),Uncertainty (eV),Lande,Leading percentages
"=""2s2.2p.4p""","=""3P""","=""2""","="" 10.085377438""","=""0.000000014""","=""""","=""  98                                                """,
"=""2s2.2p.4p""","=""1D""","=""2""","="" 10.13817190""","=""0.00000003""","=""""","=""  93         :     4  2s2.2p.5p             1D      """,
"=""2s2.2p.4p""","=""1S""","=""0""","="" 10.19792602""","=""0.00000004""","=""""","=""  79         :    13  2s2.2p.5p             1S      """,
"=""2s2.2p.4d""","=""1D*""","=""2""","="" 10.35238138""","=""0.00000004""","=""""","=""  97                                                """,
"=""2s2.2p.5s""","=""3P*""","=""0""","="" 10.38244873""","=""0.00000012""","=""""","=""  94         :     6  2s2.2p.4d             3P*     """,
"=""2s2.2p.5s""","=""3P*""","=""1""","="" 10.38397899""","=""0.00000007""","=""""","=""  89         :     6  2s2.2p.4d             3P*     """,
"=""2s2.2p.5s""","=""3P*""","=""2""","="" 10.38877088""","=""0.00000006""","=""""","=""  74         :    11  2s2.2p.4d             3D*     """,
"=""2s2.2p.4d""","=""3F*""","=""2""","="" 10.38335829""","=""0.00000004""","=""""","=""  86         :    13  2s2.2p.4d             3D*     """,
"=""2s2.2p.4d""","=""3F*""","=""3""","="" 10.385074438""","=""0.000000022""","=""""","=""  78         :    19  2s2.2p.4d             3D*     """,
"=""2s2.2p.4d""","=""3F*""","=""4""","="" 10.389704212""","=""0.000000020""","=""""","="" 100                                                """,
"=""2s2.2p.4d""","=""3D*""","=""1""","="" 10.39237505""","=""0.00000010""","=""""","=""  94         :     4  2s2.2p.4d             1P*     """,
"=""2s2.2p.4d""","=""3D*""","=""2""","="" 10.39459625""","=""0.00000005""","=""""","=""  75         :    16  2s2.2p.5s             3P*     """,
"=""2s2.2p.4d""","=""3D*""","=""3""","="" 10.39593494""","=""0.00000004""","=""""","=""  80         :    20  2s2.2p.4d             3F*     """,
"=""2s2.2p.5s""","=""1P*""","=""1""","="" 10.3994604""","=""0.0000007""","=""""","=""  65         :    28  2s2.2p.4d             1P*     """,
"=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","="" 10.404712177""","=""0.000000022""","=""""","=""  82         :    17  2s2.2p.(2P*<3/2>).4f  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","="" 10.40472588""","=""0.00000004""","=""""","=""  82         :    18  2s2.2p.(2P*<3/2>).4f  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).4f""","=""2[7/2]""","=""3""","="" 10.40552565""","=""0.00000004""","=""""","=""  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  """,
"=""2s2.2p.(2P*<1/2>).4f""","=""2[7/2]""","=""4""","="" 10.405550385""","=""0.000000016""","=""""","=""  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  """,
"=""2s2.2p.4d""","=""1F*""","=""3""","="" 10.40812917""","=""0.00000005""","=""""","=""  97                                                """,
