Configuration,Term,J,Level (eV),Uncertainty (eV),Lande,Leading percentages
"=""2s2.2p.7p""","=""3P""","=""1""","="" 10.934457""","=""0.000004""","=""""","=""  50         :    48  2s2.2p.7p             3P      """,
"=""2s2.2p.7p""","=""3P""","=""2""","="" 10.935183""","=""0.000005""","=""""","=""  91         :     7  2s2.2p.7p             3D      """,
"=""2s2.2p.7p""","=""1D""","=""2""","="" 10.942892""","=""0.000004""","=""""","=""  84         :     7  2s2.2p.8p             1D      """,
"=""2s2.2p.7p""","=""1S""","=""0""","="" 10.952019""","=""0.000004""","=""""","=""  58         :    28  2s2.2p.8p             1S      """,
"=""2s2.2p.(2P*<1/2>).7d""","=""2[5/2]*""","=""2""","="" 10.972432""","=""0.000004""","=""""","=""  53         :    29  2s2.2p.(2P*<1/2>).7d  2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""","="" 10.978183""","=""0.000022""","=""""","=""  96                                                """,
"=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""","="" 10.97799""","=""0.00021""","=""""","=""  45         :    45  2s2.2p.(2P*<1/2>).7d  2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""","="" 10.979870""","=""0.000016""","=""""","=""  88         :     6  2s2.2p.(2P*<1/2>).8s  2[1/2]* """,
"=""2s2.2p.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""","="" 10.978030""","=""0.000004""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""","="" 10.9786886""","=""0.0000025""","=""""","=""  89         :     6  2s2.2p.(2P*<1/2>).7d  2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).7f""","=""2[5/2]""","=""3""","="" 10.981887""","=""0.000007""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).7f""","=""2[5/2]""","=""2""","="" 10.981888""","=""0.000004""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).7f""","=""2[7/2]""","=""4""","="" 10.981945""","=""0.000010""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).7f""","=""2[7/2]""","=""3""","="" 10.981945""","=""0.000010""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""","="" 10.983051""","=""0.000004""","=""""","=""  66         :    27  2s2.2p.(2P*<3/2>).7d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""","="" 10.986862""","=""0.000005""","=""""","=""  57         :    19  2s2.2p.(2P*<3/2>).7d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""","=""[10.984525]""","=""0.000010""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""","="" 10.988102""","=""0.000005""","=""""","=""  79         :    18  2s2.2p.(2P*<3/2>).7d  2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""","="" 10.985590""","=""0.000005""","=""""","=""  79         :    15  2s2.2p.(2P*<1/2>).7d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""","="" 10.985784""","=""0.000022""","=""""","=""  82         :    18  2s2.2p.(2P*<3/2>).7d  2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).7f""","=""2[7/2]""","=""3""","="" 10.989219""","=""0.000004""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).7f""","=""2[7/2]""","=""4""","="" 10.989230""","=""0.000011""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).7f""","=""2[5/2]""","=""2""","="" 10.989751""","=""0.000009""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).7f""","=""2[5/2]""","=""3""","="" 10.989751""","=""0.000009""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""","="" 10.989834""","=""0.000005""","=""""","=""  64         :    32  2s2.2p.(2P*<3/2>).8s  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""","="" 10.98985""","=""0.00005""","=""""","=""  58         :    30  2s2.2p.(2P*<3/2>).8s  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).7f""","=""2[9/2]""","=""5""","=""[10.99013]""","=""0.00005""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).7f""","=""2[9/2]""","=""4""","=""[10.99015]""","=""0.00005""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).7f""","=""2[3/2]""","=""2""","="" 10.990624""","=""0.000009""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).7f""","=""2[3/2]""","=""1""","="" 10.990625""","=""0.000009""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""","="" 10.99081""","=""0.00004""","=""""","=""  76         :    11  2s2.2p.(2P*<3/2>).7d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""","="" 10.99100""","=""0.00021""","=""""","=""  96                                                """,
"=""2s2.2p.(2P*<1/2>).8p""","=""2[3/2]""","=""1""","="" 11.005709""","=""0.000007""","=""""","=""  79         :    17  2s2.2p.(2P*<1/2>).8p  2[1/2]  """,
"=""2s2.2p.(2P*<1/2>).8p""","=""2[1/2]""","=""2""","=""[11.0084]""","=""0.0006""","=""""","=""  77         :    21  2s2.2p.(2P*<3/2>).8p  2[5/2]  """,
"=""2s2.2p.(2P*<1/2>).8p""","=""2[1/2]""","=""1""","="" 11.008664""","=""0.000005""","=""""","=""  69         :    19  2s2.2p.(2P*<1/2>).8p  2[3/2]  """,
"=""2s2.2p.(2P*<3/2>).8p""","=""2[5/2]""","=""3""","="" 11.014279""","=""0.000005""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<3/2>).8p""","=""2[5/2]""","=""2""","="" 11.023878""","=""0.000005""","=""""","=""  61         :    13  2s2.2p.(2P*<1/2>).8p  2[3/2]  """,
"=""2s2.2p.(2P*<3/2>).8p""","=""2[3/2]""","=""2""","="" 11.018972""","=""0.000004""","=""""","=""  87         :     7  2s2.2p.(2P*<3/2>).8p  2[5/2]  """,
"=""2s2.2p.(2P*<3/2>).8p""","=""2[1/2]""","=""0""","="" 11.029715""","=""0.000005""","=""""","=""  42         :    20  2s2.2p.(2P*<3/2>).9p  2[1/2]  """,
"=""2s2.2p.(2P*<1/2>).8d""","=""2[5/2]*""","=""2""","="" 11.041310""","=""0.000005""","=""""","=""  67         :    24  2s2.2p.(2P*<1/2>).8d  2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).8d""","=""2[5/2]*""","=""3""","="" 11.044755""","=""0.000024""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).8d""","=""2[3/2]*""","=""2""","="" 11.0447""","=""0.0003""","=""""","=""  62         :    32  2s2.2p.(2P*<1/2>).8d  2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""","="" 11.045907""","=""0.000015""","=""""","=""  89         :     8  2s2.2p.(2P*<1/2>).9s  2[1/2]* """,
"=""2s2.2p.(2P*<1/2>).9s""","=""2[1/2]*""","=""0""","="" 11.044716""","=""0.000006""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""","="" 11.045181""","=""0.000006""","=""""","=""  89         :     8  2s2.2p.(2P*<1/2>).8d  2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).8f""","=""2[5/2]""","=""2""","="" 11.047216""","=""0.000004""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<1/2>).8f""","=""2[5/2]""","=""3""","="" 11.047219""","=""0.000011""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).8f""","=""2[7/2]""","=""4""","="" 11.047224""","=""0.000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<1/2>).8f""","=""2[7/2]""","=""3""","="" 11.047224""","=""0.000011""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""","="" 11.04971""","=""0.00021""","=""""","=""  65         :    28  2s2.2p.(2P*<3/2>).8d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""","="" 11.053111""","=""0.000005""","=""""","=""  59         :    21  2s2.2p.(2P*<3/2>).8d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).8d""","=""2[7/2]*""","=""4""","=""[11.051527]""","=""0.000010""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""","="" 11.053899""","=""0.000005""","=""""","=""  79         :    19  2s2.2p.(2P*<3/2>).8d  2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""","="" 11.052284""","=""0.000004""","=""""","=""  84         :     8  2s2.2p.(2P*<1/2>).8d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""","="" 11.052451""","=""0.000024""","=""""","=""  81         :    19  2s2.2p.(2P*<3/2>).8d  2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).8f""","=""2[7/2]""","=""4""","="" 11.054698""","=""0.000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).8f""","=""2[7/2]""","=""3""","="" 11.054698""","=""0.000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""","="" 11.05475""","=""0.00005""","=""""","=""  59         :    32  2s2.2p.(2P*<3/2>).9s  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""","="" 11.055019""","=""0.000005""","=""""","=""  66         :    31  2s2.2p.(2P*<3/2>).9s  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).8f""","=""2[5/2]""","=""2""","=""[11.055041]""","=""0.000024""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).8f""","=""2[5/2]""","=""3""","=""[11.055041]""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).8f""","=""2[9/2]""","=""5""","=""[11.05532]""","=""0.00006""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).8f""","=""2[9/2]""","=""4""","=""[11.05532]""","=""0.00006""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""","="" 11.05557""","=""0.00021""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""","="" 11.055672""","=""0.000024""","=""""","=""  79         :    10  2s2.2p.(2P*<3/2>).8d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).8f""","=""2[3/2]""","=""2""","=""[11.05566]""","=""0.00003""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).8f""","=""2[3/2]""","=""1""","=""[11.05566]""","=""0.00003""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<1/2>).9p""","=""2[3/2]""","=""1""","="" 11.063411""","=""0.000005""","=""""","=""  83         :    14  2s2.2p.(2P*<1/2>).9p  2[1/2]  """,
"=""2s2.2p.(2P*<3/2>).9p""","=""2[5/2]""","=""3""","="" 11.071681""","=""0.000005""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<3/2>).9p""","=""2[5/2]""","=""2""","="" 11.078002""","=""0.000005""","=""""","=""  60         :    11  2s2.2p.(2P*<3/2>).9p  2[3/2]  """,
"=""2s2.2p.(2P*<3/2>).9p""","=""2[1/2]""","=""0""","="" 11.081910""","=""0.000005""","=""""","=""  37         :    22  2s2.2p.(2P*<3/2>).10p 2[1/2]  """,
"=""2s2.2p.(2P*<1/2>).9d""","=""2[5/2]*""","=""2""","="" 11.088092""","=""0.000005""","=""""","=""  76         :    19  2s2.2p.(2P*<1/2>).9d  2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""","="" 11.090330""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""","="" 11.09021""","=""0.00021""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""","="" 11.090616""","=""0.000006""","=""""","=""  50         :    48  2s2.2p.(2P*<1/2>).9d  2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).9d""","=""2[3/2]*""","=""2""","="" 11.09021""","=""0.00021""","=""""","=""  73         :    23  2s2.2p.(2P*<1/2>).9d  2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""","="" 11.091149""","=""0.000020""","=""""","=""  50         :    48  2s2.2p.(2P*<1/2>).10s 2[1/2]* """,
"=""2s2.2p.(2P*<3/2>).9d""","=""2[7/2]*""","=""4""","=""[11.097328]""","=""0.000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).9d""","=""2[7/2]*""","=""3""","="" 11.098960""","=""0.000005""","=""""","=""  79         :    20  2s2.2p.(2P*<3/2>).9d  2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""","="" 11.097883""","=""0.000005""","=""""","=""  85         :     7  2s2.2p.(2P*<3/2>).9d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""","="" 11.09825""","=""0.00010""","=""""","=""  80         :    20  2s2.2p.(2P*<3/2>).9d  2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""","="" 11.098407""","=""0.000021""","=""""","=""  59         :    27  2s2.2p.(2P*<3/2>).9d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""","="" 11.09949""","=""0.00010""","=""""","=""  62         :    31  2s2.2p.(2P*<3/2>).10s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""","="" 11.099755""","=""0.000006""","=""""","=""  63         :    35  2s2.2p.(2P*<3/2>).10s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""","="" 11.09995""","=""0.00006""","=""""","=""  84         :     8  2s2.2p.(2P*<3/2>).9d  2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).9d""","=""2[1/2]*""","=""0""","="" 11.10022""","=""0.00021""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).10p""","=""2[3/2]""","=""1""","="" 11.103472""","=""0.000005""","=""""","=""  85         :    13  2s2.2p.(2P*<1/2>).10p 2[1/2]  """,
"=""2s2.2p.(2P*<3/2>).10p""","=""2[5/2]""","=""3""","="" 11.111599""","=""0.000005""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).10p""","=""2[1/2]""","=""0""","="" 11.118671""","=""0.000005""","=""""","=""  32         :    31  2s2.2p.(2P*<1/2>).11p 2[1/2]  """,
"=""2s2.2p.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""","="" 11.12113""","=""0.00004""","=""""","=""  82         :    15  2s2.2p.(2P*<1/2>).10d 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""","="" 11.122796""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).11s""","=""2[1/2]*""","=""1""","="" 11.12273""","=""0.00021""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).11s""","=""2[1/2]*""","=""0""","="" 11.12287""","=""0.00021""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""","="" 11.12302""","=""0.00007""","=""""","=""  80         :    17  2s2.2p.(2P*<1/2>).10d 2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""","="" 11.123407""","=""0.000019""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<3/2>).10d""","=""2[7/2]*""","=""4""","=""[11.130008]""","=""0.000011""","=""""","="" 100                                                """,
"=""2s2.2p.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""","="" 11.13119""","=""0.00005""","=""""","=""  79         :    20  2s2.2p.(2P*<3/2>).10d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""","="" 11.130420""","=""0.000007""","=""""","=""  86         :     9  2s2.2p.(2P*<3/2>).10d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""","="" 11.13046""","=""0.00006""","=""""","=""  80         :    20  2s2.2p.(2P*<3/2>).10d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""","="" 11.131683""","=""0.000017""","=""""","=""  75         :    23  2s2.2p.(2P*<3/2>).11s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""","="" 11.13177""","=""0.00005""","=""""","=""  51         :    43  2s2.2p.(2P*<3/2>).11s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""","="" 11.13172""","=""0.00009""","=""""","=""  61         :    23  2s2.2p.(2P*<3/2>).11s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""","="" 11.1320""","=""0.0003""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).11p""","=""2[3/2]""","=""1""","="" 11.132446""","=""0.000014""","=""""","=""  86         :    12  2s2.2p.(2P*<1/2>).11p 2[1/2]  """,
"=""2s2.2p.(2P*<1/2>).11d""","=""2[5/2]*""","=""2""","="" 11.14563""","=""0.00015""","=""""","=""  86         :    12  2s2.2p.(2P*<1/2>).11d 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).11d""","=""2[5/2]*""","=""3""","="" 11.146806""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).12s""","=""2[1/2]*""","=""1""","="" 11.14660""","=""0.00014""","=""""","=""  88         :    11  2s2.2p.(2P*<1/2>).11d 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).12s""","=""2[1/2]*""","=""0""","="" 11.14685""","=""0.00021""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).11d""","=""2[3/2]*""","=""2""","="" 11.14685""","=""0.00021""","=""""","=""  85         :    13  2s2.2p.(2P*<1/2>).11d 2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).11d""","=""2[3/2]*""","=""1""","="" 11.14699""","=""0.00004""","=""""","=""  88         :    11  2s2.2p.(2P*<1/2>).12s 2[1/2]* """,
"=""2s2.2p.(2P*<3/2>).11d""","=""2[5/2]*""","=""2""","="" 11.154448""","=""0.000007""","=""""","=""  85         :    11  2s2.2p.(2P*<3/2>).11d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""","="" 11.1549""","=""0.0004""","=""""","=""  79         :    21  2s2.2p.(2P*<3/2>).11d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""","="" 11.154767""","=""0.000017""","=""""","=""  61         :    22  2s2.2p.(2P*<3/2>).11d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).11d""","=""2[7/2]*""","=""3""","="" 11.155031""","=""0.000024""","=""""","=""  79         :    21  2s2.2p.(2P*<3/2>).11d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).11d""","=""2[3/2]*""","=""1""","="" 11.155419""","=""0.000021""","=""""","=""  68         :    31  2s2.2p.(2P*<3/2>).12s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).11d""","=""2[3/2]*""","=""2""","="" 11.1556""","=""0.0003""","=""""","=""  59         :    34  2s2.2p.(2P*<3/2>).12s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""","="" 11.15559""","=""0.00005""","=""""","=""  82         :     9  2s2.2p.(2P*<3/2>).11d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).11d""","=""2[1/2]*""","=""0""","="" 11.1556""","=""0.0003""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).13s""","=""2[1/2]*""","=""1""","="" 11.16495""","=""0.00021""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).13s""","=""2[1/2]*""","=""0""","="" 11.16498""","=""0.00021""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).12d""","=""2[5/2]*""","=""3""","="" 11.164967""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).12d""","=""2[3/2]*""","=""2""","="" 11.16498""","=""0.00021""","=""""","=""  88         :    10  2s2.2p.(2P*<1/2>).12d 2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).12d""","=""2[3/2]*""","=""1""","="" 11.165320""","=""0.000017""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).12d""","=""2[5/2]*""","=""2""","="" 11.17232""","=""0.00019""","=""""","=""  85         :    12  2s2.2p.(2P*<3/2>).12d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).12d""","=""2[5/2]*""","=""3""","="" 11.17271""","=""0.00007""","=""""","=""  79         :    21  2s2.2p.(2P*<3/2>).12d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""","="" 11.17290""","=""0.00006""","=""""","=""  53         :    36  2s2.2p.(2P*<3/2>).12d 2[1/2]* """,
"=""2s2.2p.(2P*<3/2>).12d""","=""2[7/2]*""","=""3""","="" 11.17315""","=""0.00004""","=""""","=""  78         :    21  2s2.2p.(2P*<3/2>).12d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).12d""","=""2[1/2]*""","=""0""","="" 11.1732""","=""0.0003""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<3/2>).12d""","=""2[1/2]*""","=""1""","="" 11.17327""","=""0.00017""","=""""","=""  61         :    25  2s2.2p.(2P*<3/2>).13s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).12d""","=""2[3/2]*""","=""2""","="" 11.17327""","=""0.00017""","=""""","=""  47         :    47  2s2.2p.(2P*<3/2>).13s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).12d""","=""2[3/2]*""","=""1""","="" 11.173440""","=""0.000019""","=""""","=""  76         :    22  2s2.2p.(2P*<3/2>).13s 2[3/2]* """,
"=""2s2.2p.(2P*<1/2>).14s""","=""2[1/2]*""","=""1""","="" 11.1788""","=""0.0003""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).14s""","=""2[1/2]*""","=""0""","="" 11.17921""","=""0.00021""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).13d""","=""2[5/2]*""","=""3""","="" 11.17911""","=""0.00004""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<1/2>).13d""","=""2[3/2]*""","=""2""","="" 11.17921""","=""0.00021""","=""""","=""  90         :     8  2s2.2p.(2P*<1/2>).13d 2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).13d""","=""2[3/2]*""","=""1""","="" 11.179408""","=""0.000016""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).13d""","=""2[5/2]*""","=""3""","="" 11.18693""","=""0.00021""","=""""","=""  77         :    22  2s2.2p.(2P*<3/2>).13d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).13d""","=""2[5/2]*""","=""2""","="" 11.18697""","=""0.00012""","=""""","=""  83         :    13  2s2.2p.(2P*<3/2>).13d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).14s""","=""2[3/2]*""","=""1""","="" 11.187064""","=""0.000024""","=""""","=""  44         :    39  2s2.2p.(2P*<3/2>).13d 2[1/2]* """,
"=""2s2.2p.(2P*<3/2>).13d""","=""2[1/2]*""","=""1""","="" 11.1871""","=""0.0004""","=""""","=""  57         :    37  2s2.2p.(2P*<3/2>).14s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).13d""","=""2[1/2]*""","=""0""","="" 11.1871""","=""0.0004""","=""""","=""  97                                                """,
"=""2s2.2p.(2P*<3/2>).13d""","=""2[3/2]*""","=""2""","="" 11.18711""","=""0.00005""","=""""","=""  46         :    42  2s2.2p.(2P*<3/2>).14s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).13d""","=""2[3/2]*""","=""1""","="" 11.187362""","=""0.000019""","=""""","=""  81         :    18  2s2.2p.(2P*<3/2>).14s 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).13d""","=""2[7/2]*""","=""3""","="" 11.187197""","=""0.000024""","=""""","=""  76         :    22  2s2.2p.(2P*<3/2>).13d 2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).14d""","=""2[3/2]*""","=""2""","="" 11.19021""","=""0.00010""","=""""","=""  91         :     5  2s2.2p.(2P*<1/2>).14d 2[5/2]* """,
"=""2s2.2p.(2P*<1/2>).14d""","=""2[3/2]*""","=""1""","="" 11.19070""","=""0.00003""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).15s""","=""2[1/2]*""","=""0""","="" 11.19023""","=""0.00021""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).15s""","=""2[1/2]*""","=""1""","="" 11.19047""","=""0.00006""","=""""","=""  98                                                """,
"=""2s2.2p.(2P*<1/2>).14d""","=""2[5/2]*""","=""3""","="" 11.190390""","=""0.000024""","=""""","=""  99                                                """,
"=""2s2.2p.(2P*<3/2>).14d""","=""2[5/2]*""","=""2""","="" 11.19800""","=""0.00021""","=""""","=""  65         :    17  2s2.2p.(2P*<3/2>).14d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).14d""","=""2[5/2]*""","=""3""","="" 11.19800""","=""0.00021""","=""""","=""  58         :    34  2s2.2p.(2P*<3/2>).14d 2[7/2]* """,
"=""2s2.2p.(2P*<3/2>).15s""","=""2[3/2]*""","=""1""","="" 11.19830""","=""0.00006""","=""""","=""  57         :    38  2s2.2p.(2P*<3/2>).14d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).14d""","=""2[7/2]*""","=""3""","="" 11.198335""","=""0.000024""","=""""","=""  38         :    34  2s2.2p.(2P*<1/2>).15d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).14d""","=""2[3/2]*""","=""1""","="" 11.198544""","=""0.000024""","=""""","=""  38         :    37  2s2.2p.(2P*<1/2>).15d 2[3/2]* """,
"=""2s2.2p.(2P*<3/2>).14d""","=""2[3/2]*""","=""2""","="" 11.1989""","=""0.0004""","=""""","=""  38         :    27  2s2.2p.(2P*<3/2>).14d 2[5/2]* """,
"=""2s2.2p.(2P*<3/2>).14d""","=""2[1/2]*""","=""1""","="" 11.1989""","=""0.0004""","=""""","=""  51         :    32  2s2.2p.(2P*<1/2>).16s 2[1/2]* """,
"=""2s2.2p.(2P*<3/2>).14d""","=""2[1/2]*""","=""0""","="" 11.1989""","=""0.0004""","=""""","=""  61         :    38  2s2.2p.(2P*<1/2>).16s 2[1/2]* """,
"=""2s2.2p.(2P*<1/2>).16s""","=""2[1/2]*""","=""1""","="" 11.19900""","=""0.00021""","=""""","=""  55         :    41  2s2.2p.(2P*<3/2>).14d 2[1/2]* """,
"=""2s2.2p.(2P*<1/2>).16s""","=""2[1/2]*""","=""0""","="" 11.19951""","=""0.00021""","=""""","=""  62         :    38  2s2.2p.(2P*<3/2>).14d 2[1/2]* """,
